#{"t_start": 1618989415.2624261, "env_id": "MotorTiming-v0"}
r,l,t
40.0,961,80.130316
40.0,1002,82.629347
38.0,1013,451.566497
40.0,1039,456.85768
40.0,1044,459.106246
39.0,1620,465.700431
40.0,1594,473.145248
40.0,1641,477.254202
40.0,1688,484.894608
40.0,1766,492.212199
40.0,902,497.5926
39.0,936,499.765903
40.0,969,505.897134
37.0,1086,508.6366
39.0,1044,514.705854
40.0,1559,518.483929
40.0,1653,526.105503
40.0,1674,534.197481
40.0,1712,543.011172
40.0,1790,551.516806
39.0,974,553.847722
40.0,1003,560.01687
39.0,1005,562.625953
40.0,1028,568.244047
40.0,1084,570.658427
39.0,1593,577.326081
38.0,1586,583.958381
39.0,1644,590.713941
40.0,1715,597.620266
40.0,1754,604.606259
39.0,956,607.023511
40.0,1004,613.055527
39.0,963,615.867315
39.0,1014,623.330451
40.0,1104,626.194491
40.0,1570,633.44516
40.0,1601,640.709584
40.0,1649,644.789064
36.0,1702,652.369971
36.0,1783,660.173104
33.0,886,666.036404
38.0,950,668.49711
40.0,991,674.280825
38.0,1095,677.029868
40.0,1035,683.247434
40.0,1552,687.464643
40.0,1660,695.331737
39.0,1659,702.750557
39.0,1656,709.723092
38.0,1732,717.553652
40.0,954,719.918977
38.0,932,725.640334
40.0,1024,728.182771
39.0,1037,734.34172
36.0,1122,737.264658
40.0,1629,744.861417
40.0,1588,752.024151
39.0,1681,759.046663
38.0,1748,766.001567
39.0,1771,773.08218
33.0,950,775.461879
40.0,1012,781.381654
40.0,957,783.875498
40.0,1011,789.717852
40.0,1108,792.576533
37.0,1589,799.942614
39.0,1611,807.313097
40.0,1638,814.755212
39.0,1740,819.136567
39.0,1711,826.833
40.0,958,832.627942
37.0,1005,835.158824
39.0,1046,841.168958
40.0,1020,843.720344
33.0,1096,849.992676
37.0,1557,856.823701
40.0,1631,860.685436
38.0,1638,868.247634
40.0,1708,875.967493
39.0,1787,883.816949
38.0,917,886.0835
40.0,965,892.095218
39.0,1038,894.693879
40.0,1010,900.834397
37.0,1106,903.678772
40.0,1646,910.860318
39.0,1625,917.643869
38.0,1650,924.483098
40.0,1699,931.408453
40.0,1719,939.127965
40.0,905,941.430247
40.0,945,947.038693
39.0,1013,949.527166
40.0,1045,954.971187
39.0,1089,957.454606
40.0,1602,964.296833
40.0,1636,971.837664
37.0,1709,979.482454
39.0,1700,983.755248
40.0,1703,991.451558
40.0,877,997.063471
39.0,921,999.384942
40.0,988,1005.410479
39.0,1066,1008.258364
39.0,1055,1014.355044
39.0,1615,1021.751543
39.0,1642,1025.88578
40.0,1642,1033.427157
40.0,1751,1041.237389
37.0,1727,1048.455107
40.0,969,1050.577619
38.0,986,1055.944689
39.0,983,1058.109816
39.0,1014,1063.923916
39.0,1066,1066.563799
39.0,1629,1074.549898
40.0,1651,1082.224342
40.0,1692,1089.825654
39.0,1752,1097.081674
40.0,1745,1104.33041
39.0,952,1106.454916
39.0,998,1111.760163
40.0,1004,1114.042736
40.0,1001,1119.7687
39.0,1114,1122.84075
35.0,1561,1130.286849
40.0,1636,1137.791059
38.0,1703,1145.411666
40.0,1695,1152.980815
40.0,1746,1157.354342
39.0,959,1163.169528
33.0,995,1165.606327
37.0,975,1171.45711
40.0,1031,1173.9906
40.0,1125,1180.314578
40.0,1628,1187.329645
38.0,1629,1194.063422
37.0,1654,1197.783229
40.0,1671,1204.688036
34.0,1711,1211.993696
38.0,911,1217.09111
39.0,963,1219.711549
40.0,1002,1225.755248
40.0,1031,1228.409404
40.0,1028,1234.309269
37.0,1556,1238.2539
39.0,1663,1245.79785
40.0,1699,1253.368921
40.0,1694,1260.951365
40.0,1744,1268.652574
40.0,969,1271.088172
38.0,957,1276.844832
40.0,987,1279.327515
37.0,1022,1285.257379
38.0,1030,1287.847232
40.0,1638,1295.365638
39.0,1662,1302.886395
40.0,1619,1310.397164
37.0,1708,1317.602607
40.0,1719,1321.499236
38.0,972,1326.840724
39.0,946,1328.935501
40.0,1048,1334.698273
40.0,1015,1337.211881
39.0,1073,1343.395174
40.0,1612,1350.932472
40.0,1654,1359.214363
36.0,1661,1363.674428
40.0,1665,1371.604517
38.0,1783,1379.693325
40.0,954,1385.805386
40.0,945,1388.491668
39.0,1015,1394.594602
40.0,1041,1397.265272
38.0,1119,1403.470606
40.0,1571,1407.391574
39.0,1641,1414.900415
40.0,1699,1422.311462
40.0,1728,1429.714093
39.0,1740,1437.524728
38.0,932,1439.866144
40.0,946,1445.668308
40.0,961,1448.050864
39.0,1043,1454.067418
40.0,1049,1456.680816
36.0,1573,1464.068614
40.0,1665,1471.638202
40.0,1712,1479.296103
39.0,1777,1487.111875
40.0,1789,1495.072561
40.0,954,1497.378227
36.0,967,1502.629421
39.0,1032,1505.022725
40.0,1032,1510.403406
40.0,1086,1513.152298
38.0,1623,1520.741494
40.0,1632,1528.175708
39.0,1720,1535.849529
37.0,1722,1540.179469
39.0,1808,1548.079343
40.0,963,1553.892404
40.0,982,1556.312637
40.0,955,1562.108108
40.0,1008,1564.663457
39.0,1069,1570.755316
40.0,1573,1577.991984
40.0,1672,1582.236229
40.0,1662,1589.377531
40.0,1735,1596.385421
39.0,1712,1603.87578
39.0,957,1606.227949
40.0,933,1612.035594
40.0,997,1614.477594
