#{"t_start": 1618989415.257451, "env_id": "MotorTiming-v0"}
r,l,t
39.0,945,80.08183
39.0,969,82.522441
38.0,1013,451.45903
40.0,1078,456.838497
38.0,1073,459.152439
40.0,1590,465.680502
39.0,1669,473.306449
33.0,1623,477.384327
40.0,1741,485.13244
37.0,1787,492.489215
40.0,952,497.982528
38.0,991,500.319753
38.0,1015,506.583834
39.0,1085,509.331623
39.0,1070,515.431605
40.0,1619,522.827731
40.0,1633,526.95205
40.0,1682,535.246377
40.0,1736,544.059405
38.0,1763,552.320647
40.0,923,554.574665
40.0,919,560.57831
40.0,1019,563.151072
40.0,1003,568.690158
40.0,1061,571.056352
39.0,1582,577.693666
40.0,1595,584.334422
39.0,1630,591.07327
36.0,1687,597.910081
39.0,1733,604.854539
38.0,885,607.12633
39.0,929,609.470272
40.0,986,615.81679
40.0,1000,619.316013
36.0,1037,625.958832
40.0,1587,633.243544
40.0,1641,640.606087
37.0,1617,644.617643
39.0,1665,652.113285
40.0,1704,659.724371
39.0,921,665.636331
40.0,990,668.223954
40.0,981,673.958437
40.0,998,676.500248
40.0,1121,682.841471
39.0,1607,687.274821
39.0,1655,695.127018
38.0,1648,702.530054
40.0,1654,709.484734
40.0,1690,717.19537
34.0,910,719.481242
40.0,1010,725.370851
39.0,1008,727.89624
39.0,1044,734.039201
40.0,1121,736.972496
40.0,1625,744.577514
40.0,1610,751.808085
39.0,1658,758.778815
38.0,1712,765.64814
36.0,1764,769.592008
39.0,939,775.030755
39.0,976,777.439567
40.0,1011,783.48899
40.0,1038,786.019031
39.0,1056,792.127248
38.0,1591,799.48748
37.0,1605,806.835756
39.0,1675,811.024664
40.0,1717,818.727744
39.0,1737,826.479797
40.0,922,832.155458
38.0,1005,834.722689
40.0,1019,840.629328
39.0,1079,843.357618
40.0,1138,849.724155
39.0,1629,856.742785
39.0,1641,860.628194
40.0,1700,868.344187
40.0,1710,876.070811
39.0,1698,883.694631
39.0,919,885.966807
40.0,997,892.059228
39.0,1035,894.650447
40.0,1034,900.85352
38.0,1042,903.539498
36.0,1552,910.528789
40.0,1578,917.204323
40.0,1650,924.027162
38.0,1763,931.097237
39.0,1693,938.694141
39.0,942,941.126127
38.0,935,943.470238
40.0,1010,949.214328
39.0,1051,954.666307
39.0,1056,957.095886
40.0,1559,963.770951
40.0,1677,971.395633
37.0,1669,978.947163
39.0,1682,983.218333
40.0,1734,990.987097
38.0,947,996.742581
39.0,939,999.133295
39.0,970,1005.066456
40.0,1071,1007.952503
40.0,1117,1014.208407
39.0,1573,1021.48641
