#{"t_start": 1618989415.2585769, "env_id": "MotorTiming-v0"}
r,l,t
40.0,947,80.088541
39.0,945,82.472097
39.0,959,451.292593
40.0,1028,453.513538
38.0,1080,458.88454
38.0,1607,465.4497
40.0,1667,473.040599
37.0,1688,477.277473
40.0,1709,484.964061
40.0,1714,492.160991
40.0,970,497.698832
40.0,980,499.991863
40.0,1050,506.334446
40.0,997,508.860408
40.0,1112,515.074774
40.0,1581,522.383873
39.0,1639,526.494097
39.0,1650,534.571482
40.0,1768,543.57815
40.0,1766,551.907674
39.0,950,554.188216
40.0,989,560.371364
40.0,995,562.905679
40.0,1019,568.489938
40.0,1046,570.821508
40.0,1608,577.523614
40.0,1604,584.185632
38.0,1622,590.897728
37.0,1668,597.696133
40.0,1764,604.709262
40.0,918,607.04293
39.0,956,609.457831
40.0,1002,615.856147
40.0,1044,623.403587
40.0,1091,626.230365
40.0,1555,633.441767
39.0,1662,640.870274
37.0,1635,644.903191
40.0,1709,652.500972
39.0,1762,660.250764
38.0,940,666.269991
40.0,945,668.700958
38.0,1040,674.623357
40.0,1086,677.326919
40.0,1089,683.747177
39.0,1636,691.802406
38.0,1657,696.041262
40.0,1644,703.320519
40.0,1710,710.466881
40.0,1761,718.378839
40.0,929,720.644657
40.0,956,726.469003
39.0,1017,728.963106
40.0,1079,735.28433
40.0,1133,741.659666
38.0,1568,745.614567
40.0,1649,752.937629
40.0,1692,759.895569
40.0,1753,766.894333
39.0,1703,773.87491
40.0,878,776.073006
36.0,943,781.866476
39.0,1006,784.426731
40.0,1083,790.502082
39.0,1077,793.228007
39.0,1634,800.72889
39.0,1579,808.051202
40.0,1641,815.496351
40.0,1690,819.69748
38.0,1765,827.531745
40.0,886,833.190842
40.0,945,835.52727
40.0,963,841.355415
40.0,1058,843.986662
40.0,1035,850.115688
38.0,1642,857.159607
39.0,1597,860.912461
40.0,1688,868.611759
38.0,1717,876.361107
40.0,1774,884.180419
40.0,925,886.461865
40.0,997,892.564368
38.0,958,894.961447
39.0,1039,901.176014
40.0,1089,907.21599
40.0,1646,911.126676
38.0,1616,917.883202
40.0,1694,924.822349
39.0,1685,931.732386
38.0,1730,939.525132
40.0,908,941.819318
40.0,919,947.35585
40.0,1042,949.876983
40.0,1055,955.350408
40.0,1117,957.879394
40.0,1557,964.666099
40.0,1654,972.262157
38.0,1708,979.915958
40.0,1681,987.509147
39.0,1784,992.015304
40.0,928,997.780571
38.0,981,1000.201294
38.0,1006,1006.380669
37.0,1051,1009.11411
40.0,1131,1015.410281
40.0,1636,1022.8968
38.0,1588,1030.217215
39.0,1671,1034.434198
40.0,1749,1042.192061
38.0,1692,1049.287729
40.0,909,1054.401593
39.0,1008,1056.703202
40.0,1043,1062.320624
38.0,1077,1065.078395
40.0,1123,1071.583069
38.0,1592,1079.2006
40.0,1608,1083.288391
39.0,1674,1090.805037
40.0,1711,1097.942779
39.0,1778,1105.276687
40.0,965,1107.398155
