#{"t_start": 1618989415.2634501, "env_id": "MotorTiming-v0"}
r,l,t
32.0,913,79.989528
40.0,918,82.318594
40.0,1008,451.260588
37.0,1044,453.518554
35.0,1103,458.939959
40.0,1613,465.5184
40.0,1639,473.049875
38.0,1713,477.3545
40.0,1700,485.009293
40.0,1774,492.343303
38.0,944,497.819298
38.0,993,500.156543
39.0,1008,506.393398
39.0,1085,509.1414
40.0,1051,515.198495
38.0,1637,522.634311
38.0,1646,526.76766
40.0,1687,535.07385
40.0,1687,543.777112
40.0,1735,551.998145
40.0,967,554.321257
37.0,1011,560.573991
40.0,996,563.091994
37.0,1011,568.65009
38.0,1113,571.141513
38.0,1567,577.736156
40.0,1627,584.446139
40.0,1690,591.316177
39.0,1691,598.168229
38.0,1755,605.154304
40.0,974,607.701155
40.0,931,613.602666
40.0,1003,617.151749
39.0,1070,624.116803
40.0,1099,626.877896
40.0,1623,634.269128
38.0,1595,641.568997
38.0,1654,648.979751
40.0,1737,656.609922
40.0,1760,661.019546
40.0,878,666.927249
40.0,917,669.238488
40.0,984,675.053824
39.0,1072,677.700771
37.0,1119,684.373323
40.0,1610,692.217384
40.0,1634,696.374081
40.0,1657,703.666851
40.0,1715,710.851372
37.0,1726,718.672434
40.0,903,720.869235
40.0,991,726.787198
36.0,1027,732.730543
35.0,1065,735.611583
40.0,1036,741.728947
39.0,1607,745.776152
39.0,1659,753.107334
39.0,1668,760.007519
39.0,1762,767.027603
39.0,1758,774.167577
33.0,887,776.38183
40.0,973,782.277266
39.0,989,784.756308
40.0,1055,790.788733
40.0,1028,793.373292
39.0,1598,800.789819
37.0,1587,808.134767
40.0,1670,815.659223
40.0,1708,823.278225
33.0,1785,827.769754
39.0,936,833.5734
39.0,957,835.918339
40.0,1051,841.997336
38.0,1095,844.673424
40.0,1096,850.94967
39.0,1599,857.882747
40.0,1597,865.101956
40.0,1651,869.264687
40.0,1746,877.084666
39.0,1720,884.777513
40.0,911,890.545997
40.0,937,892.993565
40.0,953,898.874885
40.0,1076,901.690533
39.0,1103,907.747432
40.0,1544,911.379263
39.0,1594,918.07817
40.0,1677,924.981567
40.0,1737,932.042913
40.0,1740,939.877454
40.0,964,942.285333
34.0,915,947.874792
40.0,1004,950.217212
40.0,997,955.557966
38.0,1045,957.92135
40.0,1631,964.897891
38.0,1599,972.363986
39.0,1711,980.032316
40.0,1723,987.738664
37.0,1758,992.155252
39.0,951,997.983008
40.0,976,1000.386782
40.0,1029,1006.645481
39.0,1072,1009.401785
40.0,1036,1015.470788
38.0,1592,1022.844369
39.0,1582,1030.148316
38.0,1703,1034.450573
39.0,1697,1042.085868
39.0,1731,1049.270799
40.0,957,1054.498926
38.0,950,1056.664637
38.0,1000,1062.161916
37.0,1082,1064.939884
39.0,1099,1071.359808
40.0,1611,1075.582969
40.0,1674,1083.307251
39.0,1641,1090.74153
40.0,1719,1097.899472
40.0,1721,1105.097576
