#{"t_start": 1618989415.261475, "env_id": "MotorTiming-v0"}
r,l,t
39.0,952,80.102059
40.0,986,82.573551
38.0,976,451.426175
40.0,992,453.570311
40.0,1071,458.921218
40.0,1564,465.392388
36.0,1676,472.992355
39.0,1676,477.199381
40.0,1695,484.862531
39.0,1786,492.227648
40.0,971,497.766873
40.0,1006,500.132385
39.0,959,506.249343
40.0,1003,508.780124
40.0,1067,514.89331
39.0,1632,522.326436
37.0,1598,526.339075
39.0,1680,534.466221
36.0,1724,543.340952
40.0,1761,551.71383
40.0,936,553.951667
40.0,928,559.876132
40.0,1002,562.546905
40.0,1014,568.133488
40.0,1089,570.563888
40.0,1576,577.190279
39.0,1596,583.844401
40.0,1649,590.616384
40.0,1714,597.521572
39.0,1731,604.459035
38.0,920,606.728268
40.0,969,609.215753
36.0,1044,615.674147
40.0,1001,619.193767
40.0,1053,625.891774
37.0,1634,633.295064
39.0,1637,640.648779
40.0,1668,644.779014
40.0,1718,652.401674
40.0,1770,660.170057
40.0,883,666.024649
40.0,980,668.563792
40.0,1034,674.463357
40.0,1072,677.141401
40.0,1121,683.619326
38.0,1553,691.444704
39.0,1662,695.735059
37.0,1632,703.004483
39.0,1691,710.09179
40.0,1748,717.955816
36.0,922,720.229499
39.0,1013,726.183009
40.0,1023,728.698444
40.0,1062,734.951262
40.0,1109,737.824142
39.0,1544,745.187761
39.0,1588,752.335313
40.0,1696,759.379732
40.0,1754,766.361108
40.0,1785,773.487935
40.0,954,775.891493
40.0,1015,781.868346
39.0,953,784.295569
39.0,1048,790.265059
39.0,1091,793.044226
39.0,1611,800.486488
40.0,1611,807.881697
39.0,1699,815.47611
38.0,1673,819.636739
40.0,1718,827.353093
40.0,952,833.176571
39.0,1009,835.671991
40.0,1012,841.642896
36.0,1027,844.17334
39.0,1134,850.547652
40.0,1555,857.383
40.0,1662,864.697072
40.0,1698,869.015594
40.0,1742,876.827994
40.0,1742,884.570547
39.0,960,890.443824
38.0,947,892.925892
40.0,1048,899.064558
37.0,1067,901.844426
38.0,1039,907.734629
37.0,1631,911.563957
40.0,1645,918.374276
40.0,1630,925.170661
38.0,1687,932.127365
40.0,1722,939.9261
39.0,913,942.202272
40.0,970,947.934398
38.0,1000,950.260001
37.0,1048,955.718489
39.0,1098,958.196709
39.0,1573,965.059845
39.0,1597,972.520167
38.0,1688,980.139795
40.0,1757,987.937355
40.0,1716,992.231752
40.0,882,997.891885
40.0,948,1000.225869
36.0,976,1006.326262
38.0,1034,1009.02329
40.0,1084,1015.194168
38.0,1591,1022.560247
39.0,1615,1029.944888
36.0,1626,1034.074861
40.0,1722,1041.78958
40.0,1794,1049.126952
38.0,953,1054.334205
40.0,986,1056.58809
37.0,1064,1062.244424
39.0,1060,1064.963116
39.0,1071,1071.300307
40.0,1595,1075.492724
40.0,1594,1083.025537
40.0,1631,1090.454137
39.0,1690,1097.560043
39.0,1786,1104.896089
37.0,936,1106.962379
39.0,924,1112.135227
40.0,968,1114.30863
40.0,1001,1120.107987
40.0,1129,1123.185122
38.0,1558,1130.616066
39.0,1617,1138.078149
36.0,1650,1145.571749
39.0,1656,1153.0409
40.0,1751,1157.423308
39.0,929,1163.160741
40.0,914,1165.405366
40.0,995,1171.293533
40.0,1007,1173.777334
38.0,1092,1180.020039
40.0,1573,1186.910633
39.0,1600,1190.507734
32.0,1675,1197.380558
40.0,1739,1204.434312
37.0,1773,1211.874982
40.0,905,1216.943501
39.0,958,1219.529462
37.0,1028,1225.652641
38.0,1070,1228.408962
40.0,1115,1234.538108
39.0,1572,1238.507083
39.0,1623,1245.949126
40.0,1673,1253.462736
40.0,1694,1261.05047
38.0,1701,1268.636888
39.0,906,1270.923194
39.0,1019,1276.826466
39.0,981,1279.294632
40.0,1047,1285.291643
40.0,1105,1288.057181
40.0,1558,1295.385424
40.0,1628,1302.812597
40.0,1676,1310.47581
39.0,1661,1317.560201
40.0,1715,1321.45325
40.0,881,1326.590573
40.0,1004,1328.81863
39.0,961,1334.339338
38.0,1084,1337.037431
40.0,1118,1343.326402
38.0,1615,1350.863096
40.0,1592,1358.968511
40.0,1659,1363.474563
40.0,1720,1371.515618
40.0,1737,1379.509143
40.0,901,1385.357002
40.0,984,1388.238656
40.0,1014,1394.352125
38.0,1057,1397.072099
40.0,1031,1403.040038
40.0,1579,1407.009135
38.0,1594,1414.403052
38.0,1682,1421.810163
40.0,1659,1428.944182
39.0,1741,1436.772684
39.0,967,1439.248909
40.0,979,1445.095351
39.0,1029,1447.67637
39.0,1023,1453.608686
40.0,1091,1456.364522
39.0,1630,1463.88349
40.0,1636,1471.374542
40.0,1719,1479.036572
40.0,1715,1486.69139
39.0,1780,1491.299505
39.0,905,1496.875912
39.0,990,1499.107897
39.0,957,1504.42463
40.0,1066,1506.768747
40.0,1087,1512.57431
40.0,1592,1520.065052
39.0,1661,1527.559678
36.0,1688,1531.787533
38.0,1743,1539.58162
39.0,1726,1547.288164
38.0,879,1552.819569
36.0,1008,1555.376063
40.0,966,1561.120316
40.0,1044,1563.825206
38.0,1108,1569.977218
40.0,1589,1573.910168
40.0,1598,1581.393909
40.0,1628,1588.498721
39.0,1705,1595.447761
40.0,1717,1602.827514
35.0,913,1605.106034
38.0,945,1610.882909
40.0,1026,1613.452343
40.0,1014,1619.382674
40.0,1034,1621.966701
39.0,1550,1629.271261
40.0,1659,1636.970149
39.0,1698,1644.274354
40.0,1662,1651.883471
37.0,1755,1656.127679
33.0,907,1661.688644
39.0,967,1664.349377
39.0,1005,1670.440633
39.0,1027,1673.062013
40.0,1071,1679.186772
38.0,1559,1686.452297
38.0,1677,1693.986995
40.0,1645,1698.139551
40.0,1714,1705.996425
37.0,1711,1714.405646
37.0,968,1720.48031
38.0,947,1722.797647
39.0,998,1728.560707
40.0,1030,1731.078903
40.0,1074,1737.078244
40.0,1570,1740.959323
39.0,1667,1748.017941
40.0,1662,1756.162271
40.0,1740,1764.374361
40.0,1789,1772.461705
40.0,919,1774.776885
40.0,999,1780.821581
40.0,1032,1783.429431
40.0,991,1789.413296
40.0,1105,1792.207726
40.0,1564,1799.6586
36.0,1666,1807.464111
37.0,1678,1815.174756
34.0,1691,1822.937929
40.0,1771,1830.908471
38.0,940,1833.39043
40.0,932,1835.695718
39.0,1050,1841.889875
29.0,1065,1844.570253
39.0,1073,1850.86994
40.0,1611,1858.407672
40.0,1580,1865.820702
40.0,1693,1870.083305
39.0,1660,1877.866723
39.0,1703,1885.721962
40.0,944,1891.577551
40.0,923,1894.18632
36.0,980,1900.297567
38.0,1031,1903.109812
36.0,1130,1909.329181
40.0,1544,1913.12477
39.0,1661,1920.36436
37.0,1696,1927.856164
40.0,1738,1935.192105
40.0,1711,1942.915564
37.0,886,1945.316251
38.0,1027,1951.08708
36.0,963,1953.293534
40.0,1083,1959.097264
39.0,1093,1961.820184
40.0,1606,1969.21716
40.0,1685,1976.522809
40.0,1646,1983.743421
36.0,1717,1991.561046
40.0,1700,1999.302998
40.0,967,2001.940001
40.0,939,2004.475768
37.0,1044,2010.721197
39.0,1037,2016.10482
39.0,1091,2018.626801
39.0,1616,2025.704724
40.0,1600,2032.362261
36.0,1631,2035.958233
40.0,1738,2043.041611
37.0,1758,2050.082764
40.0,969,2055.61193
40.0,920,2058.343473
40.0,956,2064.329821
39.0,1041,2066.974097
37.0,1085,2073.124379
39.0,1583,2080.453942
40.0,1647,2084.597472
40.0,1714,2092.560599
39.0,1674,2100.318884
40.0,1792,2108.417957
38.0,944,2110.865576
40.0,948,2116.666855
39.0,1048,2119.137439
40.0,995,2124.759824
40.0,1059,2127.257892
36.0,1550,2134.244032
37.0,1674,2141.853069
37.0,1635,2149.420685
40.0,1722,2157.103269
39.0,1713,2164.713954
40.0,922,2167.102955
40.0,1000,2172.933391
40.0,966,2175.424507
40.0,1031,2181.381432
40.0,1124,2184.107637
39.0,1628,2191.784875
37.0,1611,2199.223683
40.0,1702,2206.974439
39.0,1674,2211.265531
40.0,1692,2218.937158
40.0,874,2224.512652
40.0,966,2226.963345
38.0,964,2232.768008
38.0,1065,2235.488081
40.0,1087,2241.662716
40.0,1545,2248.891896
39.0,1585,2252.909239
37.0,1666,2260.514537
37.0,1709,2268.583913
36.0,1726,2276.255257
40.0,934,2278.564815
40.0,944,2284.350136
39.0,1018,2286.872209
40.0,1090,2292.989724
37.0,1107,2295.70478
40.0,1585,2303.080008
40.0,1629,2310.544742
40.0,1681,2318.140735
40.0,1711,2325.743983
40.0,1756,2333.536942
34.0,933,2335.934148
39.0,1010,2342.025373
40.0,979,2344.69728
39.0,1064,2350.666542
40.0,1039,2353.332327
40.0,1599,2360.708237
40.0,1651,2368.18381
40.0,1694,2375.731967
40.0,1665,2380.097213
39.0,1703,2387.972972
39.0,937,2393.686485
40.0,959,2396.084434
40.0,979,2401.977393
40.0,1076,2404.678878
39.0,1087,2410.795298
39.0,1577,2418.085221
39.0,1616,2422.160683
40.0,1651,2429.711053
40.0,1680,2437.330293
40.0,1714,2445.001529
40.0,926,2447.282583
38.0,994,2453.221177
40.0,1023,2455.730432
39.0,1044,2461.825306
40.0,1110,2464.542476
40.0,1547,2472.0219
40.0,1671,2480.283054
39.0,1680,2488.450288
39.0,1694,2496.12523
39.0,1721,2503.809234
40.0,908,2506.140046
40.0,1011,2512.132772
40.0,1015,2514.878902
40.0,1037,2521.043312
39.0,1086,2524.140705
