#{"t_start": 1618989415.264398, "env_id": "MotorTiming-v0"}
r,l,t
39.0,958,80.117839
39.0,991,82.596562
40.0,1007,451.518944
39.0,1001,453.681035
40.0,1080,459.053881
40.0,1619,465.646689
38.0,1588,473.067712
40.0,1704,477.344298
40.0,1700,485.000072
39.0,1692,492.144998
40.0,969,497.680719
38.0,968,499.940325
39.0,963,506.067626
38.0,1067,508.759452
40.0,1072,514.886054
38.0,1595,518.747716
40.0,1629,526.317587
40.0,1700,534.506232
40.0,1683,543.248602
39.0,1718,551.542539
37.0,911,553.718784
39.0,957,559.689298
39.0,1027,562.438425
40.0,1094,568.218131
40.0,1107,570.691374
40.0,1582,577.330799
34.0,1638,584.0737
39.0,1624,590.789243
39.0,1727,597.720239
40.0,1763,604.730881
39.0,949,607.153686
40.0,945,613.022428
40.0,976,615.873913
40.0,1094,623.543981
40.0,1081,626.338555
39.0,1554,633.550264
37.0,1628,640.895045
40.0,1670,648.342896
39.0,1688,652.555386
40.0,1720,660.204222
40.0,920,666.167281
40.0,1007,668.756465
40.0,1003,674.5855
39.0,1067,677.242988
38.0,1096,683.670459
39.0,1631,691.713381
40.0,1678,696.01357
40.0,1672,703.364106
37.0,1723,710.547998
40.0,1760,718.456529
36.0,941,720.74617
39.0,966,726.599285
39.0,1024,729.106571
40.0,1068,735.417213
40.0,1067,741.611215
40.0,1551,745.528538
37.0,1638,752.821661
40.0,1728,759.870882
30.0,1678,766.700537
40.0,1705,773.64616
38.0,946,776.034696
40.0,990,781.955925
40.0,954,784.377923
38.0,1067,790.406144
40.0,1064,793.1071
39.0,1628,800.593183
36.0,1601,807.963851
40.0,1691,815.54103
40.0,1669,819.685287
40.0,1771,827.536826
40.0,893,833.215066
39.0,943,835.543975
39.0,956,841.356295
40.0,1032,843.921563
37.0,1042,850.065847
40.0,1590,856.978635
40.0,1639,860.841045
37.0,1648,868.444382
40.0,1747,876.264035
38.0,1717,883.940028
40.0,956,886.30107
39.0,966,892.322208
40.0,1038,894.918876
40.0,1078,901.233761
40.0,1053,907.181134
35.0,1551,910.883404
38.0,1586,917.5757
40.0,1622,924.353965
39.0,1696,931.266297
37.0,1743,939.028226
39.0,905,941.339459
38.0,929,946.908741
39.0,985,949.341244
38.0,1008,954.69493
38.0,1107,957.234746
40.0,1582,963.999006
40.0,1624,971.485724
40.0,1671,979.042575
39.0,1693,983.330335
40.0,1758,991.158239
39.0,882,996.758535
40.0,1005,999.304161
33.0,983,1005.304847
39.0,1064,1008.150531
40.0,1039,1014.208949
40.0,1645,1021.681617
40.0,1643,1025.8243
40.0,1713,1033.541571
39.0,1716,1041.264937
39.0,1715,1048.454349
39.0,898,1050.418994
40.0,922,1055.639146
38.0,996,1057.842506
40.0,1000,1063.572744
40.0,1116,1066.352593
37.0,1563,1074.162312
40.0,1608,1081.735664
40.0,1680,1089.330928
40.0,1711,1096.5071
40.0,1718,1103.673957
40.0,920,1105.782601
40.0,996,1111.045608
40.0,1028,1113.415851
40.0,1065,1119.157112
39.0,1078,1122.180711
37.0,1549,1129.594313
40.0,1610,1137.011347
40.0,1690,1144.595938
40.0,1741,1148.977114
33.0,1726,1156.663378
39.0,897,1162.272988
40.0,993,1164.769915
40.0,991,1170.602368
40.0,1020,1173.155499
40.0,1093,1179.385821
40.0,1545,1186.241955
38.0,1672,1190.04927
39.0,1632,1196.829849
37.0,1741,1203.891072
39.0,1770,1211.308003
40.0,972,1213.441335
40.0,916,1218.917699
39.0,985,1221.532931
36.0,1045,1227.660825
39.0,1037,1230.214005
38.0,1557,1237.534023
40.0,1581,1244.894459
40.0,1626,1252.273925
39.0,1663,1259.729568
39.0,1774,1267.49299
40.0,945,1269.945105
40.0,1028,1275.804885
40.0,1005,1278.396318
40.0,1077,1284.417509
40.0,1086,1287.193615
40.0,1634,1294.691437
40.0,1673,1302.214445
40.0,1629,1309.723118
40.0,1714,1313.825669
40.0,1776,1321.093816
40.0,940,1326.348183
40.0,988,1328.543935
40.0,1010,1334.152063
40.0,1010,1336.682377
40.0,1056,1342.797519
39.0,1597,1350.20218
35.0,1656,1354.963523
40.0,1698,1363.134264
39.0,1726,1371.220012
40.0,1730,1379.205482
40.0,930,1381.550722
39.0,1000,1388.020414
40.0,1033,1390.765601
40.0,1004,1396.78645
37.0,1054,1402.799927
40.0,1541,1406.695407
39.0,1658,1414.246917
40.0,1626,1421.530862
39.0,1675,1428.639685
38.0,1742,1436.499307
