#{"t_start": 1618989415.2595599, "env_id": "MotorTiming-v0"}
r,l,t
40.0,882,79.914382
40.0,955,82.338634
40.0,983,451.218683
39.0,1048,453.487789
40.0,1051,458.79738
40.0,1597,465.337673
40.0,1627,472.789946
40.0,1702,477.082071
40.0,1702,484.770564
40.0,1699,491.937852
40.0,881,497.271933
34.0,920,499.376886
40.0,1010,505.564218
40.0,997,508.110687
40.0,1062,514.252142
39.0,1558,518.037266
38.0,1630,525.55151
40.0,1653,533.538736
40.0,1713,542.277563
38.0,1761,550.879844
40.0,930,553.117393
40.0,949,558.987771
38.0,991,561.714463
38.0,1064,567.471542
40.0,1120,569.995019
37.0,1555,576.581111
39.0,1686,583.42954
40.0,1627,590.14341
40.0,1659,596.936982
39.0,1789,600.855763
40.0,944,606.237483
38.0,937,608.680059
38.0,1013,614.892887
37.0,1002,618.510646
39.0,1072,625.316893
38.0,1577,632.558205
40.0,1622,636.558886
34.0,1700,644.127401
40.0,1656,651.603977
39.0,1716,659.247506
40.0,875,661.454071
38.0,950,667.517962
37.0,999,669.95426
40.0,1042,675.942473
40.0,1042,678.491509
40.0,1543,686.361888
40.0,1642,694.209571
38.0,1655,701.611154
40.0,1740,708.794348
39.0,1780,716.677253
40.0,886,718.946122
40.0,992,724.746645
40.0,1004,727.313847
40.0,1078,733.454608
38.0,1061,736.281873
40.0,1631,743.934427
40.0,1631,751.247222
40.0,1712,758.345549
40.0,1680,762.056023
40.0,1738,769.058951
38.0,959,774.474521
38.0,935,776.799529
39.0,985,782.749927
38.0,1050,785.345527
40.0,1045,791.392428
40.0,1571,798.676194
40.0,1619,802.711028
40.0,1671,810.302594
40.0,1752,818.086292
39.0,1725,825.798093
40.0,892,827.977966
39.0,933,833.78419
38.0,1028,836.295804
36.0,991,842.229532
37.0,1097,844.90991
40.0,1544,852.198408
40.0,1644,859.196195
40.0,1621,866.708859
40.0,1692,874.347368
40.0,1709,881.971943
38.0,916,884.323408
39.0,941,890.109364
40.0,1046,892.872123
40.0,1008,898.897276
36.0,1072,901.700942
40.0,1595,909.012741
38.0,1603,915.735028
37.0,1693,922.621649
40.0,1730,926.524168
38.0,1802,933.935176
39.0,928,939.774103
38.0,998,942.268831
40.0,1044,948.186885
39.0,1061,950.621759
39.0,1028,956.047888
39.0,1558,962.66027
39.0,1608,966.629105
39.0,1654,974.224543
40.0,1709,981.951087
39.0,1783,989.838763
40.0,927,992.112809
40.0,914,997.846955
40.0,1015,1000.348423
