#{"t_start": 1618934703.756227, "env_id": "MotorTiming-v0"}
r,l,t
38.0,948,8.942168
38.0,967,14.079737
38.0,1042,20.067601
38.0,1007,25.508057
40.0,1069,31.272014
40.0,1583,39.884901
40.0,1607,48.295589
37.0,1675,57.412966
40.0,1711,66.304498
40.0,1756,75.503582
40.0,942,80.148911
38.0,933,84.715716
39.0,1038,89.781186
39.0,1014,94.696779
33.0,1142,100.360054
39.0,1608,108.174531
40.0,1660,116.512108
40.0,1625,124.894025
40.0,1709,133.816486
39.0,1723,142.815313
38.0,931,147.67762
39.0,940,152.724998
40.0,1040,158.047925
35.0,1017,163.245152
40.0,1071,168.427657
39.0,1571,176.415032
40.0,1584,184.312582
39.0,1653,193.407079
39.0,1736,201.975946
38.0,1758,210.343716
39.0,940,214.887087
40.0,971,219.53329
39.0,996,224.291217
38.0,1011,229.141994
39.0,1066,234.429344
40.0,1604,242.086231
38.0,1628,249.893737
39.0,1628,257.641963
39.0,1673,265.812205
39.0,1710,273.999663
38.0,943,278.546384
40.0,1008,283.332686
38.0,1015,288.198768
40.0,1022,293.303823
39.0,1112,298.576983
39.0,1592,306.175921
38.0,1666,314.129137
40.0,1713,322.533653
39.0,1690,330.615921
40.0,1728,338.949181
36.0,947,343.519236
40.0,1008,348.332119
40.0,1003,353.328032
40.0,1043,358.320249
40.0,1105,363.644856
36.0,1584,371.239654
38.0,1607,378.931117
37.0,1705,387.277922
40.0,1666,395.280355
35.0,1695,403.393812
39.0,958,408.001638
40.0,965,412.823698
38.0,1017,417.705328
40.0,1033,422.683342
40.0,1031,427.596847
39.0,1635,435.423084
40.0,1664,443.598138
40.0,1643,451.485939
39.0,1755,460.096486
39.0,1697,468.361974
38.0,908,472.909396
40.0,927,477.328085
40.0,1033,482.322322
40.0,1022,487.202579
40.0,1045,492.234459
40.0,1579,499.819055
40.0,1600,507.669287
39.0,1698,515.841638
40.0,1694,523.981067
40.0,1716,532.399678
39.0,969,537.0937
39.0,964,541.71198
40.0,1046,546.767948
40.0,1007,551.593878
40.0,1130,557.000294
40.0,1569,564.760102
38.0,1620,572.504631
38.0,1627,580.33967
40.0,1714,588.541557
39.0,1727,597.047863
40.0,951,601.604629
39.0,1008,606.438219
35.0,1036,611.433655
40.0,992,616.142183
37.0,1077,621.486676
40.0,1557,628.950682
40.0,1632,636.784905
39.0,1631,644.600254
40.0,1683,652.866238
40.0,1734,661.184864
40.0,880,665.369735
40.0,920,669.884394
40.0,1008,674.739783
39.0,1047,679.745394
39.0,1080,685.168217
40.0,1555,692.63894
39.0,1656,700.598201
39.0,1641,708.498293
40.0,1700,716.819162
40.0,1695,724.967223
40.0,895,729.29985
38.0,1002,734.072106
40.0,1020,739.006347
40.0,992,743.932207
36.0,1063,749.076716
39.0,1551,756.556618
39.0,1661,764.528721
37.0,1655,772.631031
39.0,1681,780.673998
36.0,1774,789.205649
39.0,935,794.57942
40.0,953,799.645585
40.0,973,804.873256
38.0,997,810.174013
38.0,1123,816.109676
37.0,1591,824.568298
37.0,1641,833.181055
40.0,1706,842.35089
40.0,1736,851.405961
40.0,1779,860.709026
39.0,923,865.545585
40.0,959,870.517761
40.0,960,875.588291
40.0,1075,881.245527
39.0,1072,886.945514
40.0,1632,895.620595
39.0,1585,903.959148
39.0,1663,912.749895
38.0,1704,921.801948
39.0,1736,931.050556
38.0,975,936.227068
38.0,996,941.509769
39.0,976,946.722341
40.0,1076,952.566781
40.0,1081,958.247915
40.0,1622,966.935178
39.0,1629,975.621736
40.0,1625,984.208272
39.0,1709,993.227785
40.0,1772,1002.609501
39.0,885,1007.264541
39.0,991,1012.578023
40.0,1007,1017.807612
40.0,1073,1023.287036
38.0,1079,1028.95768
37.0,1556,1037.436145
39.0,1591,1045.882598
39.0,1615,1055.606656
40.0,1682,1064.438687
38.0,1749,1073.900295
40.0,940,1078.968974
39.0,957,1084.004728
39.0,1014,1089.373311
40.0,1019,1094.819966
40.0,1102,1100.645823
38.0,1593,1109.124669
39.0,1581,1117.463576
40.0,1697,1126.451382
40.0,1726,1135.873009
40.0,1763,1144.969106
40.0,989,1150.240668
40.0,976,1155.356846
39.0,1004,1160.798616
39.0,1087,1166.446572
37.0,1045,1171.969722
38.0,1550,1180.04737
39.0,1661,1188.773239
40.0,1669,1197.444271
40.0,1652,1206.162143
40.0,1791,1215.733323
39.0,937,1220.601535
40.0,1023,1226.064941
40.0,1010,1231.398019
39.0,1023,1236.864459
40.0,1070,1242.474623
38.0,1605,1251.148924
38.0,1649,1259.777857
40.0,1691,1268.748776
39.0,1688,1277.884886
39.0,1731,1287.030523
37.0,964,1292.035969
40.0,1001,1297.253903
38.0,992,1302.482874
39.0,1031,1308.059577
39.0,1067,1313.667448
39.0,1622,1322.0414
40.0,1584,1330.356166
39.0,1663,1339.233758
38.0,1709,1348.161977
37.0,1746,1357.410535
40.0,944,1362.39838
40.0,999,1367.745512
40.0,995,1373.144777
40.0,1025,1378.603483
37.0,1125,1384.714049
39.0,1592,1393.148131
40.0,1642,1401.779396
40.0,1668,1410.698023
38.0,1712,1419.782501
39.0,1728,1429.091667
38.0,940,1434.025818
40.0,938,1438.888101
35.0,1030,1444.340044
37.0,1043,1449.853377
40.0,1051,1455.484063
40.0,1607,1463.891981
40.0,1673,1472.709434
36.0,1691,1481.68883
40.0,1709,1490.892409
37.0,1791,1500.359304
40.0,887,1505.092763
40.0,1007,1510.452725
40.0,1004,1515.634996
40.0,1068,1521.197689
39.0,1098,1527.019984
40.0,1578,1535.442044
39.0,1594,1543.848105
40.0,1676,1552.754319
40.0,1734,1561.855461
40.0,1720,1571.05107
39.0,958,1576.180495
40.0,996,1581.513606
37.0,957,1586.486626
39.0,1066,1592.11328
40.0,1115,1598.080157
40.0,1603,1606.435137
40.0,1691,1615.49518
40.0,1671,1624.301241
40.0,1686,1633.10053
39.0,1702,1641.983423
39.0,905,1646.702694
40.0,949,1651.813468
40.0,981,1657.050965
40.0,1003,1662.354975
37.0,1068,1668.076857
40.0,1629,1676.844869
40.0,1618,1685.382566
36.0,1669,1694.109668
40.0,1717,1703.090826
40.0,1788,1712.600734
39.0,934,1717.6168
38.0,968,1722.744832
37.0,1021,1728.211295
39.0,1052,1733.583089
38.0,1120,1739.437687
40.0,1626,1748.067161
40.0,1595,1756.405427
40.0,1687,1765.266306
40.0,1677,1774.121482
40.0,1717,1783.235026
39.0,902,1788.12017
37.0,986,1793.33825
36.0,1021,1798.645428
40.0,1001,1803.965793
40.0,1028,1809.299637
40.0,1622,1817.832942
38.0,1611,1826.358902
40.0,1655,1835.031149
39.0,1765,1844.388499
37.0,1789,1853.866449
40.0,907,1858.576738
40.0,987,1863.800294
38.0,1024,1869.118461
40.0,1001,1874.469797
40.0,1047,1879.999609
40.0,1551,1888.169863
39.0,1635,1896.801162
39.0,1624,1905.330764
40.0,1689,1914.328488
40.0,1760,1923.550056
40.0,944,1928.498981
40.0,926,1933.306496
39.0,1023,1938.802103
40.0,1024,1944.276214
40.0,1067,1949.895547
40.0,1601,1958.2061
40.0,1660,1967.034337
40.0,1699,1976.239026
40.0,1747,1985.554671
40.0,1730,1994.565645
36.0,906,1999.325018
36.0,976,2004.481025
39.0,973,2009.683134
40.0,1030,2015.102164
39.0,1074,2020.823579
40.0,1551,2029.095872
40.0,1598,2037.521854
39.0,1618,2045.983263
40.0,1722,2055.04261
40.0,1705,2064.09508
39.0,898,2068.842423
40.0,941,2073.817565
40.0,1032,2079.345217
40.0,1066,2084.972912
38.0,1123,2090.871115
40.0,1558,2099.050913
39.0,1601,2107.360515
40.0,1688,2116.190878
37.0,1713,2125.186335
40.0,1758,2134.345573
37.0,903,2139.008039
40.0,981,2144.229732
40.0,1020,2149.767816
39.0,1024,2155.274561
37.0,1096,2161.056778
40.0,1599,2169.491411
40.0,1594,2177.754173
40.0,1680,2186.666508
40.0,1729,2195.717314
40.0,1767,2205.010984
40.0,896,2209.797907
40.0,948,2214.836343
39.0,995,2220.076363
40.0,1017,2225.395485
40.0,1070,2230.981333
39.0,1606,2239.345037
39.0,1609,2247.801634
39.0,1717,2257.041899
39.0,1686,2266.314146
40.0,1709,2275.830959
37.0,911,2280.307013
40.0,923,2285.355603
40.0,1001,2290.564831
38.0,1071,2295.764219
40.0,1102,2301.246873
39.0,1618,2309.015942
40.0,1662,2317.034508
40.0,1630,2324.883614
40.0,1715,2333.334118
39.0,1753,2341.760313
40.0,882,2346.0198
40.0,941,2350.572002
40.0,956,2355.117343
38.0,1077,2360.552533
38.0,1109,2365.829787
40.0,1587,2373.459845
40.0,1605,2381.225794
36.0,1647,2389.327918
36.0,1725,2397.585453
36.0,1730,2405.878346
40.0,886,2410.162303
