#{"t_start": 1618934703.753663, "env_id": "MotorTiming-v0"}
r,l,t
37.0,961,9.021608
40.0,943,14.020868
40.0,961,19.569041
39.0,1027,25.095875
38.0,1083,30.988726
39.0,1607,39.699805
37.0,1663,48.410212
40.0,1684,57.570203
39.0,1708,66.462074
39.0,1717,75.453093
40.0,972,80.248114
40.0,987,85.081396
77.0,2039,94.991067
39.0,1008,100.004215
40.0,1034,104.919611
39.0,1641,113.11773
38.0,1647,121.492385
40.0,1684,130.430126
39.0,1657,139.011962
40.0,1789,148.297391
38.0,902,153.163524
40.0,922,157.894705
40.0,1044,163.200639
37.0,1018,168.134402
40.0,1028,173.461515
40.0,1571,181.286806
39.0,1626,189.832407
40.0,1671,198.336786
40.0,1714,206.784446
40.0,1701,214.936616
38.0,943,219.438269
38.0,915,223.820307
40.0,1015,228.678658
40.0,1083,234.044929
40.0,1121,239.370337
37.0,1552,246.813739
40.0,1616,254.546775
36.0,1706,262.8845
35.0,1729,271.163135
40.0,1778,279.682646
40.0,966,284.284924
40.0,947,288.795912
40.0,992,293.774487
39.0,1060,298.797245
40.0,1040,303.778414
38.0,1585,311.357427
38.0,1616,319.087646
39.0,1705,327.461504
39.0,1654,335.395112
38.0,1724,343.683898
38.0,977,348.339791
40.0,1017,353.407763
39.0,957,357.990818
40.0,1063,363.10423
38.0,1047,368.117858
38.0,1653,376.015132
37.0,1597,383.857261
40.0,1696,391.998015
40.0,1724,400.284743
40.0,1692,408.406103
40.0,882,412.822937
39.0,1001,417.632394
40.0,1015,422.515762
38.0,1000,427.282652
39.0,1083,432.482615
40.0,1594,440.187161
40.0,1666,448.276391
39.0,1702,456.638066
40.0,1738,465.103413
39.0,1749,473.708012
39.0,881,477.882917
38.0,915,482.32357
36.0,977,486.985399
40.0,1049,492.044131
40.0,1035,497.02442
39.0,1597,504.887747
38.0,1610,512.621738
40.0,1633,520.47389
40.0,1761,528.945367
40.0,1713,537.337623
34.0,934,541.815349
40.0,926,546.299586
39.0,958,550.891291
40.0,1050,555.939334
40.0,1060,561.188139
39.0,1599,568.918194
40.0,1632,576.756423
40.0,1680,584.807909
40.0,1674,593.007439
40.0,1752,601.41567
39.0,954,605.997049
40.0,937,610.522661
39.0,976,615.147804
39.0,1074,620.420184
40.0,1056,625.590357
40.0,1611,633.288646
40.0,1680,641.366004
40.0,1619,649.104099
37.0,1717,657.480184
39.0,1795,666.112231
39.0,964,670.836064
40.0,953,675.425206
39.0,1011,680.34515
40.0,1081,685.666005
40.0,1067,690.793008
38.0,1556,698.282517
40.0,1590,705.92157
35.0,1616,713.912187
38.0,1734,722.238303
40.0,1712,730.458909
40.0,888,734.678179
39.0,946,739.251842
40.0,1013,744.286049
39.0,1073,749.465502
40.0,1088,754.738316
39.0,1623,762.522691
40.0,1625,770.403164
40.0,1619,778.231957
39.0,1708,786.44779
40.0,1727,795.72735
38.0,930,800.647035
40.0,989,805.978718
40.0,956,811.051334
40.0,1061,816.667814
40.0,1027,822.122785
40.0,1575,830.405623
40.0,1642,839.250213
39.0,1672,847.963738
40.0,1680,856.740224
39.0,1793,866.132586
40.0,956,871.127991
38.0,1014,876.459098
40.0,1023,881.888396
39.0,1028,887.337851
40.0,1071,893.058319
40.0,1601,901.485785
40.0,1682,910.408337
38.0,1640,919.052624
39.0,1694,928.062468
40.0,1790,937.591116
36.0,944,942.610101
36.0,936,947.659523
37.0,1003,953.030516
37.0,1050,958.556825
40.0,1082,964.374868
40.0,1607,972.971248
38.0,1620,981.511244
40.0,1670,990.323699
40.0,1753,999.643534
39.0,1775,1009.087852
40.0,945,1014.030674
40.0,930,1018.854292
40.0,983,1023.850303
39.0,1060,1029.456475
40.0,1116,1035.581667
40.0,1563,1043.888459
37.0,1597,1052.93867
39.0,1687,1062.457624
40.0,1687,1071.438345
36.0,1735,1080.811255
38.0,905,1085.519817
40.0,962,1090.657427
38.0,975,1095.843041
38.0,1041,1101.372822
40.0,1040,1106.91867
39.0,1563,1115.129785
40.0,1655,1123.898584
40.0,1647,1132.94535
40.0,1737,1141.947387
39.0,1778,1151.335807
40.0,955,1156.372635
40.0,942,1161.441619
39.0,1041,1166.868516
40.0,1071,1172.525558
39.0,1105,1178.29546
40.0,1566,1186.464361
40.0,1641,1195.050918
38.0,1699,1203.935794
40.0,1740,1213.233635
40.0,1720,1222.285475
40.0,963,1227.408426
40.0,1011,1232.757143
40.0,1050,1238.330578
40.0,1039,1243.829978
40.0,1071,1249.65478
40.0,1562,1257.825403
40.0,1594,1266.214721
38.0,1710,1275.494052
40.0,1721,1284.683695
40.0,1743,1293.750254
39.0,982,1298.85473
40.0,942,1303.862509
40.0,1024,1309.37427
40.0,995,1314.579235
38.0,1047,1319.950841
40.0,1567,1328.158879
36.0,1638,1336.842573
40.0,1657,1345.54529
39.0,1708,1354.607202
40.0,1796,1364.099192
39.0,877,1368.85018
32.0,960,1373.998077
40.0,982,1379.257623
39.0,995,1384.664426
39.0,1044,1390.193823
40.0,1618,1398.691888
33.0,1665,1407.58663
40.0,1699,1416.594149
40.0,1749,1425.921217
40.0,1705,1435.027825
40.0,874,1439.550642
40.0,958,1444.635329
38.0,956,1449.676954
39.0,1029,1455.186874
40.0,1079,1460.862068
40.0,1587,1469.214189
40.0,1658,1478.00437
40.0,1705,1487.088345
40.0,1738,1496.316105
40.0,1753,1505.675663
40.0,927,1510.599527
40.0,1009,1515.800207
40.0,1031,1521.171074
40.0,1001,1526.472636
40.0,1043,1532.060778
39.0,1630,1540.653765
37.0,1650,1549.446061
39.0,1705,1558.382881
39.0,1686,1567.356776
38.0,1717,1576.562197
36.0,890,1581.315307
40.0,992,1586.466245
40.0,1047,1592.004633
40.0,1056,1597.657655
40.0,1120,1603.495003
37.0,1587,1611.992469
40.0,1680,1620.782704
40.0,1688,1629.738122
40.0,1655,1638.332417
40.0,1738,1647.39519
36.0,932,1652.421103
40.0,957,1657.505852
39.0,980,1662.700345
39.0,1044,1668.301851
39.0,1081,1674.092762
35.0,1583,1682.535921
39.0,1617,1690.988942
40.0,1725,1700.043165
39.0,1760,1709.34072
40.0,1718,1718.536155
39.0,907,1723.314969
40.0,972,1728.528036
40.0,1030,1733.784112
40.0,1060,1739.329317
39.0,1082,1745.0412
39.0,1543,1753.20976
38.0,1650,1761.819366
39.0,1673,1770.61706
40.0,1713,1779.748856
40.0,1793,1789.34135
39.0,972,1794.47135
40.0,981,1799.572859
40.0,962,1804.686756
38.0,1033,1810.044806
38.0,1123,1815.987208
39.0,1641,1824.595447
39.0,1660,1833.318456
40.0,1680,1842.236845
38.0,1665,1851.056097
38.0,1742,1860.18532
40.0,921,1865.023554
35.0,929,1869.877843
40.0,1024,1875.339311
40.0,1087,1881.090793
40.0,1062,1886.657907
39.0,1614,1895.197321
40.0,1590,1903.548416
40.0,1664,1912.403169
39.0,1738,1921.458999
40.0,1726,1930.509889
40.0,954,1935.546308
40.0,981,1940.868893
40.0,1007,1946.217081
39.0,1054,1951.766405
40.0,1074,1957.26944
37.0,1626,1965.922514
40.0,1644,1974.822555
40.0,1645,1983.597276
39.0,1726,1992.616554
36.0,1777,2001.971963
40.0,948,2007.005514
40.0,992,2012.286386
40.0,1033,2017.750614
38.0,1008,2023.029887
40.0,1062,2028.774321
40.0,1612,2037.279044
39.0,1598,2045.634472
40.0,1639,2054.251179
40.0,1672,2063.150835
40.0,1758,2072.425442
39.0,882,2077.167538
38.0,946,2082.157298
38.0,1025,2087.534326
39.0,1024,2092.942898
39.0,1069,2098.551915
39.0,1609,2106.891804
40.0,1615,2115.332809
39.0,1641,2123.957212
40.0,1699,2132.807884
39.0,1709,2141.71554
40.0,900,2146.508878
40.0,1017,2152.094631
39.0,1028,2157.555133
37.0,1052,2163.124411
38.0,1057,2168.685926
40.0,1637,2177.157382
40.0,1655,2185.955478
39.0,1699,2194.85451
40.0,1722,2203.908731
40.0,1699,2212.961105
40.0,913,2217.778795
40.0,967,2222.849812
40.0,973,2227.935177
37.0,1042,2233.300568
40.0,1078,2238.979708
40.0,1633,2247.562206
40.0,1674,2256.574528
40.0,1677,2265.515286
39.0,1736,2275.474855
40.0,1753,2284.523016
39.0,889,2289.243201
39.0,935,2293.843886
35.0,1025,2298.93374
36.0,1075,2304.161487
38.0,1118,2309.500145
40.0,1584,2317.138457
39.0,1662,2325.128031
40.0,1644,2333.241035
39.0,1748,2341.659659
39.0,1762,2350.162797
39.0,944,2354.657485
40.0,951,2359.467666
39.0,1026,2364.346732
40.0,1027,2369.341767
40.0,1028,2374.24311
40.0,1629,2382.103011
39.0,1589,2389.968881
39.0,1644,2397.825943
40.0,1709,2406.003971
38.0,1704,2414.167358
38.0,934,2418.875761
40.0,964,2423.491559
40.0,1031,2428.468777
39.0,1023,2433.362568
40.0,1048,2438.433679
39.0,1582,2446.033841
39.0,1676,2454.312332
39.0,1692,2462.449681
40.0,1717,2470.720662
39.0,1733,2479.332075
40.0,933,2483.784853
39.0,969,2488.467809
40.0,1037,2493.427537
36.0,1044,2498.482989
40.0,1077,2503.598841
38.0,1636,2511.868356
39.0,1654,2519.813096
39.0,1710,2527.989912
38.0,1735,2536.293105
40.0,1790,2545.067901
40.0,906,2549.441522
40.0,913,2553.788727
39.0,1035,2558.764387
39.0,1022,2563.645207
39.0,1072,2568.955007
37.0,1633,2576.813453
38.0,1625,2584.579023
40.0,1656,2592.550368
40.0,1692,2600.854268
38.0,1712,2609.051637
40.0,902,2613.402012
39.0,935,2617.901762
39.0,1020,2622.772523
39.0,1068,2628.09464
