#{"t_start": 1618987897.5097642, "env_id": "MotorTiming-v0"}
r,l,t
37.0,906,85.558616
35.0,919,87.49279
40.0,1008,388.842336
40.0,1032,391.063069
40.0,1089,396.469842
39.0,1631,403.270748
39.0,1643,410.328553
39.0,1715,414.170829
38.0,1694,421.407138
38.0,1780,428.798264
37.0,949,434.301813
40.0,984,436.50381
38.0,1013,442.091595
40.0,1083,444.513444
40.0,1047,450.082987
38.0,1646,456.963901
39.0,1645,460.557614
40.0,1686,467.390422
38.0,1692,474.202995
38.0,1735,481.095334
40.0,948,483.123079
39.0,1013,488.447073
38.0,989,490.569024
40.0,1030,496.093419
40.0,1103,498.529091
36.0,1570,505.069174
40.0,1624,511.720658
40.0,1689,518.479893
38.0,1691,525.1961
40.0,1751,532.118103
40.0,970,534.228253
40.0,929,539.30665
40.0,998,541.491821
39.0,1061,546.877614
37.0,1094,549.297842
40.0,1618,555.885368
36.0,1598,562.493558
38.0,1660,569.137217
39.0,1722,572.884514
40.0,1764,579.857439
40.0,878,584.846206
38.0,917,586.868024
38.0,985,592.12621
40.0,1076,594.452254
40.0,1091,599.930878
39.0,1610,606.57504
38.0,1631,610.268109
40.0,1648,617.298965
36.0,1712,624.369067
40.0,1727,631.454894
37.0,903,633.454668
38.0,971,638.829623
40.0,1045,641.071671
39.0,1068,646.52834
40.0,1047,651.890173
40.0,1610,655.461132
39.0,1655,662.192143
40.0,1668,668.977556
40.0,1744,675.883241
40.0,1747,682.944334
38.0,895,684.985262
35.0,979,690.290923
40.0,980,692.471227
40.0,1064,698.259069
37.0,1040,700.910352
38.0,1570,708.444903
39.0,1589,715.787579
40.0,1658,722.708241
38.0,1704,726.468364
40.0,1775,733.582901
37.0,938,738.80159
40.0,948,740.863752
40.0,1052,747.132058
38.0,1087,750.031462
40.0,1095,756.128193
39.0,1602,763.31723
37.0,1590,770.003508
38.0,1634,773.866582
40.0,1750,781.489442
40.0,1718,789.325574
39.0,891,794.666952
39.0,938,797.146918
39.0,955,799.499113
40.0,1076,805.598836
32.0,1093,811.206458
39.0,1547,814.732413
37.0,1594,821.687891
40.0,1675,829.843531
40.0,1740,837.593126
40.0,1744,845.566049
37.0,964,848.055123
40.0,915,853.747178
37.0,978,856.056023
39.0,996,861.486272
40.0,1042,864.141453
33.0,1616,871.818131
34.0,1591,879.538287
40.0,1707,887.072804
40.0,1734,891.768823
40.0,1762,899.556119
35.0,951,905.177052
40.0,976,907.523165
39.0,1025,913.410369
31.0,1072,915.821735
39.0,1039,923.009421
38.0,1589,930.046757
39.0,1587,933.771776
36.0,1690,941.418842
40.0,1706,949.551369
40.0,1734,956.75662
39.0,958,962.081049
38.0,944,964.255084
40.0,1008,966.431486
39.0,1077,971.97895
39.0,1102,977.519688
39.0,1600,981.068938
39.0,1669,988.805351
40.0,1646,996.40267
39.0,1718,1003.959928
40.0,1729,1011.489876
40.0,923,1013.674949
40.0,993,1019.293252
36.0,969,1021.695388
40.0,1081,1027.423197
39.0,1027,1029.908007
40.0,1586,1037.336232
39.0,1628,1044.096911
40.0,1689,1051.058904
39.0,1686,1057.935544
40.0,1731,1061.772895
39.0,936,1066.993644
40.0,959,1069.090839
37.0,1039,1074.554064
40.0,1001,1076.715483
40.0,1092,1082.446494
39.0,1581,1089.014804
40.0,1664,1095.734352
40.0,1650,1099.396848
39.0,1711,1106.300899
40.0,1753,1113.503192
40.0,881,1118.576434
34.0,945,1120.728476
40.0,993,1126.021948
40.0,1024,1128.40007
39.0,1112,1133.943671
40.0,1610,1137.51836
40.0,1592,1144.318147
38.0,1644,1151.126619
40.0,1748,1158.212987
