#{"t_start": 1618987897.51074, "env_id": "MotorTiming-v0"}
r,l,t
40.0,950,85.658788
36.0,985,87.733764
40.0,1002,389.070326
40.0,996,391.21119
40.0,1075,396.58935
40.0,1623,403.376989
40.0,1586,410.301057
37.0,1708,414.127693
37.0,1700,421.375264
40.0,1717,428.624069
40.0,985,434.213208
39.0,970,436.381042
33.0,970,441.87476
40.0,1066,444.249429
40.0,1085,449.910641
40.0,1604,456.706776
38.0,1629,460.259028
40.0,1707,467.146855
40.0,1692,473.962259
40.0,1719,480.820114
40.0,910,482.766278
36.0,965,487.992027
40.0,1020,490.175428
39.0,1078,495.789655
38.0,1106,498.23372
40.0,1580,504.80505
40.0,1632,511.473184
37.0,1621,518.083281
40.0,1724,524.864162
38.0,1766,531.825813
40.0,941,533.880181
40.0,959,539.020005
40.0,973,541.14759
40.0,1085,546.581599
39.0,1075,548.968931
40.0,1556,555.416221
40.0,1622,562.073473
40.0,1665,568.730272
40.0,1686,572.411868
38.0,1720,579.290356
40.0,919,584.352245
40.0,996,586.558588
40.0,1001,591.834521
38.0,1074,594.17014
40.0,1096,599.646446
40.0,1645,606.357434
40.0,1666,610.136289
38.0,1672,617.224861
40.0,1729,624.332308
40.0,1755,631.482925
40.0,908,633.492917
38.0,959,638.841246
40.0,1034,641.056402
40.0,1073,646.523853
40.0,1072,651.94601
40.0,1549,655.379304
37.0,1641,662.070027
40.0,1709,668.953018
39.0,1676,675.70363
40.0,1703,682.645673
37.0,935,684.80092
37.0,991,690.127135
40.0,952,692.258089
40.0,1073,697.988977
39.0,1062,700.728296
39.0,1627,708.417919
40.0,1603,715.800906
39.0,1693,722.79708
40.0,1672,726.484108
39.0,1779,733.606686
40.0,895,738.725396
38.0,946,740.788307
39.0,957,746.742295
40.0,1024,749.616946
40.0,1039,755.474199
40.0,1594,762.70591
37.0,1621,766.375076
38.0,1650,773.382622
40.0,1746,781.029101
40.0,1714,788.850883
40.0,956,790.921373
40.0,958,796.793664
40.0,1038,799.373368
39.0,1088,805.511489
39.0,1052,807.829006
40.0,1550,814.568445
38.0,1580,821.445509
40.0,1646,829.50738
40.0,1694,837.133202
40.0,1743,845.121286
40.0,912,847.500133
38.0,928,853.179211
40.0,987,855.571902
40.0,1009,861.049806
38.0,1110,863.818673
29.0,1578,871.427183
39.0,1632,879.235201
40.0,1666,886.647199
39.0,1710,891.34049
40.0,1750,899.103968
40.0,881,904.539811
40.0,1006,906.987636
40.0,978,912.71283
40.0,1080,915.209375
40.0,1041,922.349029
39.0,1639,929.504905
36.0,1638,933.391623
37.0,1718,941.042656
39.0,1736,949.288269
40.0,1717,956.48399
40.0,899,958.449181
40.0,924,963.804377
37.0,1002,965.97504
39.0,1000,971.343623
40.0,1106,973.763825
40.0,1596,980.450154
40.0,1596,987.741178
38.0,1676,995.599414
40.0,1714,1003.126195
40.0,1717,1010.616751
40.0,920,1012.902127
40.0,999,1018.428605
40.0,1016,1021.051176
40.0,1066,1026.664828
40.0,1074,1029.323329
40.0,1543,1036.681668
40.0,1613,1043.357811
39.0,1696,1050.264289
40.0,1751,1054.255103
39.0,1725,1061.214273
38.0,891,1066.325629
39.0,985,1068.504501
40.0,990,1073.825272
40.0,1030,1076.081968
38.0,1092,1081.79152
39.0,1545,1088.249598
39.0,1675,1091.944409
38.0,1654,1098.723744
39.0,1744,1105.687952
38.0,1771,1112.920597
40.0,969,1115.02573
40.0,915,1120.276208
40.0,985,1122.417043
40.0,1039,1127.962168
40.0,1037,1130.213357
38.0,1556,1136.802612
39.0,1598,1143.624378
40.0,1626,1150.37033
40.0,1663,1157.117268
