#{"t_start": 1618987897.502437, "env_id": "MotorTiming-v0"}
r,l,t
39.0,952,85.672517
39.0,942,87.651035
40.0,968,388.914445
39.0,1024,391.118689
39.0,1085,396.516362
39.0,1607,403.259087
40.0,1663,410.368119
39.0,1684,414.132932
40.0,1713,421.418485
39.0,1715,428.658918
40.0,975,434.225058
40.0,980,436.414612
40.0,1043,442.070817
40.0,991,444.278515
38.0,1117,450.012884
38.0,1591,456.775959
40.0,1629,460.335851
39.0,1657,467.106364
40.0,1735,474.018718
38.0,1765,480.972776
37.0,948,483.000257
40.0,989,488.27487
40.0,998,490.412844
37.0,1019,495.909175
39.0,1040,498.197701
39.0,1621,504.865002
38.0,1608,511.477225
38.0,1625,518.099634
40.0,1676,524.771502
40.0,1764,531.729639
40.0,918,533.734926
38.0,964,538.883729
39.0,1002,541.079016
40.0,1039,546.40995
40.0,1083,548.81864
39.0,1553,555.253614
38.0,1661,561.994103
40.0,1631,565.511954
37.0,1688,572.271242
39.0,1773,579.261556
40.0,939,584.368466
39.0,948,586.464086
40.0,1041,591.830072
39.0,1091,594.205467
39.0,1103,599.699312
40.0,1637,606.393683
40.0,1633,610.094522
39.0,1641,617.113671
36.0,1713,624.190652
40.0,1752,631.330823
40.0,931,633.390602
40.0,959,638.73863
36.0,1011,640.909236
40.0,1082,646.392145
40.0,1132,651.945842
37.0,1551,655.3837
40.0,1658,662.113664
39.0,1689,668.950496
37.0,1748,675.866179
40.0,1706,682.83155
38.0,876,684.837112
39.0,937,690.039255
39.0,1003,692.286934
40.0,1073,698.02866
39.0,1055,700.742522
39.0,1644,708.477646
40.0,1581,715.799708
40.0,1651,722.699972
40.0,1692,726.435601
40.0,1769,733.537326
39.0,890,738.641708
39.0,923,740.658216
38.0,965,746.603267
39.0,1059,749.578338
39.0,1035,755.419633
39.0,1641,762.769602
40.0,1619,766.429639
39.0,1688,773.530247
37.0,1725,781.121847
38.0,1780,789.087563
40.0,924,791.086765
40.0,993,797.092595
37.0,963,799.463989
39.0,1041,805.482453
37.0,1087,811.079543
40.0,1640,814.817669
40.0,1621,821.856268
38.0,1688,830.057287
40.0,1683,837.65814
39.0,1729,845.583145
40.0,910,847.938303
40.0,918,853.630414
40.0,1034,856.084035
40.0,1052,861.646675
40.0,1124,864.492705
39.0,1546,872.020461
37.0,1659,879.889761
38.0,1709,887.490853
39.0,1677,895.597369
40.0,1784,899.819795
40.0,929,905.405
40.0,976,907.756229
38.0,1000,913.566418
38.0,1050,915.929794
39.0,1126,923.348208
38.0,1638,930.509185
38.0,1607,937.645658
40.0,1671,941.891011
37.0,1749,950.033481
38.0,1691,957.155794
40.0,906,962.384199
39.0,994,964.641332
39.0,1044,970.029301
40.0,1077,972.444688
39.0,1122,978.078516
39.0,1601,981.574399
36.0,1604,989.261202
40.0,1692,996.906236
36.0,1739,1004.572589
39.0,1770,1012.21856
37.0,965,1014.475826
40.0,929,1019.97335
40.0,1017,1022.427308
40.0,1030,1028.088885
39.0,1121,1030.779803
39.0,1636,1038.248079
40.0,1685,1045.095678
37.0,1698,1052.134499
40.0,1714,1059.074685
40.0,1750,1066.029262
38.0,958,1068.176103
39.0,982,1073.453602
37.0,992,1075.661102
33.0,1032,1081.183423
40.0,1069,1083.575753
40.0,1573,1090.151042
40.0,1622,1096.81474
40.0,1687,1103.619091
35.0,1703,1107.355189
40.0,1772,1114.620444
40.0,970,1119.975785
40.0,942,1122.035672
40.0,1043,1127.555564
39.0,1068,1129.905082
40.0,1125,1135.561484
40.0,1618,1142.380938
40.0,1623,1149.086687
40.0,1623,1152.685883
40.0,1662,1159.640429
