#{"t_start": 1618987897.5086231, "env_id": "MotorTiming-v0"}
r,l,t
40.0,967,85.699141
38.0,1004,87.81192
40.0,1010,389.170304
40.0,1040,394.486979
40.0,1046,396.717961
38.0,1616,403.495282
40.0,1592,410.440007
40.0,1649,414.122346
39.0,1684,421.337464
40.0,1749,428.663023
34.0,901,434.026033
39.0,943,436.169651
39.0,963,441.647399
40.0,1083,444.06075
40.0,1043,449.618824
39.0,1563,453.060964
40.0,1667,459.966319
40.0,1671,466.786274
39.0,1709,473.638394
39.0,1788,480.635421
37.0,957,482.693467
39.0,1007,488.012822
38.0,996,490.140605
38.0,1028,495.647943
39.0,1079,498.022444
40.0,1591,504.630062
40.0,1588,511.192946
37.0,1639,517.834297
38.0,1715,524.609828
39.0,1746,531.524574
40.0,954,533.611176
39.0,1006,535.774525
40.0,963,540.95953
36.0,992,543.082364
40.0,1104,548.64314
40.0,1556,555.078678
40.0,1602,561.685851
40.0,1661,565.280649
40.0,1704,572.07422
39.0,1783,579.091039
38.0,893,584.093262
40.0,953,586.189356
39.0,987,591.432831
39.0,1084,593.813385
40.0,1026,599.110492
38.0,1556,602.503231
39.0,1660,609.398777
40.0,1663,616.440717
40.0,1660,623.420163
39.0,1748,630.543744
40.0,966,632.698174
40.0,942,638.009427
37.0,1026,640.236701
40.0,1027,645.575729
40.0,1122,648.018234
40.0,1629,654.730409
39.0,1587,661.30772
40.0,1682,668.110689
40.0,1749,675.001314
37.0,1772,682.073949
35.0,945,684.296128
40.0,1010,689.651586
38.0,959,691.808967
40.0,1016,697.232002
40.0,1106,700.222973
40.0,1585,707.688914
37.0,1603,715.119087
39.0,1643,719.021385
35.0,1741,725.966617
39.0,1718,732.958519
40.0,961,738.190531
38.0,1006,740.412325
39.0,1047,746.509873
40.0,1019,749.41625
40.0,1094,755.387479
37.0,1548,762.525986
40.0,1630,766.22435
40.0,1639,773.193915
40.0,1706,780.74934
40.0,1782,788.7334
40.0,920,790.729838
40.0,970,796.599982
40.0,1029,799.159241
39.0,1023,805.156823
40.0,1107,807.588508
40.0,1638,814.549293
40.0,1626,821.550439
40.0,1646,829.628071
36.0,1699,837.254429
40.0,1727,845.194118
39.0,907,847.560903
38.0,943,853.287928
38.0,1011,855.720117
40.0,1049,861.292129
39.0,1092,864.056228
40.0,1600,871.688945
40.0,1638,879.53447
40.0,1697,887.041509
40.0,1683,891.604915
40.0,1698,899.26081
34.0,876,904.689411
39.0,919,906.912428
40.0,989,912.668961
39.0,1064,915.13073
40.0,1043,922.269694
39.0,1614,929.367329
38.0,1642,933.27678
39.0,1632,940.711011
40.0,1753,949.022138
40.0,1708,956.194137
39.0,977,958.333525
40.0,989,963.832035
36.0,963,965.914792
40.0,1008,971.299083
40.0,1072,973.648537
40.0,1632,980.409015
38.0,1649,987.845373
40.0,1697,995.746113
40.0,1752,1003.345428
38.0,1741,1010.895429
37.0,962,1013.262058
39.0,991,1018.797109
39.0,972,1021.297131
38.0,1018,1026.809083
40.0,1109,1029.542991
40.0,1563,1036.931391
40.0,1634,1043.67071
40.0,1710,1050.675967
38.0,1680,1054.424203
39.0,1748,1061.432376
37.0,954,1066.700828
40.0,978,1068.84551
40.0,982,1074.176783
39.0,1033,1076.420307
40.0,1137,1082.239152
38.0,1629,1088.905676
40.0,1623,1092.434577
40.0,1658,1099.229131
37.0,1674,1106.049561
39.0,1712,1113.164843
39.0,916,1115.142487
39.0,947,1120.464933
39.0,992,1122.629794
36.0,1038,1128.164705
39.0,1030,1130.394099
39.0,1546,1136.962173
40.0,1662,1143.91795
40.0,1698,1150.841405
40.0,1702,1157.721029
