#{"t_start": 1618987897.513747, "env_id": "MotorTiming-v0"}
r,l,t
38.0,938,85.625246
40.0,924,87.571037
40.0,974,388.846794
39.0,1015,391.028469
39.0,1060,396.370167
40.0,1630,403.165069
37.0,1581,410.07846
40.0,1680,413.830971
40.0,1723,421.142276
38.0,1767,428.508077
39.0,949,433.971687
40.0,959,436.160979
39.0,1029,441.787396
39.0,1003,444.021855
40.0,1134,449.786441
39.0,1624,453.356176
40.0,1597,460.107907
36.0,1705,466.999196
39.0,1732,473.902954
40.0,1738,480.799823
39.0,923,482.777513
40.0,956,487.981156
35.0,970,490.052451
35.0,1058,495.625809
40.0,1031,497.895845
39.0,1602,504.528491
40.0,1583,511.079696
38.0,1639,517.710357
37.0,1671,524.400323
40.0,1740,528.204221
40.0,947,533.370323
40.0,953,535.427212
40.0,959,540.598097
40.0,1007,542.76236
40.0,1092,548.278959
40.0,1585,554.781932
38.0,1616,561.413693
40.0,1701,565.107808
40.0,1710,571.91125
37.0,1733,578.822113
40.0,931,583.904595
40.0,1013,586.131529
39.0,963,591.318499
40.0,1044,593.622426
36.0,1045,598.949076
39.0,1569,602.378261
36.0,1627,609.202214
40.0,1627,616.152618
40.0,1669,623.155635
39.0,1765,630.308013
40.0,889,632.309901
40.0,962,637.629825
39.0,963,639.759164
40.0,1045,645.115024
39.0,1086,647.503447
40.0,1620,654.200968
40.0,1673,660.95052
40.0,1717,667.809518
40.0,1704,674.614848
34.0,1784,678.546382
40.0,960,683.968938
39.0,955,686.100906
39.0,1027,691.520323
39.0,1078,693.849613
38.0,1121,700.086836
40.0,1579,707.527905
40.0,1647,715.078545
38.0,1703,722.18765
37.0,1727,726.032656
39.0,1758,733.109335
39.0,967,738.362574
38.0,1003,740.569763
35.0,997,746.579571
40.0,1075,749.595181
40.0,1107,755.633512
40.0,1586,762.826605
39.0,1605,766.452003
35.0,1650,773.463546
40.0,1716,781.04109
40.0,1737,788.911698
39.0,961,790.993062
37.0,914,796.765288
40.0,1000,799.253825
40.0,1030,805.260226
40.0,1047,807.549495
38.0,1612,814.454014
40.0,1589,821.33475
40.0,1690,829.518516
39.0,1740,837.272659
39.0,1721,845.196004
40.0,881,847.487245
40.0,939,853.202789
38.0,1000,855.620197
40.0,1000,861.076567
40.0,1127,863.898796
37.0,1604,871.557434
39.0,1656,879.437784
38.0,1631,886.768253
40.0,1756,891.53695
40.0,1718,899.244175
39.0,900,904.734233
40.0,1001,907.153019
39.0,1038,913.053947
40.0,1032,915.385093
40.0,1106,922.709114
34.0,1560,929.664652
40.0,1661,933.609245
40.0,1626,941.043939
40.0,1691,949.189406
40.0,1746,956.446758
36.0,916,958.451853
39.0,934,963.831203
40.0,965,965.917606
39.0,1002,971.285772
40.0,1110,973.718781
39.0,1614,980.443552
39.0,1618,987.798833
40.0,1709,995.734833
40.0,1691,1003.19591
40.0,1724,1010.704216
36.0,885,1012.907072
40.0,949,1018.316306
40.0,982,1020.833627
40.0,1003,1026.316181
39.0,1059,1028.921193
37.0,1573,1036.390752
40.0,1624,1043.087107
40.0,1706,1046.842454
39.0,1655,1053.807754
40.0,1782,1060.897991
39.0,918,1066.038216
39.0,935,1068.131609
40.0,979,1073.399332
40.0,1055,1075.746866
40.0,1103,1081.443086
38.0,1585,1084.917193
38.0,1582,1091.522576
40.0,1708,1098.412047
39.0,1755,1105.394804
40.0,1770,1112.622539
39.0,934,1114.662252
40.0,939,1119.947401
38.0,1003,1122.140815
39.0,1011,1127.597066
40.0,1077,1129.960917
37.0,1618,1136.685672
37.0,1648,1143.61332
39.0,1646,1150.406035
38.0,1738,1157.336297
