#{"t_start": 1618987897.507603, "env_id": "MotorTiming-v0"}
r,l,t
38.0,927,85.606678
39.0,982,87.678589
40.0,971,388.949509
39.0,993,391.083343
40.0,1069,396.445214
40.0,1562,403.077991
39.0,1677,410.222964
40.0,1678,413.96814
40.0,1694,421.213074
40.0,1792,428.635166
40.0,970,434.188472
40.0,999,436.423944
40.0,958,441.890192
39.0,1003,444.1243
40.0,1097,449.809024
40.0,1640,456.684756
40.0,1587,460.142026
39.0,1676,466.967064
39.0,1720,473.844939
40.0,1760,480.787435
39.0,935,482.795376
39.0,928,487.937359
39.0,1015,490.106213
38.0,1029,495.614608
33.0,1090,498.015423
40.0,1575,504.589141
40.0,1598,511.172796
39.0,1633,517.79609
40.0,1695,524.532179
40.0,1731,528.315445
40.0,913,533.410293
38.0,981,535.52735
40.0,1035,540.865899
33.0,1003,543.011687
40.0,1050,548.44624
40.0,1632,555.053258
34.0,1642,561.753811
39.0,1668,565.362777
36.0,1714,572.178216
40.0,1771,579.165046
40.0,883,584.148092
38.0,965,586.270964
38.0,1044,591.644556
40.0,1072,593.985537
36.0,1120,599.505321
40.0,1553,605.995203
39.0,1662,609.787138
40.0,1636,616.780293
37.0,1697,623.836556
37.0,1734,630.932492
40.0,916,632.966273
40.0,1008,638.423989
39.0,1011,640.60444
38.0,1060,646.031845
40.0,1107,648.426283
37.0,1544,654.952285
40.0,1597,661.560287
39.0,1700,668.405896
40.0,1750,675.307902
39.0,1786,682.428853
39.0,950,684.634763
40.0,1011,689.997906
40.0,970,692.167996
38.0,1048,697.795892
40.0,1092,700.651022
40.0,1604,708.27785
40.0,1607,715.654071
40.0,1688,722.66242
38.0,1677,726.369756
38.0,1718,733.359981
40.0,951,738.594267
39.0,1006,740.797045
38.0,1006,746.910637
40.0,1029,749.744218
40.0,1126,755.842396
39.0,1562,762.968615
40.0,1661,766.711617
39.0,1701,773.851901
40.0,1735,781.442939
38.0,1734,789.31207
40.0,966,794.862716
40.0,948,797.338723
40.0,1051,803.339635
38.0,1069,805.965224
40.0,1037,811.488135
39.0,1629,815.150977
39.0,1641,822.283756
38.0,1637,830.364066
36.0,1688,838.019474
38.0,1728,845.91273
38.0,918,848.266387
36.0,964,854.096764
39.0,998,856.441098
39.0,1050,861.994933
40.0,1101,864.797781
37.0,1580,872.4288
39.0,1596,880.099456
40.0,1692,887.703281
40.0,1742,895.938433
37.0,1706,899.992111
39.0,879,905.437249
39.0,945,907.708709
35.0,977,913.473425
40.0,1032,915.791957
40.0,1086,923.098804
38.0,1592,930.155412
40.0,1617,933.935824
40.0,1620,941.408902
39.0,1715,949.566531
40.0,1783,956.87686
40.0,955,962.201797
36.0,987,964.457104
39.0,1043,969.8345
40.0,1055,972.212809
34.0,1071,977.703928
40.0,1596,981.225432
40.0,1590,988.787773
40.0,1626,996.340141
39.0,1695,1003.834048
39.0,1791,1011.525572
35.0,930,1013.724834
39.0,939,1019.201448
39.0,966,1021.61552
39.0,1003,1027.121556
40.0,1116,1029.849527
40.0,1540,1037.181971
40.0,1614,1043.894356
38.0,1652,1050.772569
40.0,1663,1054.474203
40.0,1753,1061.495653
38.0,928,1066.705616
39.0,921,1068.725992
40.0,993,1074.075992
40.0,1006,1076.266626
40.0,1093,1081.980057
40.0,1575,1088.512561
39.0,1603,1092.033972
40.0,1678,1098.865914
39.0,1756,1105.860799
40.0,1797,1113.157804
40.0,907,1115.116666
40.0,954,1120.453638
40.0,1021,1122.684129
40.0,1067,1128.282409
40.0,1117,1133.828723
38.0,1580,1137.331432
40.0,1634,1144.238638
40.0,1674,1151.110071
39.0,1691,1158.033047
