#{"t_start": 1618987897.5119889, "env_id": "MotorTiming-v0"}
r,l,t
38.0,969,85.701277
38.0,966,87.733672
40.0,951,388.959445
40.0,1029,391.171034
34.0,1072,396.542318
40.0,1597,403.264206
39.0,1654,410.350033
40.0,1659,414.049883
37.0,1779,421.494747
37.0,1711,428.728965
40.0,980,434.303265
40.0,947,436.420791
40.0,973,441.921337
39.0,1077,444.317412
40.0,1126,450.072643
40.0,1574,456.798708
39.0,1655,460.413816
40.0,1648,467.166211
39.0,1692,473.981693
39.0,1757,480.919286
40.0,950,482.951157
40.0,928,488.098876
38.0,1028,490.299365
37.0,1045,495.848002
40.0,1069,498.202896
39.0,1608,504.839112
40.0,1596,511.425717
40.0,1624,518.043232
39.0,1745,524.873992
40.0,1727,531.747547
40.0,941,533.803695
40.0,967,538.958448
40.0,955,541.047745
38.0,1033,546.366338
36.0,1078,548.764617
39.0,1616,555.339413
39.0,1625,562.002311
38.0,1673,568.677427
40.0,1710,572.414436
39.0,1767,579.392045
38.0,893,584.401331
40.0,965,586.536672
37.0,1016,591.848108
36.0,1048,594.12509
40.0,1098,599.602722
40.0,1599,606.1978
40.0,1654,609.962449
39.0,1646,616.988992
40.0,1716,624.079295
40.0,1779,631.27733
40.0,972,633.429847
40.0,938,638.732854
36.0,1033,640.949713
39.0,1060,646.386376
37.0,1101,651.865925
38.0,1588,655.392395
37.0,1579,661.948281
40.0,1706,668.820624
39.0,1726,675.680486
40.0,1727,682.688343
40.0,932,684.828841
40.0,922,689.994832
40.0,1000,692.233372
39.0,1018,697.793493
38.0,1120,700.712109
40.0,1580,708.28727
39.0,1629,715.720979
39.0,1662,722.659661
36.0,1670,726.349003
40.0,1744,733.397265
40.0,913,738.545697
39.0,995,740.724759
40.0,1030,746.887745
40.0,1033,749.734193
39.0,1073,755.704865
39.0,1581,762.882332
38.0,1606,766.507227
38.0,1658,773.541561
39.0,1731,781.146787
38.0,1722,788.982281
40.0,924,790.982372
36.0,932,796.801807
39.0,976,799.226874
38.0,1031,805.238578
39.0,1059,807.557269
40.0,1629,814.499561
36.0,1610,821.445761
40.0,1682,829.6196
38.0,1664,837.151889
40.0,1785,845.254798
40.0,946,847.712949
40.0,1010,853.645668
40.0,958,855.908006
40.0,1004,861.360898
39.0,1078,864.096271
39.0,1633,871.820919
40.0,1671,879.734845
39.0,1658,887.160178
40.0,1684,891.717397
39.0,1718,899.406525
40.0,925,904.95436
39.0,914,907.170265
39.0,976,912.909331
39.0,992,915.181122
40.0,1054,922.352878
39.0,1596,929.402881
38.0,1653,933.332221
38.0,1666,940.856421
35.0,1734,949.110927
39.0,1759,956.394415
40.0,965,958.509153
39.0,976,963.98663
39.0,975,966.095865
40.0,999,971.459095
39.0,1102,973.872863
39.0,1587,980.537494
36.0,1663,988.065077
39.0,1666,995.847741
38.0,1717,1003.354989
35.0,1748,1010.924295
39.0,952,1013.262691
38.0,931,1018.648031
38.0,1025,1021.279674
40.0,995,1026.737593
40.0,1090,1029.427496
38.0,1588,1036.877622
37.0,1615,1043.571472
40.0,1653,1050.404021
40.0,1661,1054.170198
40.0,1759,1061.200926
40.0,971,1066.493365
40.0,961,1068.612828
40.0,1009,1073.990936
40.0,1086,1076.358544
40.0,1121,1082.141017
40.0,1607,1088.751312
37.0,1602,1092.248572
40.0,1630,1098.98513
40.0,1743,1105.949584
39.0,1698,1113.022751
37.0,983,1115.158334
39.0,971,1120.534877
39.0,975,1122.659529
40.0,1013,1128.137655
40.0,1129,1133.70542
40.0,1574,1137.20567
40.0,1662,1144.171396
40.0,1650,1150.989561
40.0,1679,1157.841852
