#{"t_start": 1618919946.1496582, "env_id": "MotorTiming-v0"}
r,l,t
33.0,951,49.254007
40.0,942,61.051748
39.0,958,74.125948
40.0,1021,87.50067
40.0,1078,100.457672
37.0,1607,120.849047
32.0,1665,141.059035
28.0,1682,161.571144
39.0,1707,183.350804
31.0,1712,206.697026
24.0,970,218.239223
37.0,981,231.240076
30.0,1038,244.560109
39.0,990,257.315395
31.0,1114,270.570337
40.0,1580,291.139679
26.0,1630,311.105045
38.0,1645,333.342209
25.0,1735,356.105767
39.0,1765,379.075093
40.0,947,390.446462
32.0,989,402.677849
30.0,994,415.438222
37.0,1016,426.602855
38.0,1038,440.672309
23.0,1610,461.634629
39.0,1603,483.066947
39.0,1620,503.785787
35.0,1666,525.560514
36.0,1761,548.206951
36.0,914,559.324906
39.0,954,571.742058
39.0,1005,584.455613
37.0,1038,596.971172
37.0,1083,609.860872
36.0,1551,628.816542
37.0,1658,648.989579
35.0,1630,669.238759
40.0,1688,689.70791
37.0,1762,711.745974
24.0,938,722.769545
37.0,945,735.458974
36.0,1039,748.015608
36.0,1083,760.853266
39.0,1088,775.038047
39.0,1633,794.074007
40.0,1635,815.231575
38.0,1637,835.878323
38.0,1711,856.243721
37.0,1751,878.310408
40.0,928,889.744724
36.0,947,902.059336
32.0,1011,915.404045
38.0,1079,928.671068
40.0,1126,943.372481
28.0,1551,963.19244
35.0,1645,983.591515
35.0,1690,1004.249555
37.0,1745,1026.279701
34.0,1702,1047.045504
38.0,875,1057.753036
36.0,935,1068.959754
40.0,1006,1081.345154
36.0,1072,1094.176506
40.0,1052,1108.330123
39.0,1635,1128.176931
37.0,1577,1148.795047
39.0,1637,1168.122573
39.0,1694,1189.875623
40.0,1766,1210.58424
40.0,887,1221.746143
38.0,923,1234.142249
36.0,960,1245.323937
25.0,1061,1258.516721
39.0,1026,1271.104001
32.0,1634,1291.267927
37.0,1598,1311.591218
39.0,1688,1332.099645
39.0,1710,1352.43487
26.0,1774,1374.359937
35.0,923,1385.721363
37.0,993,1398.049109
40.0,951,1409.188911
33.0,1035,1423.081222
35.0,1081,1435.682688
36.0,1637,1456.015775
39.0,1616,1475.005848
32.0,1688,1496.589965
40.0,1679,1516.950214
36.0,1727,1537.840029
38.0,895,1550.005899
35.0,917,1560.886524
40.0,1032,1573.627811
36.0,1057,1587.454934
40.0,1119,1600.113825
32.0,1544,1618.988162
37.0,1653,1640.280272
39.0,1712,1661.215859
38.0,1676,1681.668572
40.0,1784,1703.387179
28.0,928,1714.119082
31.0,976,1727.22107
28.0,997,1737.876835
40.0,1044,1753.062843
32.0,1116,1766.179863
40.0,1634,1790.046205
39.0,1588,1810.443306
36.0,1664,1830.124186
39.0,1746,1851.684466
37.0,1691,1872.167435
38.0,911,1882.952669
36.0,991,1895.337003
36.0,1044,1907.136104
26.0,1074,1920.580119
37.0,1115,1932.561906
28.0,1593,1953.877121
40.0,1604,1973.161971
33.0,1676,1995.415696
37.0,1711,2017.671659
39.0,1770,2040.236686
40.0,964,2051.338061
38.0,929,2063.788418
40.0,1010,2075.639129
37.0,1029,2088.411278
38.0,1117,2102.899888
39.0,1638,2123.888552
40.0,1675,2144.128071
40.0,1700,2164.234025
31.0,1714,2185.839791
30.0,1751,2206.484591
34.0,958,2218.89827
38.0,980,2231.190614
32.0,981,2242.243795
38.0,1033,2254.600281
40.0,1069,2268.232732
38.0,1569,2286.744115
36.0,1621,2307.196022
40.0,1683,2327.201663
40.0,1694,2347.746704
40.0,1770,2369.501584
39.0,964,2380.818812
39.0,938,2393.181059
32.0,1034,2405.793185
40.0,1068,2418.721863
39.0,1099,2432.625196
40.0,1616,2451.428474
40.0,1622,2471.471912
36.0,1620,2491.669684
39.0,1659,2511.797965
33.0,1708,2532.263713
37.0,960,2543.152672
27.0,968,2555.599855
40.0,997,2567.988426
40.0,1009,2580.580373
32.0,1057,2593.214895
37.0,1628,2613.182582
35.0,1587,2631.778899
35.0,1663,2651.836732
31.0,1675,2671.973976
40.0,1775,2693.57769
35.0,935,2704.656607
40.0,921,2715.60008
33.0,999,2729.23156
37.0,1049,2741.728494
37.0,1090,2756.424286
40.0,1615,2777.084252
37.0,1632,2798.714323
40.0,1617,2822.177757
38.0,1739,2844.265298
38.0,1744,2864.554243
37.0,967,2876.923322
40.0,996,2888.043499
40.0,1025,2901.747101
37.0,1048,2914.465379
37.0,1034,2926.826226
37.0,1612,2945.629416
32.0,1603,2965.529785
38.0,1648,2986.159936
37.0,1696,3006.456198
38.0,1791,3028.316252
38.0,887,3039.118302
37.0,966,3050.034397
40.0,1012,3062.499757
38.0,1041,3076.185907
33.0,1039,3088.524421
40.0,1540,3107.00925
39.0,1651,3127.095621
40.0,1653,3145.953586
38.0,1721,3167.316691
38.0,1711,3187.538594
40.0,931,3199.733083
37.0,937,3210.634248
36.0,975,3222.877318
35.0,1034,3235.194844
40.0,1078,3247.663787
37.0,1620,3267.870708
39.0,1579,3286.748417
39.0,1698,3307.131718
34.0,1726,3329.338836
40.0,1744,3349.854458
31.0,953,3362.169546
39.0,982,3373.176164
39.0,1046,3387.011381
39.0,1013,3399.401819
39.0,1067,3412.121544
40.0,1602,3430.875304
38.0,1647,3451.04627
36.0,1648,3471.211063
38.0,1694,3491.461687
36.0,1752,3513.156407
38.0,880,3523.884506
37.0,917,3534.866005
37.0,961,3546.979011
26.0,1063,3559.4402
39.0,1099,3573.169914
40.0,1584,3591.928479
38.0,1623,3611.980259
36.0,1660,3632.116415
39.0,1659,3652.304779
38.0,1702,3672.765102
37.0,874,3683.643918
39.0,914,3694.510204
39.0,1041,3706.891942
40.0,1080,3719.456361
36.0,1040,3731.813497
40.0,1601,3751.730806
38.0,1675,3772.091612
37.0,1690,3792.167351
40.0,1692,3812.192739
39.0,1708,3833.5602
35.0,954,3844.42504
39.0,937,3856.555426
37.0,984,3867.713724
37.0,1016,3879.99497
37.0,1056,3892.355622
40.0,1574,3912.150016
40.0,1627,3931.032458
39.0,1618,3951.060132
39.0,1742,3972.610049
38.0,1742,3992.898972
38.0,958,4005.279822
40.0,980,4016.254962
40.0,1011,4028.49949
40.0,988,4040.777193
33.0,1061,4053.236304
35.0,1629,4073.369587
37.0,1600,4093.373893
38.0,1714,4113.558663
39.0,1737,4134.973232
40.0,1712,4155.086718
36.0,896,4165.802422
38.0,928,4176.853832
38.0,990,4189.118523
37.0,1005,4201.39741
39.0,1049,4213.924771
40.0,1572,4232.582074
34.0,1600,4253.998485
37.0,1663,4275.950656
40.0,1671,4296.472513
39.0,1791,4318.087042
34.0,933,4329.22436
29.0,1003,4341.779537
40.0,957,4353.093665
38.0,994,4367.040993
40.0,1065,4380.129309
40.0,1555,4400.031163
40.0,1653,4420.473175
36.0,1679,4440.751774
39.0,1702,4460.996099
38.0,1725,4481.289469
37.0,947,4493.312911
37.0,956,4504.245781
38.0,950,4516.946453
40.0,1019,4530.092483
36.0,1050,4542.453915
40.0,1592,4560.660707
40.0,1622,4580.920658
37.0,1645,4601.268086
39.0,1719,4622.501758
40.0,1703,4642.909988
40.0,924,4652.909076
37.0,914,4663.32398
38.0,1018,4675.830112
38.0,1080,4687.638012
39.0,1026,4699.455135
38.0,1623,4718.301446
37.0,1643,4738.320364
38.0,1673,4758.737693
32.0,1709,4779.059559
38.0,1725,4801.327172
34.0,892,4812.402749
37.0,939,4823.261722
36.0,991,4835.816604
40.0,1024,4847.32948
33.0,1102,4859.052628
38.0,1611,4877.93298
37.0,1599,4897.617651
38.0,1633,4916.779173
40.0,1691,4936.957452
35.0,1704,4958.868474
38.0,953,4969.782892
38.0,935,4981.922947
40.0,1041,4994.30035
40.0,1043,5006.691897
40.0,1109,5019.375963
40.0,1632,5039.316225
40.0,1625,5059.39371
38.0,1712,5079.425591
40.0,1674,5099.372776
39.0,1730,5120.981456
39.0,945,5131.881171
37.0,976,5144.218516
40.0,976,5156.534371
33.0,1061,5168.821643
38.0,1086,5181.368115
39.0,1611,5201.318368
40.0,1621,5221.225243
30.0,1619,5239.751735
40.0,1671,5259.739977
37.0,1722,5281.021449
39.0,963,5291.942419
37.0,966,5304.18263
36.0,963,5315.606219
39.0,998,5329.596915
38.0,1056,5343.751329
40.0,1550,5364.453718
37.0,1586,5385.419055
40.0,1631,5405.740177
39.0,1656,5426.216609
39.0,1711,5447.17049
40.0,947,5458.613594
40.0,966,5471.185546
37.0,1024,5483.739941
37.0,1005,5496.573234
36.0,1028,5510.445348
40.0,1593,5532.104216
40.0,1651,5553.177243
34.0,1712,5575.055244
39.0,1652,5598.665996
40.0,1777,5621.81295
37.0,927,5633.420638
35.0,990,5646.542582
38.0,1026,5659.371593
35.0,1051,5672.029015
39.0,1094,5686.314723
35.0,1616,5706.849698
34.0,1602,5726.258829
40.0,1636,5746.664187
39.0,1741,5769.793014
39.0,1720,5791.481554
35.0,906,5803.425543
37.0,943,5815.654141
38.0,994,5828.028626
39.0,1033,5840.817946
38.0,1093,5854.895265
40.0,1584,5874.707949
38.0,1639,5896.996187
40.0,1658,5918.099601
39.0,1698,5938.966776
40.0,1703,5959.596934
40.0,963,5972.035847
37.0,988,5984.837757
40.0,998,5998.336013
39.0,993,6009.888816
40.0,1119,6024.091344
36.0,1558,6044.038081
38.0,1604,6067.819233
39.0,1668,6088.308766
40.0,1715,6108.584107
40.0,1691,6129.041118
40.0,880,6139.943644
30.0,1006,6152.417485
39.0,1033,6164.696942
38.0,1030,6177.114625
37.0,1105,6191.647322
38.0,1552,6210.787174
40.0,1667,6231.553294
39.0,1699,6251.755269
36.0,1722,6273.271643
40.0,1741,6293.546765
38.0,969,6305.785618
39.0,922,6316.577897
40.0,951,6328.880632
40.0,1044,6341.467006
36.0,1075,6353.916788
38.0,1607,6375.186161
40.0,1616,6395.044088
40.0,1631,6416.317481
38.0,1670,6436.938163
37.0,1714,6457.6858
36.0,970,6470.281898
27.0,1009,6482.834435
38.0,987,6495.153829
40.0,1048,6507.799518
38.0,1105,6520.548399
37.0,1573,6540.581719
34.0,1645,6562.029012
40.0,1694,6582.687535
40.0,1707,6604.647405
40.0,1775,6627.858459
38.0,891,6639.074726
34.0,1001,6652.954393
40.0,1044,6667.45887
36.0,1048,6681.403105
37.0,1049,6695.014257
39.0,1579,6715.077577
39.0,1610,6734.115986
34.0,1631,6754.503935
40.0,1668,6776.534852
40.0,1760,6801.140136
26.0,898,6812.921501
40.0,933,6824.522391
39.0,986,6837.667268
39.0,993,6850.859121
40.0,1101,6864.121307
35.0,1605,6886.001929
40.0,1590,6905.167813
39.0,1701,6925.520621
39.0,1698,6947.325862
39.0,1742,6967.830248
40.0,908,6978.734064
40.0,997,6991.17091
39.0,991,7003.472079
34.0,1002,7015.807222
37.0,1054,7029.333704
38.0,1607,7049.466833
40.0,1589,7069.948122
38.0,1715,7090.325665
39.0,1716,7112.839533
39.0,1753,7133.651964
39.0,922,7145.882437
37.0,970,7156.96977
40.0,1026,7169.423773
35.0,1079,7183.322315
39.0,1125,7195.876069
