#{"t_start": 1618919946.148465, "env_id": "MotorTiming-v0"}
r,l,t
40.0,946,49.24143
39.0,965,61.097377
39.0,1019,74.300198
39.0,1076,89.125958
36.0,1063,102.025071
37.0,1590,122.336796
39.0,1671,142.58656
24.0,1622,161.678884
37.0,1735,184.900412
20.0,1777,208.310602
39.0,952,219.851301
39.0,989,232.877675
39.0,1012,246.059545
40.0,1081,259.09662
36.0,1067,273.441721
30.0,1615,292.826067
36.0,1633,314.947895
39.0,1678,336.3294
29.0,1713,357.935177
33.0,1760,380.781947
36.0,918,392.099871
38.0,918,402.891683
34.0,1018,415.706177
39.0,1000,428.065879
39.0,1061,442.275888
39.0,1581,463.346838
35.0,1586,483.237483
37.0,1631,505.319608
39.0,1677,527.2129
38.0,1714,549.656319
37.0,886,559.380669
35.0,924,571.729762
33.0,985,583.15027
39.0,998,595.506724
33.0,1036,608.34986
40.0,1586,628.641017
37.0,1636,647.439074
33.0,1619,667.681909
39.0,1664,688.172084
39.0,1701,708.797694
29.0,914,720.944085
37.0,980,732.398285
35.0,976,744.8213
24.0,996,757.597239
32.0,1119,770.286172
36.0,1605,790.867034
33.0,1649,811.706487
36.0,1633,831.234035
36.0,1655,851.544226
37.0,1694,873.559497
35.0,904,884.68751
39.0,1007,897.419751
33.0,1006,908.840215
37.0,1045,923.723502
26.0,1121,936.840631
34.0,1624,958.159522
40.0,1605,978.898676
40.0,1653,999.439665
35.0,1712,1020.108465
32.0,1759,1042.120528
40.0,923,1053.180868
37.0,976,1064.235813
29.0,1009,1076.864734
35.0,1017,1089.223703
40.0,1054,1103.502722
36.0,1581,1123.175886
37.0,1605,1142.495901
38.0,1673,1163.324305
37.0,1718,1185.203377
40.0,1734,1205.955637
38.0,911,1218.276289
33.0,1000,1229.748877
37.0,1019,1242.168794
40.0,1078,1256.700211
40.0,1124,1270.866951
34.0,1624,1289.673732
28.0,1638,1310.179335
37.0,1700,1330.613275
40.0,1708,1352.272693
38.0,1696,1372.80064
23.0,919,1384.056396
35.0,1000,1396.488885
34.0,1036,1409.062479
33.0,1023,1421.67261
28.0,1043,1434.157967
31.0,1544,1453.074099
31.0,1578,1473.18464
35.0,1636,1492.02049
40.0,1746,1513.942563
35.0,1693,1534.475479
35.0,936,1546.918909
38.0,934,1559.204359
32.0,1011,1571.807938
32.0,1045,1584.451896
39.0,1058,1596.847052
38.0,1560,1615.871567
37.0,1670,1637.109402
33.0,1664,1656.756628
24.0,1677,1677.324283
35.0,1733,1698.616914
39.0,942,1709.547731
30.0,929,1722.482144
37.0,957,1733.212308
35.0,1032,1746.976344
38.0,1114,1761.027871
32.0,1561,1782.449015
34.0,1603,1805.758997
23.0,1689,1825.296899
39.0,1692,1845.432817
37.0,1774,1867.397793
32.0,960,1878.124928
33.0,992,1890.635438
40.0,1045,1902.779548
34.0,1010,1914.585854
39.0,1098,1928.072972
35.0,1559,1947.906213
38.0,1578,1966.784208
35.0,1657,1987.095863
34.0,1700,2009.288413
39.0,1748,2032.526847
40.0,886,2043.385649
23.0,926,2054.394751
40.0,988,2067.379414
39.0,1005,2080.310559
34.0,1074,2093.003387
38.0,1632,2114.485872
37.0,1650,2134.769697
40.0,1622,2154.91093
40.0,1710,2175.045338
33.0,1719,2195.408485
33.0,885,2206.43737
38.0,1003,2218.958385
28.0,1027,2231.354531
21.0,1051,2243.85792
37.0,1074,2257.494046
38.0,1626,2276.16471
38.0,1672,2296.339085
30.0,1711,2318.042183
39.0,1732,2338.444382
38.0,1777,2360.32323
40.0,958,2372.863383
38.0,914,2383.847747
38.0,964,2394.939852
36.0,1034,2407.677057
39.0,1090,2421.824129
38.0,1551,2440.510142
29.0,1594,2460.547628
39.0,1639,2479.347507
39.0,1739,2501.163438
33.0,1786,2522.898534
36.0,950,2533.914947
37.0,919,2546.007118
37.0,974,2557.21211
39.0,993,2569.643916
39.0,1026,2582.257492
39.0,1552,2600.985513
39.0,1584,2619.58986
40.0,1639,2639.536619
40.0,1708,2661.035488
26.0,1764,2681.298514
37.0,886,2692.12218
38.0,943,2704.478684
20.0,995,2715.585515
36.0,1057,2730.585952
34.0,1062,2743.188025
39.0,1616,2764.300302
36.0,1645,2783.829797
39.0,1692,2809.248726
38.0,1689,2831.978478
39.0,1717,2852.181026
39.0,892,2863.05064
40.0,915,2873.876607
39.0,956,2886.324732
34.0,1017,2898.675507
34.0,1123,2912.805527
38.0,1541,2931.424807
33.0,1632,2950.189276
40.0,1683,2970.419161
37.0,1665,2991.135701
38.0,1785,3012.808817
36.0,963,3025.215537
35.0,957,3036.173583
38.0,997,3048.437758
26.0,1028,3060.908835
40.0,1095,3074.686441
35.0,1570,3093.325277
39.0,1639,3113.272074
38.0,1631,3133.237902
24.0,1747,3153.607544
37.0,1751,3175.037379
30.0,918,3185.956308
35.0,969,3198.198223
38.0,1040,3210.615521
37.0,1002,3222.925249
32.0,1067,3235.308449
40.0,1580,3253.86867
38.0,1660,3274.385446
35.0,1710,3296.070904
40.0,1689,3316.769256
39.0,1709,3337.474063
36.0,966,3349.6761
39.0,1005,3362.109858
36.0,994,3373.140104
36.0,1011,3385.651256
36.0,1030,3398.035425
36.0,1580,3418.237799
36.0,1601,3436.990878
31.0,1641,3457.213554
29.0,1653,3477.396849
38.0,1751,3499.031125
39.0,972,3510.05841
29.0,928,3520.954098
39.0,1002,3533.338376
32.0,993,3545.559763
35.0,1054,3557.965674
39.0,1605,3578.004058
39.0,1643,3598.130291
40.0,1658,3618.151515
37.0,1680,3638.366477
38.0,1732,3658.767782
38.0,955,3671.153182
38.0,915,3682.159013
36.0,983,3694.436698
40.0,1086,3706.923221
40.0,1115,3720.860865
36.0,1637,3740.8504
31.0,1586,3759.744688
40.0,1637,3779.655123
40.0,1661,3799.641898
40.0,1779,3821.139755
32.0,910,3831.959644
38.0,985,3842.924223
30.0,966,3855.042332
30.0,1017,3867.591217
38.0,1051,3879.949651
39.0,1636,3899.87198
39.0,1662,3919.848209
40.0,1691,3940.263807
35.0,1750,3961.831788
38.0,1735,3982.029723
39.0,902,3992.88911
35.0,953,4005.257991
37.0,1010,4017.532294
35.0,1076,4029.953233
40.0,1079,4042.419727
35.0,1599,4062.405165
35.0,1619,4082.583614
33.0,1641,4101.336334
36.0,1692,4122.708942
35.0,1742,4142.820864
40.0,910,4153.650308
40.0,987,4165.843816
37.0,1042,4178.416927
39.0,991,4190.662127
40.0,1071,4203.132738
32.0,1572,4223.190813
38.0,1646,4242.834973
37.0,1686,4266.032191
37.0,1686,4287.197985
40.0,1777,4308.724138
40.0,901,4319.649526
39.0,982,4330.914727
40.0,987,4343.376971
34.0,1079,4358.12712
39.0,1065,4372.011054
40.0,1573,4390.925396
39.0,1604,4410.962767
37.0,1625,4430.031123
36.0,1721,4451.612151
39.0,1784,4473.355958
40.0,937,4484.235064
33.0,969,4496.394914
37.0,952,4507.674205
37.0,1068,4520.250753
36.0,1059,4534.723673
39.0,1547,4552.722363
40.0,1628,4572.709281
34.0,1625,4592.283043
40.0,1694,4612.623725
40.0,1779,4634.237389
40.0,888,4644.531195
40.0,998,4655.925387
39.0,1041,4667.892799
40.0,1079,4681.814711
40.0,1122,4693.862575
39.0,1548,4712.207218
38.0,1614,4730.615055
39.0,1644,4750.730997
39.0,1742,4772.496487
36.0,1781,4793.625319
38.0,939,4806.020717
38.0,919,4817.119249
40.0,973,4829.378363
39.0,995,4840.245061
39.0,1118,4853.200971
40.0,1629,4872.104297
40.0,1629,4891.465741
40.0,1714,4911.996163
37.0,1700,4932.170841
34.0,1787,4954.395982
27.0,906,4965.162682
40.0,918,4976.014274
34.0,997,4988.298997
37.0,1010,5000.545658
32.0,1062,5013.201299
38.0,1572,5033.020069
40.0,1589,5051.749912
40.0,1651,5071.665449
40.0,1717,5091.747772
38.0,1792,5113.195444
37.0,948,5125.620664
37.0,992,5137.929382
40.0,1038,5150.368065
36.0,1056,5162.70276
40.0,1039,5174.972782
38.0,1563,5193.730894
40.0,1629,5213.671224
40.0,1710,5233.666601
34.0,1666,5253.615561
40.0,1764,5275.03111
39.0,969,5287.177817
40.0,952,5298.09399
40.0,964,5310.591932
40.0,1053,5324.687712
40.0,1037,5338.837813
38.0,1596,5360.791852
40.0,1592,5380.787282
38.0,1622,5401.010901
40.0,1664,5421.304274
37.0,1789,5444.026809
36.0,958,5455.279785
40.0,939,5466.43719
39.0,988,5478.986605
36.0,1021,5491.899984
36.0,1091,5506.881433
40.0,1581,5528.656342
36.0,1583,5548.204126
35.0,1681,5569.875165
39.0,1705,5594.580314
38.0,1730,5616.884562
36.0,905,5628.476956
39.0,987,5641.517582
39.0,1009,5654.414155
40.0,1050,5667.110113
38.0,1037,5679.90168
39.0,1540,5699.063326
39.0,1616,5719.777622
39.0,1651,5740.388852
40.0,1654,5761.582004
39.0,1774,5784.932873
36.0,895,5796.684521
39.0,924,5808.257393
36.0,959,5820.257425
34.0,993,5832.752363
40.0,1110,5846.846933
39.0,1595,5866.726134
36.0,1621,5888.039016
40.0,1633,5909.964123
40.0,1704,5930.927458
40.0,1769,5953.186263
40.0,965,5964.273774
39.0,1000,5976.984294
40.0,1036,5990.201961
40.0,1087,6004.879413
38.0,1061,6017.693224
39.0,1578,6037.508451
39.0,1603,6060.247545
40.0,1683,6082.188604
38.0,1705,6102.460378
40.0,1705,6124.186988
40.0,971,6135.326192
38.0,929,6146.258563
39.0,958,6158.562135
39.0,1058,6170.883413
34.0,1075,6184.940647
39.0,1592,6204.562597
29.0,1628,6225.330278
39.0,1701,6245.518806
39.0,1652,6265.563077
40.0,1721,6285.828353
38.0,919,6297.991752
37.0,945,6308.859095
40.0,1044,6321.261346
40.0,1025,6333.91829
40.0,1105,6347.647774
39.0,1564,6366.644337
38.0,1592,6386.488606
30.0,1646,6408.454774
33.0,1701,6430.406395
33.0,1774,6451.439033
37.0,917,6463.565723
38.0,994,6475.130356
38.0,964,6487.450977
37.0,994,6499.91611
39.0,1038,6512.558966
37.0,1562,6531.322625
39.0,1590,6550.228938
38.0,1707,6573.068601
40.0,1676,6594.416258
38.0,1738,6616.029785
39.0,938,6629.38171
40.0,954,6640.984768
36.0,1019,6654.81473
40.0,1023,6669.333832
31.0,1101,6684.68305
38.0,1601,6704.353128
40.0,1663,6724.705473
40.0,1635,6745.06015
40.0,1695,6766.225181
36.0,1742,6791.012796
40.0,874,6802.873342
38.0,922,6814.616012
39.0,1045,6827.730576
34.0,1074,6840.990483
37.0,1041,6855.768572
36.0,1549,6875.901738
39.0,1639,6897.098098
