#{"t_start": 1618919946.150922, "env_id": "MotorTiming-v0"}
r,l,t
39.0,877,47.742068
40.0,957,60.908597
40.0,987,74.058191
38.0,1048,87.491238
30.0,1051,100.390503
35.0,1590,119.472116
37.0,1628,139.586474
33.0,1692,160.103851
33.0,1701,183.168344
40.0,1697,205.151977
37.0,880,216.451555
37.0,921,228.016894
39.0,1008,241.093508
39.0,997,253.98333
25.0,1059,267.227742
40.0,1560,286.461863
34.0,1624,307.31018
32.0,1654,330.02692
37.0,1712,350.811515
36.0,1760,374.365371
35.0,923,385.598912
40.0,945,396.740131
34.0,991,409.103822
40.0,1064,421.931212
30.0,1121,436.001673
37.0,1550,456.229492
35.0,1661,478.365393
40.0,1619,500.072782
40.0,1658,521.869611
40.0,1789,544.888428
40.0,934,556.21811
37.0,930,567.095465
29.0,1003,579.95148
34.0,994,592.298671
37.0,1069,605.252951
40.0,1570,625.409794
32.0,1614,644.213663
36.0,1687,664.696398
36.0,1657,685.185843
31.0,1717,707.103399
39.0,876,717.825264
40.0,951,729.151958
36.0,993,741.69226
40.0,1042,754.547566
31.0,1043,767.070103
39.0,1542,786.353288
34.0,1641,806.702283
33.0,1656,827.916827
32.0,1718,848.457926
40.0,1778,870.643027
39.0,886,881.520805
38.0,987,894.391865
25.0,1004,906.781159
34.0,1079,920.502592
40.0,1059,933.68496
37.0,1629,954.786456
40.0,1630,975.897972
35.0,1696,996.509658
34.0,1672,1016.995381
38.0,1741,1038.908243
38.0,942,1050.179044
39.0,929,1061.047874
33.0,981,1073.719383
38.0,1049,1086.04971
29.0,1043,1099.024598
37.0,1567,1119.819749
36.0,1604,1139.165891
39.0,1669,1160.034382
40.0,1751,1182.120352
37.0,1713,1202.802115
38.0,892,1213.696631
39.0,932,1226.362275
34.0,1014,1237.459807
39.0,990,1250.253599
39.0,1098,1264.560855
39.0,1543,1283.441986
38.0,1635,1303.871954
38.0,1620,1322.549954
37.0,1692,1343.006334
39.0,1712,1365.029887
