#{"t_start": 1619005243.979567, "env_id": "MotorTiming-v0"}
r,l,t
40.0,875,101.77714
36.0,956,104.368126
40.0,992,587.689594
40.0,1051,590.423833
40.0,1055,596.975712
38.0,1592,605.242335
40.0,1631,614.315943
40.0,1702,619.094103
39.0,1705,627.857463
39.0,1701,636.426457
36.0,880,642.671059
40.0,920,645.4729
40.0,1009,652.195885
40.0,999,654.979787
37.0,1065,661.859244
40.0,1585,666.527192
40.0,1624,675.498677
39.0,1667,684.274284
39.0,1733,692.98595
38.0,1761,702.188735
40.0,926,704.585768
39.0,946,711.125232
38.0,1007,713.893817
40.0,1068,720.688199
40.0,1122,723.978533
39.0,1550,731.920523
38.0,1661,740.27283
40.0,1620,748.454989
40.0,1660,757.800631
40.0,1787,763.398151
40.0,936,770.202037
40.0,928,773.005907
39.0,1004,779.455661
40.0,993,782.207896
38.0,1071,789.028301
39.0,1574,797.51545
40.0,1615,801.972042
40.0,1693,810.278656
36.0,1658,818.75509
40.0,1716,827.272559
40.0,875,829.606364
40.0,950,835.692139
40.0,996,838.42414
34.0,1049,845.636762
38.0,1039,848.914436
40.0,1555,857.325498
37.0,1643,865.529779
38.0,1655,874.070761
40.0,1727,884.063081
40.0,1785,893.98723
39.0,886,896.392455
40.0,985,903.217854
40.0,1011,906.160204
37.0,1089,913.225184
39.0,1068,916.25115
37.0,1630,924.403969
40.0,1630,932.810219
40.0,1699,941.35182
38.0,1670,945.927735
37.0,1739,954.445716
40.0,954,960.951115
40.0,932,963.677501
39.0,980,970.555677
40.0,1051,973.584272
40.0,1043,980.275796
39.0,1570,988.520702
40.0,1604,993.182211
40.0,1677,1001.717318
40.0,1750,1010.646848
40.0,1713,1019.19648
39.0,889,1021.815583
40.0,941,1028.386923
40.0,1016,1031.24702
40.0,1005,1037.597433
40.0,1096,1040.574381
40.0,1545,1048.387353
37.0,1643,1056.8398
40.0,1653,1065.247957
40.0,1691,1073.43586
34.0,1709,1081.863019
39.0,917,1084.466058
40.0,958,1090.924785
40.0,1045,1093.861073
38.0,1007,1100.168029
40.0,1069,1103.092613
39.0,1590,1111.208833
40.0,1595,1119.400738
40.0,1687,1127.265179
40.0,1730,1131.805873
39.0,1786,1140.221511
39.0,930,1146.360981
40.0,997,1149.056038
40.0,1044,1155.52823
39.0,1087,1158.505656
40.0,1035,1165.039973
40.0,1548,1173.046344
37.0,1619,1177.601412
40.0,1662,1185.86031
38.0,1713,1194.236822
40.0,1768,1203.437942
39.0,927,1206.090185
40.0,912,1212.028851
38.0,1005,1214.814524
39.0,1066,1221.426858
40.0,1119,1224.58273
38.0,1619,1233.151709
39.0,1614,1241.267355
39.0,1709,1249.593655
40.0,1688,1258.027068
40.0,1770,1267.026349
40.0,894,1269.523607
40.0,994,1275.881289
39.0,959,1278.467558
38.0,1009,1284.831487
39.0,1100,1287.753888
40.0,1617,1295.375633
40.0,1603,1303.361921
40.0,1658,1313.092225
39.0,1716,1318.025839
36.0,1778,1326.912287
36.0,900,1333.070469
39.0,963,1335.755802
40.0,1025,1342.256776
40.0,1012,1345.050384
40.0,1101,1351.913154
39.0,1623,1360.161485
40.0,1599,1364.525951
39.0,1645,1372.706257
40.0,1663,1381.102108
40.0,1735,1389.468339
38.0,888,1391.894094
40.0,929,1398.358077
35.0,1036,1401.189216
37.0,1086,1407.794078
38.0,1073,1414.377112
40.0,1597,1418.906613
40.0,1644,1427.226304
40.0,1698,1435.702485
40.0,1766,1444.267136
36.0,1772,1452.85009
37.0,947,1455.45772
40.0,1010,1461.933062
38.0,1016,1464.774733
40.0,1051,1471.442768
40.0,1042,1474.296093
40.0,1621,1482.528836
40.0,1630,1490.69358
38.0,1644,1498.882447
40.0,1734,1507.430838
40.0,1781,1512.308389
35.0,922,1518.631067
40.0,931,1521.142328
38.0,993,1527.633881
40.0,1012,1530.437488
40.0,1116,1537.497361
38.0,1567,1545.731591
37.0,1647,1554.068748
39.0,1657,1558.634913
40.0,1747,1567.32733
38.0,1746,1575.954302
40.0,900,1582.155545
40.0,968,1584.910481
38.0,950,1591.307441
40.0,1033,1594.295806
38.0,1066,1601.082145
40.0,1548,1605.521686
40.0,1625,1613.902211
37.0,1719,1622.568445
39.0,1698,1630.975071
40.0,1730,1639.356088
40.0,898,1641.851857
40.0,922,1648.04204
40.0,1015,1650.694284
39.0,1090,1657.57833
38.0,1091,1660.583429
40.0,1575,1668.710206
40.0,1669,1677.360935
38.0,1721,1686.196235
39.0,1704,1694.68052
39.0,1703,1699.36288
39.0,929,1705.719639
40.0,946,1708.290997
39.0,1036,1714.92674
39.0,1077,1717.837437
40.0,1114,1724.660757
37.0,1551,1732.678552
38.0,1663,1741.103658
40.0,1636,1745.623149
39.0,1702,1754.086273
40.0,1773,1763.064686
39.0,910,1769.374176
39.0,1007,1772.162689
34.0,965,1778.833883
39.0,1000,1781.656927
40.0,1110,1788.388889
37.0,1599,1792.773505
37.0,1607,1800.944212
40.0,1643,1809.191877
39.0,1655,1817.469082
39.0,1727,1825.953814
40.0,932,1828.517824
39.0,962,1834.840736
37.0,1006,1837.652532
40.0,1093,1844.495695
39.0,1105,1847.475261
40.0,1553,1855.602462
40.0,1618,1863.953349
40.0,1674,1872.413896
39.0,1743,1880.877867
40.0,1776,1889.381011
38.0,966,1892.138361
40.0,1018,1898.58376
40.0,967,1901.317953
40.0,1074,1907.937507
38.0,1123,1911.121763
40.0,1627,1919.341129
37.0,1670,1927.81742
40.0,1668,1936.2278
36.0,1710,1941.023685
37.0,1705,1949.5338
40.0,951,1956.569171
40.0,981,1959.513263
40.0,972,1966.427932
40.0,1037,1969.326702
40.0,1091,1976.150993
40.0,1579,1984.423137
37.0,1674,1989.071069
40.0,1676,1997.835813
40.0,1699,2006.774757
40.0,1784,2016.135072
40.0,971,2018.648666
40.0,1004,2025.679006
40.0,1051,2032.295091
40.0,1004,2035.146742
39.0,1059,2041.761396
40.0,1592,2046.220459
39.0,1681,2054.564094
40.0,1715,2063.136777
39.0,1670,2071.501222
39.0,1802,2080.167648
40.0,960,2082.84723
37.0,932,2089.170606
40.0,1017,2092.027462
40.0,1041,2098.61605
39.0,1099,2101.647352
38.0,1557,2109.693641
40.0,1621,2117.978232
39.0,1654,2126.418633
40.0,1732,2135.079569
40.0,1747,2139.94334
38.0,899,2146.370659
39.0,997,2149.18788
39.0,1048,2156.024506
36.0,1074,2159.025071
39.0,1102,2165.973437
40.0,1624,2174.424682
40.0,1658,2182.818126
40.0,1714,2191.501688
37.0,1675,2196.282218
40.0,1760,2205.057418
39.0,896,2211.329814
39.0,998,2214.164754
