#{"t_start": 1619005243.980639, "env_id": "MotorTiming-v0"}
r,l,t
39.0,953,101.992345
40.0,966,104.61436
39.0,1043,588.055219
39.0,1008,590.687999
40.0,1072,597.291005
40.0,1585,605.550749
40.0,1627,614.604206
37.0,1678,619.323762
38.0,1712,628.09318
38.0,1735,636.758739
39.0,942,643.217262
40.0,933,646.023754
39.0,1028,652.761197
39.0,1009,655.574503
40.0,1128,662.793981
39.0,1607,671.556053
39.0,1663,676.442733
37.0,1625,685.147971
38.0,1711,693.802818
40.0,1712,702.781695
38.0,934,705.255034
39.0,948,711.746879
39.0,1042,714.628678
40.0,1016,721.34692
40.0,1072,724.456717
38.0,1558,732.437318
38.0,1589,740.590762
38.0,1653,748.865388
40.0,1728,758.510473
40.0,1772,768.138321
39.0,944,770.830338
40.0,968,773.808421
40.0,996,780.114025
39.0,1012,782.919609
39.0,1054,789.717724
40.0,1603,798.221723
39.0,1639,806.435997
36.0,1622,810.897316
37.0,1674,819.431813
40.0,1700,827.874939
40.0,932,833.917251
38.0,1012,836.638417
40.0,1004,843.540407
39.0,1025,846.67305
39.0,1124,854.161168
40.0,1586,858.430696
37.0,1655,866.844971
40.0,1710,875.514068
39.0,1696,885.802188
37.0,1713,895.078348
36.0,945,897.687208
37.0,1008,904.613944
40.0,1016,907.561401
39.0,1036,914.504204
40.0,1103,917.583924
40.0,1588,925.639184
40.0,1616,934.008854
39.0,1703,942.531024
37.0,1701,950.847538
40.0,1696,959.366428
39.0,961,962.18833
40.0,958,968.962355
37.0,1017,971.944362
39.0,1032,978.656969
40.0,1038,981.564798
40.0,1636,990.026997
38.0,1659,998.673964
40.0,1648,1007.411306
39.0,1745,1012.103207
38.0,1700,1020.772962
38.0,906,1027.277828
39.0,936,1029.934169
40.0,1040,1036.395534
39.0,1024,1039.185867
39.0,1038,1045.579666
40.0,1580,1053.755001
39.0,1596,1058.3227
39.0,1699,1066.746033
40.0,1699,1074.989721
39.0,1717,1083.496037
40.0,975,1086.264835
40.0,972,1092.742418
38.0,1059,1095.674563
40.0,1000,1101.96017
40.0,1109,1104.997527
40.0,1571,1113.134306
39.0,1622,1121.223979
39.0,1634,1128.912401
38.0,1720,1137.047872
39.0,1735,1145.471486
40.0,951,1148.020792
39.0,1009,1154.368031
38.0,1038,1157.224414
38.0,996,1163.613681
40.0,1062,1166.583499
40.0,1554,1174.631297
40.0,1639,1182.829069
40.0,1621,1191.024482
40.0,1662,1195.670831
34.0,1739,1204.776213
40.0,898,1210.747679
38.0,918,1213.142911
39.0,1013,1219.676217
37.0,1053,1222.65391
40.0,1062,1229.549159
40.0,1564,1234.055597
40.0,1665,1242.265842
40.0,1643,1250.428269
35.0,1709,1258.979689
40.0,1693,1267.726043
40.0,892,1270.186851
40.0,997,1276.557189
40.0,1023,1279.304041
37.0,992,1285.633699
40.0,1074,1288.429713
37.0,1552,1295.909214
40.0,1659,1304.078835
38.0,1655,1313.856009
40.0,1682,1322.48725
39.0,1770,1327.518382
40.0,937,1333.74745
39.0,959,1336.508368
35.0,976,1342.794388
39.0,998,1345.563053
40.0,1124,1352.50358
38.0,1590,1360.64009
39.0,1640,1368.82206
37.0,1701,1373.447584
38.0,1737,1382.056823
39.0,1783,1390.54409
40.0,924,1396.900555
40.0,962,1399.648623
40.0,968,1405.870265
36.0,1076,1408.85349
40.0,1051,1415.460628
39.0,1633,1419.988723
40.0,1596,1428.16994
38.0,1656,1436.542953
40.0,1702,1444.937353
37.0,1740,1453.452976
39.0,966,1456.06729
40.0,1003,1462.588744
39.0,975,1465.282267
