#{"t_start": 1619005243.986005, "env_id": "MotorTiming-v0"}
r,l,t
40.0,950,101.976248
39.0,984,104.651469
40.0,1005,587.990791
39.0,1005,590.605477
40.0,1074,597.218774
37.0,1627,605.595435
40.0,1591,614.545509
39.0,1705,619.344454
40.0,1706,628.097075
40.0,1699,636.663315
40.0,971,643.199908
40.0,976,646.125707
40.0,979,652.727431
40.0,1063,655.684971
39.0,1078,662.76979
39.0,1588,671.428615
40.0,1627,676.270772
39.0,1698,685.178433
40.0,1688,693.762123
39.0,1721,702.770124
38.0,909,705.164116
40.0,960,711.702009
38.0,1022,714.528342
38.0,1080,721.427413
36.0,1106,724.622558
40.0,1584,732.669591
40.0,1635,740.954654
40.0,1614,749.12999
40.0,1729,758.807702
40.0,1763,768.384258
40.0,941,771.051071
37.0,944,777.56856
40.0,976,780.226397
40.0,1101,787.09552
40.0,1072,790.138192
40.0,1554,798.499451
40.0,1622,806.652471
36.0,1662,814.99366
40.0,1686,819.805038
40.0,1725,828.301473
40.0,926,834.316204
40.0,991,836.999528
34.0,1003,843.929048
40.0,1073,847.220439
40.0,1096,854.714021
40.0,1631,862.705303
39.0,1670,867.487899
39.0,1662,875.978032
39.0,1733,886.487284
39.0,1756,895.742179
37.0,913,898.27189
33.0,963,905.089747
40.0,1026,908.063445
39.0,1063,915.061804
40.0,1081,921.703083
40.0,1544,926.033069
40.0,1637,934.442817
40.0,1708,942.965825
40.0,1678,951.225442
40.0,1708,959.801782
35.0,939,962.570045
40.0,990,969.433812
39.0,954,972.22082
40.0,1071,979.036673
39.0,1067,982.042314
38.0,1629,990.482704
40.0,1595,998.94042
38.0,1685,1007.814356
40.0,1668,1012.255059
40.0,1770,1021.133753
39.0,898,1027.622818
40.0,940,1030.263424
39.0,962,1036.513
40.0,1032,1039.325101
40.0,1040,1045.7223
39.0,1595,1053.951451
37.0,1626,1058.614099
36.0,1647,1066.870337
40.0,1757,1075.275035
40.0,1717,1083.791105
38.0,957,1086.506908
39.0,988,1093.022983
40.0,1038,1095.889333
40.0,1074,1102.381082
39.0,1061,1105.292347
40.0,1555,1113.389789
39.0,1580,1121.343668
39.0,1625,1129.013476
40.0,1693,1137.082279
40.0,1742,1145.523126
39.0,912,1147.964473
40.0,939,1154.120803
40.0,984,1156.829507
38.0,1011,1163.207078
38.0,1107,1166.346293
38.0,1576,1174.452923
34.0,1622,1182.609964
32.0,1668,1187.257481
40.0,1698,1195.688542
38.0,1755,1204.831108
39.0,888,1210.775526
37.0,1009,1213.402168
40.0,981,1219.855803
39.0,1058,1222.852319
40.0,1039,1229.699433
40.0,1646,1238.115563
40.0,1661,1242.609943
37.0,1719,1250.996854
39.0,1725,1259.657152
39.0,1718,1268.41898
40.0,903,1270.896572
38.0,920,1277.045879
40.0,995,1279.710162
39.0,999,1286.076111
39.0,1111,1288.916166
40.0,1562,1296.448162
40.0,1592,1304.470368
40.0,1690,1314.361609
40.0,1704,1323.046948
40.0,1718,1331.629262
39.0,923,1334.109269
40.0,1005,1340.621152
38.0,1024,1343.436555
40.0,1071,1350.147965
40.0,1071,1353.207903
40.0,1543,1361.172698
34.0,1615,1369.294107
40.0,1711,1377.658637
36.0,1746,1382.583063
40.0,1725,1390.906758
36.0,893,1397.20686
40.0,984,1399.985115
40.0,996,1406.295694
40.0,1037,1409.158486
39.0,1091,1415.90852
37.0,1543,1423.917549
40.0,1678,1428.555436
40.0,1634,1436.867741
39.0,1742,1445.381823
40.0,1769,1453.985431
40.0,979,1456.619152
40.0,926,1462.951648
40.0,992,1465.66406
40.0,1040,1472.334006
40.0,1042,1475.142309
38.0,1556,1483.216964
40.0,1585,1491.263047
36.0,1623,1499.4958
40.0,1673,1507.803603
39.0,1770,1516.3399
38.0,921,1518.948261
40.0,1010,1525.36243
35.0,988,1528.145778
40.0,1079,1534.99291
40.0,1089,1538.124085
40.0,1634,1546.57631
38.0,1666,1554.979293
39.0,1633,1563.206019
40.0,1703,1567.992751
40.0,1773,1576.691428
40.0,940,1583.058066
40.0,992,1585.856747
40.0,996,1592.4523
39.0,1013,1595.295348
40.0,1057,1602.15834
40.0,1590,1610.36595
40.0,1664,1615.095669
40.0,1699,1623.704557
40.0,1723,1632.147845
38.0,1729,1640.600337
40.0,922,1643.069477
40.0,988,1649.42466
40.0,1032,1652.13241
36.0,1006,1658.877423
35.0,1055,1661.722161
40.0,1542,1669.806685
39.0,1655,1678.456066
40.0,1631,1687.023113
40.0,1682,1695.440014
39.0,1742,1703.963148
37.0,952,1706.612677
39.0,987,1713.048529
40.0,984,1715.814633
40.0,1009,1722.221874
40.0,1072,1725.23875
39.0,1590,1733.375457
40.0,1588,1741.61528
39.0,1643,1749.835775
40.0,1751,1754.683803
38.0,1764,1763.65281
36.0,905,1770.013802
40.0,1010,1772.764465
38.0,1021,1779.639681
36.0,1034,1782.49221
40.0,1087,1789.198663
40.0,1609,1797.312738
40.0,1654,1801.853251
40.0,1713,1810.284609
40.0,1677,1818.654474
40.0,1784,1827.309562
39.0,932,1829.804067
39.0,954,1836.205395
40.0,962,1838.834038
40.0,1096,1845.707484
40.0,1060,1852.329194
40.0,1619,1856.87717
40.0,1692,1865.4419
37.0,1638,1873.790485
40.0,1716,1882.216275
40.0,1711,1890.554612
36.0,965,1893.247945
40.0,1009,1899.749224
40.0,1045,1902.616368
40.0,1078,1909.324519
39.0,1062,1912.258698
40.0,1635,1920.521548
40.0,1611,1928.802408
40.0,1708,1937.434076
39.0,1669,1945.860765
37.0,1731,1950.53033
39.0,931,1957.652701
39.0,976,1960.708154
40.0,1036,1967.754995
40.0,1028,1970.4041
40.0,1092,1977.433177
39.0,1565,1985.599198
38.0,1596,1993.698058
40.0,1684,1998.953113
37.0,1735,2007.81751
39.0,1742,2017.030465
38.0,923,2023.350426
37.0,1016,2026.50604
40.0,961,2032.906111
40.0,1023,2035.77908
37.0,1079,2042.484659
40.0,1565,2046.811091
36.0,1655,2055.075032
39.0,1625,2063.426854
40.0,1654,2071.753466
39.0,1703,2080.137763
40.0,968,2082.84215
40.0,941,2089.192104
40.0,1009,2092.025042
39.0,1036,2098.596663
40.0,1085,2101.592081
37.0,1589,2109.727268
37.0,1596,2117.935759
40.0,1713,2126.553695
39.0,1707,2135.144427
40.0,1727,2139.946381
39.0,929,2146.465661
40.0,1007,2149.300834
39.0,1073,2156.208286
39.0,1028,2159.083802
39.0,1074,2165.949006
39.0,1575,2174.260812
40.0,1675,2182.70013
40.0,1680,2187.423184
38.0,1740,2196.255623
40.0,1701,2204.867857
38.0,905,2211.139987
38.0,1009,2214.022735
40.0,1013,2220.565811
40.0,1060,2223.623744
40.0,1072,2230.469137
40.0,1561,2238.600627
40.0,1651,2243.309003
39.0,1628,2251.466841
39.0,1733,2260.209627
40.0,1778,2269.063133
39.0,949,2271.674598
39.0,918,2277.937977
40.0,1046,2280.799731
38.0,996,2287.463631
39.0,1026,2290.355916
38.0,1553,2299.22635
40.0,1631,2307.669049
40.0,1666,2316.08837
39.0,1686,2324.558142
39.0,1700,2329.290023
40.0,931,2335.820592
40.0,958,2338.438941
39.0,1017,2345.127104
39.0,1008,2347.908127
40.0,1047,2354.750077
39.0,1558,2362.88415
40.0,1605,2371.139968
37.0,1678,2375.936071
40.0,1726,2384.669572
37.0,1781,2393.522951
40.0,952,2399.964726
40.0,943,2402.659058
40.0,1012,2409.228158
40.0,1075,2412.313572
40.0,1120,2419.298896
38.0,1593,2423.776903
40.0,1634,2432.184168
40.0,1710,2440.793959
37.0,1677,2449.385026
40.0,1734,2458.311628
39.0,907,2461.062809
40.0,966,2467.720462
39.0,972,2470.532755
40.0,1038,2477.387566
37.0,1054,2480.375472
39.0,1609,2488.81364
40.0,1636,2497.221669
37.0,1709,2505.931505
40.0,1732,2514.830701
40.0,1769,2523.631886
39.0,983,2526.47126
39.0,922,2532.860452
40.0,977,2535.701292
39.0,1007,2542.242627
38.0,1100,2545.390637
38.0,1604,2553.583698
40.0,1655,2562.064271
40.0,1658,2570.639462
40.0,1680,2575.421231
38.0,1695,2584.021615
39.0,880,2590.246301
39.0,1004,2593.106277
40.0,974,2599.460892
39.0,1075,2602.471079
38.0,1054,2609.193156
38.0,1624,2617.36901
40.0,1684,2622.1512
39.0,1632,2630.539656
