#{"t_start": 1619005243.982999, "env_id": "MotorTiming-v0"}
r,l,t
39.0,962,102.016106
40.0,1005,104.74659
37.0,1011,588.094469
40.0,1038,594.513192
40.0,1047,597.346121
40.0,1618,605.693301
36.0,1591,614.657308
39.0,1648,619.288032
40.0,1683,627.975892
39.0,1747,636.678378
40.0,903,643.001918
40.0,936,645.84849
39.0,963,652.417958
39.0,1095,655.456957
39.0,1051,662.362581
40.0,1564,666.953034
40.0,1653,675.95895
40.0,1674,684.779409
38.0,1704,693.418614
38.0,1790,702.639273
38.0,966,705.186973
38.0,1007,711.844782
38.0,1001,714.615018
39.0,1030,721.374741
39.0,1082,724.511172
36.0,1588,732.575127
40.0,1589,740.726107
40.0,1642,748.972287
39.0,1733,758.633313
38.0,1763,768.241805
38.0,955,770.950401
38.0,1014,777.655041
40.0,959,780.269407
36.0,994,786.836583
39.0,1122,790.011258
38.0,1563,798.404742
40.0,1605,806.519268
37.0,1653,811.076856
39.0,1703,819.688456
40.0,1787,828.353246
40.0,887,834.26489
40.0,972,836.896296
40.0,993,843.785228
40.0,1088,847.120351
39.0,1030,854.387852
40.0,1566,858.504329
38.0,1663,866.963294
39.0,1670,875.507288
40.0,1655,885.651842
40.0,1735,895.024006
36.0,965,897.685905
40.0,935,904.400832
40.0,1019,907.356081
37.0,1023,914.263169
37.0,1124,917.407415
34.0,1628,925.575247
38.0,1586,933.859354
39.0,1688,942.337444
40.0,1750,950.793023
38.0,1765,959.515162
36.0,945,962.2874
40.0,1008,969.216473
39.0,961,972.028932
40.0,1014,978.689873
37.0,1109,981.794073
38.0,1593,990.13795
40.0,1613,998.647348
40.0,1648,1007.382695
39.0,1737,1012.061482
40.0,1709,1020.752745
40.0,957,1027.405025
39.0,1005,1030.242953
40.0,1049,1036.730125
40.0,1027,1039.524598
39.0,1090,1046.063419
38.0,1548,1054.184669
40.0,1624,1058.838559
40.0,1640,1067.058827
40.0,1706,1075.326368
40.0,1787,1084.050118
40.0,917,1086.640374
39.0,994,1093.173588
38.0,1032,1096.016934
38.0,1008,1102.331504
39.0,1107,1109.060303
39.0,1652,1113.751368
40.0,1620,1121.790958
35.0,1645,1129.486758
40.0,1703,1137.627947
39.0,1720,1145.977668
40.0,903,1148.409678
36.0,946,1154.590848
40.0,1011,1157.375211
39.0,1043,1163.900809
37.0,1097,1166.963404
39.0,1599,1175.148418
40.0,1652,1183.363465
37.0,1695,1191.756337
40.0,1688,1196.579438
39.0,1700,1205.515113
40.0,874,1211.354705
38.0,919,1213.824268
38.0,987,1220.215043
40.0,1080,1223.278865
37.0,1041,1230.193219
32.0,1612,1238.468665
40.0,1641,1242.899701
38.0,1634,1251.060365
35.0,1755,1259.81355
40.0,1711,1268.547935
40.0,966,1271.191562
40.0,987,1277.518719
38.0,964,1280.098075
40.0,1013,1286.531343
39.0,1067,1289.205425
37.0,1633,1296.938694
37.0,1651,1305.142427
38.0,1691,1315.085766
40.0,1760,1323.904094
38.0,1739,1332.481583
40.0,953,1335.071181
38.0,1003,1341.570009
40.0,976,1344.268747
40.0,1020,1350.861666
39.0,1110,1354.051462
39.0,1563,1362.019237
37.0,1633,1370.188138
39.0,1703,1378.560112
40.0,1681,1386.896485
38.0,1749,1391.670735
40.0,954,1398.195471
40.0,977,1400.874405
37.0,974,1407.16378
37.0,1032,1409.979919
40.0,1133,1416.898821
39.0,1628,1425.153963
39.0,1623,1433.383741
40.0,1657,1437.918236
38.0,1669,1446.261143
39.0,1714,1454.724429
38.0,913,1460.881484
39.0,946,1463.582075
40.0,998,1470.012981
40.0,1033,1472.942569
39.0,1027,1479.427207
39.0,1552,1483.76967
38.0,1682,1492.095912
37.0,1700,1500.552864
40.0,1689,1508.926653
39.0,1743,1517.421265
39.0,969,1520.085948
40.0,956,1526.420031
40.0,990,1529.19206
40.0,1032,1535.952445
40.0,1029,1538.840099
40.0,1637,1547.290466
39.0,1664,1555.704759
40.0,1615,1563.930554
40.0,1705,1572.400023
40.0,1720,1577.204341
39.0,973,1583.736883
37.0,939,1586.326667
40.0,1046,1593.08898
40.0,1000,1595.867233
40.0,1071,1602.80314
39.0,1614,1611.104013
40.0,1652,1619.497163
40.0,1674,1624.268037
40.0,1666,1632.555089
38.0,1780,1641.158265
40.0,948,1647.396473
38.0,933,1649.879961
39.0,1019,1656.466913
40.0,1025,1659.366435
40.0,1112,1666.163704
40.0,1565,1670.656876
40.0,1650,1679.236664
40.0,1703,1687.925012
37.0,1732,1696.485965
40.0,1757,1705.083796
39.0,921,1707.605678
39.0,946,1713.975997
39.0,962,1716.621219
40.0,1032,1723.140654
40.0,1044,1726.040859
40.0,1568,1734.116639
38.0,1660,1742.597932
37.0,1714,1751.020196
39.0,1754,1759.661487
37.0,1794,1768.638621
40.0,948,1771.33978
39.0,966,1773.964353
40.0,1032,1780.920013
38.0,1023,1783.668903
40.0,1084,1790.442838
40.0,1623,1798.607493
40.0,1622,1806.750606
40.0,1709,1815.121512
38.0,1722,1819.916708
39.0,1808,1828.646957
38.0,972,1835.007458
40.0,1002,1837.804674
38.0,955,1844.256223
38.0,1007,1847.00635
40.0,1062,1853.729735
40.0,1564,1861.839618
40.0,1688,1866.623189
40.0,1664,1875.010938
40.0,1736,1883.489544
40.0,1711,1891.898042
40.0,957,1894.471674
40.0,935,1900.834648
40.0,993,1903.505012
39.0,1017,1910.116214
38.0,1036,1912.921708
39.0,1557,1920.997505
40.0,1605,1929.262647
39.0,1628,1937.670476
37.0,1729,1946.279428
40.0,1748,1955.23391
40.0,875,1957.938267
37.0,947,1960.946112
38.0,1046,1967.993109
40.0,1041,1974.343492
37.0,1026,1977.533495
39.0,1564,1985.692211
39.0,1638,1993.923355
40.0,1630,1999.0153
39.0,1741,2007.894593
40.0,1736,2017.091844
39.0,896,2023.332475
40.0,995,2026.435149
39.0,974,2032.868374
40.0,1047,2035.810086
40.0,1062,2042.467524
40.0,1551,2046.758727
40.0,1634,2054.967198
38.0,1696,2063.511769
40.0,1725,2072.033506
40.0,1767,2080.608452
40.0,928,2083.179532
40.0,957,2089.597021
40.0,956,2092.264957
39.0,1038,2098.863203
39.0,1098,2101.866135
39.0,1625,2110.116194
39.0,1676,2118.562637
40.0,1705,2127.147418
40.0,1676,2135.678133
36.0,1751,2144.324354
39.0,969,2147.1356
40.0,1006,2153.776096
36.0,962,2156.575193
40.0,1061,2163.327097
36.0,1095,2166.475947
40.0,1618,2174.910944
40.0,1606,2183.158581
40.0,1636,2191.629271
36.0,1746,2196.588844
