#{"t_start": 1619005243.988641, "env_id": "MotorTiming-v0"}
r,l,t
40.0,932,101.922967
40.0,928,104.437666
40.0,972,587.707136
36.0,1014,590.33974
39.0,1060,596.90371
38.0,1625,605.261867
37.0,1582,614.196986
38.0,1671,618.888814
39.0,1724,627.707011
39.0,1766,636.45828
39.0,942,642.880965
37.0,957,645.800048
40.0,1036,652.561867
39.0,1028,655.425278
40.0,1121,662.588479
38.0,1630,667.305357
40.0,1595,676.141823
39.0,1704,685.060223
40.0,1728,693.763958
40.0,1736,702.809959
38.0,928,705.269619
39.0,964,711.800887
39.0,986,714.534813
36.0,1058,721.371219
40.0,1032,724.367372
40.0,1608,732.486738
39.0,1586,740.632674
36.0,1636,748.858819
40.0,1668,758.29706
40.0,1726,763.656336
40.0,946,770.539333
40.0,937,773.383927
37.0,961,779.635737
40.0,1007,782.428548
40.0,1069,789.250449
40.0,1584,797.73248
40.0,1610,805.860948
39.0,1686,810.48673
40.0,1724,819.15685
40.0,1735,827.703845
40.0,930,833.746176
40.0,1013,836.464652
40.0,971,843.256817
39.0,1045,846.367523
38.0,1040,853.606861
40.0,1566,857.982648
38.0,1626,866.228079
40.0,1617,874.695461
36.0,1662,884.594257
40.0,1765,894.308562
38.0,886,896.732946
40.0,969,903.527456
40.0,961,906.321778
39.0,1044,913.261123
39.0,1083,916.325921
37.0,1636,924.493616
40.0,1673,933.025452
39.0,1714,941.596208
40.0,1705,949.949217
40.0,1771,954.881638
40.0,956,961.437599
39.0,951,964.196342
40.0,1027,971.222844
35.0,1079,974.308366
35.0,1132,981.243497
38.0,1582,989.52364
39.0,1648,998.122735
39.0,1705,1002.891943
39.0,1724,1011.715876
40.0,1755,1020.523035
40.0,960,1027.176264
40.0,990,1029.985751
40.0,987,1036.301752
39.0,1076,1039.236039
39.0,1110,1045.824818
39.0,1598,1054.07361
38.0,1607,1058.679975
40.0,1641,1066.913727
40.0,1699,1075.160518
40.0,1737,1083.729619
40.0,970,1086.481045
37.0,925,1092.823679
39.0,996,1095.577854
38.0,1037,1101.969394
39.0,1040,1104.813723
39.0,1608,1113.05117
39.0,1594,1121.076793
40.0,1697,1128.927454
40.0,1747,1137.147425
40.0,1711,1145.496514
37.0,879,1147.850525
38.0,935,1150.35932
38.0,1005,1156.758492
39.0,1005,1159.504125
38.0,1121,1166.295078
40.0,1611,1174.502505
40.0,1653,1182.744287
39.0,1628,1190.95766
40.0,1748,1195.865733
40.0,1712,1204.871991
40.0,878,1210.789881
40.0,998,1213.38605
40.0,1046,1220.010976
40.0,1034,1222.945078
38.0,1109,1230.023747
40.0,1581,1238.228306
39.0,1644,1242.673111
40.0,1622,1250.785748
40.0,1698,1259.363299
37.0,1753,1268.232779
39.0,915,1270.75104
40.0,936,1276.942844
39.0,965,1279.530543
40.0,1000,1285.891181
40.0,1116,1288.764863
40.0,1614,1296.421168
36.0,1627,1304.540063
40.0,1708,1314.489371
40.0,1685,1323.11713
38.0,1716,1331.685724
36.0,879,1334.040734
40.0,959,1336.801927
37.0,986,1343.114933
35.0,1001,1345.897995
38.0,1064,1352.682322
34.0,1586,1360.795076
40.0,1621,1368.928712
37.0,1694,1373.534618
40.0,1653,1381.906585
37.0,1785,1390.405018
39.0,904,1396.686445
40.0,936,1399.385264
39.0,975,1405.615866
39.0,1058,1408.561792
39.0,1108,1415.308102
38.0,1590,1419.736286
40.0,1583,1427.882256
38.0,1707,1436.387549
40.0,1750,1444.914534
40.0,1778,1453.540139
40.0,947,1456.099979
40.0,933,1462.422651
37.0,999,1465.186532
40.0,1012,1471.754969
39.0,1084,1474.701612
36.0,1598,1482.881125
39.0,1641,1491.079973
40.0,1659,1499.39832
40.0,1733,1507.886507
40.0,1778,1516.448399
40.0,968,1519.175973
40.0,1004,1525.589801
38.0,1027,1528.46421
40.0,1025,1535.183107
39.0,1127,1538.398087
40.0,1614,1546.797241
40.0,1608,1555.041606
40.0,1665,1563.37036
39.0,1683,1568.085396
38.0,1769,1576.772334
40.0,970,1583.247534
40.0,998,1586.039306
40.0,1023,1592.724157
40.0,1079,1595.733185
39.0,1073,1602.666361
40.0,1563,1610.80964
40.0,1636,1615.427814
40.0,1652,1623.908027
39.0,1671,1632.204059
40.0,1711,1640.610401
37.0,958,1643.180855
39.0,919,1649.344103
39.0,987,1651.931854
37.0,1083,1658.884335
40.0,1092,1665.586526
39.0,1642,1670.186105
40.0,1617,1678.755406
40.0,1646,1687.348345
38.0,1692,1695.790356
40.0,1759,1704.381486
39.0,961,1707.034572
40.0,979,1713.472743
40.0,982,1716.205182
40.0,1056,1722.769696
39.0,1052,1725.701458
39.0,1554,1733.741611
40.0,1660,1742.207827
40.0,1637,1750.402544
40.0,1731,1755.159392
40.0,1772,1764.167975
39.0,955,1770.660125
39.0,970,1773.303266
39.0,1017,1780.202753
40.0,1021,1782.960245
39.0,1052,1789.607981
40.0,1564,1797.604206
40.0,1667,1805.857289
40.0,1620,1810.339549
