#{"t_start": 1619005243.978432, "env_id": "MotorTiming-v0"}
r,l,t
40.0,953,101.993505
39.0,951,104.569736
40.0,965,587.812546
40.0,1023,590.474677
40.0,1088,597.120667
39.0,1606,605.42744
39.0,1674,614.62632
37.0,1707,619.427417
40.0,1715,628.20395
40.0,1729,636.852673
39.0,987,643.463845
39.0,980,646.3578
38.0,1038,653.110534
40.0,992,655.894095
39.0,1114,663.097814
38.0,1584,671.928643
39.0,1637,676.592658
38.0,1654,685.387277
40.0,1739,694.122411
40.0,1772,703.221171
40.0,953,705.810175
37.0,991,712.355997
38.0,996,715.122456
39.0,1021,721.906243
40.0,1040,724.891803
40.0,1611,733.032922
38.0,1602,741.216199
40.0,1631,749.432965
35.0,1671,758.977076
40.0,1775,768.5602
37.0,916,771.172963
39.0,964,777.733786
40.0,1008,780.478117
38.0,1046,787.200412
40.0,1105,790.331879
40.0,1556,798.701877
40.0,1664,806.965978
40.0,1633,815.246101
40.0,1692,820.057077
39.0,1807,828.75642
40.0,940,834.806637
39.0,947,837.380932
37.0,1050,844.474972
40.0,1085,847.836683
40.0,1101,855.295341
38.0,1635,863.261523
40.0,1643,868.060179
40.0,1642,876.445241
39.0,1711,886.907044
38.0,1757,896.143284
38.0,937,902.745706
38.0,949,905.536366
40.0,1012,908.455482
39.0,1088,915.526194
40.0,1125,922.287246
39.0,1556,926.645456
40.0,1649,935.118525
39.0,1690,943.556586
39.0,1748,952.032447
40.0,1702,960.620312
39.0,881,963.207563
39.0,937,969.953175
40.0,1005,972.858212
40.0,1072,979.636955
38.0,1054,982.659261
40.0,1638,991.115619
40.0,1584,999.523369
38.0,1642,1008.245228
40.0,1690,1016.513999
39.0,1770,1021.667819
39.0,890,1028.103923
38.0,931,1030.726485
40.0,962,1036.962169
40.0,1062,1039.850882
39.0,1031,1046.228737
39.0,1642,1054.619807
38.0,1606,1059.230136
40.0,1689,1067.566704
38.0,1713,1075.864335
39.0,1779,1084.574054
39.0,931,1090.956313
40.0,1006,1093.771741
39.0,950,1099.938941
40.0,1035,1102.767841
40.0,1086,1109.446343
36.0,1637,1114.094841
40.0,1615,1122.09717
37.0,1688,1129.940693
39.0,1688,1138.018003
40.0,1732,1146.386656
40.0,898,1148.816894
40.0,928,1154.954581
37.0,1038,1157.809466
40.0,1050,1164.370225
40.0,1125,1167.508543
40.0,1545,1175.551158
40.0,1661,1183.784367
38.0,1708,1192.204099
35.0,1675,1201.053488
39.0,1785,1206.148718
40.0,946,1212.179246
40.0,977,1214.889232
40.0,1009,1221.346084
38.0,1054,1224.292603
39.0,1120,1231.470468
37.0,1634,1239.726069
40.0,1589,1247.668497
39.0,1664,1252.273121
37.0,1748,1261.066686
39.0,1694,1269.688172
40.0,907,1275.80403
39.0,1003,1278.515312
39.0,1045,1284.974112
38.0,1074,1287.822936
40.0,1123,1294.177903
39.0,1592,1302.110017
40.0,1608,1306.459455
39.0,1678,1316.45163
38.0,1711,1325.111958
39.0,1770,1333.704364
40.0,962,1336.470324
40.0,946,1342.678976
39.0,1010,1345.478339
38.0,1029,1352.150792
40.0,1118,1355.339638
39.0,1643,1363.499043
39.0,1675,1371.757092
40.0,1702,1380.238947
40.0,1718,1388.579584
40.0,1759,1397.2439
40.0,958,1399.948844
40.0,980,1406.211532
36.0,984,1408.940006
39.0,1034,1415.501973
39.0,1075,1418.513672
39.0,1570,1426.633264
38.0,1627,1434.903642
40.0,1684,1443.220271
39.0,1695,1451.52915
30.0,1770,1456.445869
39.0,966,1462.884782
40.0,942,1465.467464
40.0,1034,1472.119788
40.0,1078,1475.024641
32.0,1105,1481.86092
36.0,1620,1489.987276
38.0,1632,1498.135109
40.0,1634,1502.742575
40.0,1661,1511.025185
40.0,1712,1519.474204
40.0,960,1525.777559
39.0,970,1528.490596
40.0,998,1535.125772
40.0,1009,1538.019745
39.0,1056,1544.801916
40.0,1649,1549.401023
40.0,1594,1557.624636
40.0,1665,1566.077214
39.0,1674,1574.498051
39.0,1777,1583.146348
39.0,939,1585.791415
40.0,934,1592.200161
40.0,998,1595.019894
39.0,1051,1601.843405
34.0,1095,1604.948852
38.0,1614,1613.313253
40.0,1628,1621.708808
37.0,1616,1629.876801
40.0,1741,1638.289575
40.0,1745,1643.086056
40.0,967,1649.382338
40.0,998,1652.004855
40.0,1014,1658.763441
37.0,1057,1661.616361
35.0,1028,1668.27767
36.0,1621,1676.776119
40.0,1601,1685.273791
37.0,1651,1689.852891
40.0,1705,1698.346551
40.0,1790,1707.034407
39.0,888,1713.207005
40.0,966,1715.912831
36.0,1012,1722.336394
40.0,1044,1725.270376
38.0,1048,1731.863933
38.0,1541,1736.135158
37.0,1651,1744.58691
38.0,1653,1752.887661
40.0,1722,1761.70188
40.0,1708,1770.268667
39.0,947,1772.846078
40.0,932,1779.466642
38.0,978,1782.183713
38.0,1038,1788.731537
40.0,1079,1791.721611
40.0,1618,1799.912803
40.0,1584,1807.965886
40.0,1702,1816.351922
39.0,1730,1824.813155
40.0,1745,1829.599979
39.0,957,1836.002135
38.0,988,1838.710834
39.0,1052,1845.462684
40.0,1016,1848.167277
39.0,1068,1854.979968
40.0,1606,1863.286915
36.0,1658,1871.688838
40.0,1656,1876.20912
40.0,1695,1884.583282
40.0,1765,1893.169799
38.0,881,1899.295334
40.0,917,1901.844351
39.0,965,1908.183563
38.0,1066,1911.198101
40.0,1104,1917.942959
40.0,1585,1922.351537
40.0,1629,1930.685659
40.0,1660,1939.187715
39.0,1658,1947.61401
39.0,1708,1956.695619
38.0,878,1959.312243
39.0,915,1966.095051
40.0,1047,1969.054718
39.0,1091,1975.818729
40.0,1043,1978.847698
40.0,1610,1987.133022
40.0,1709,1995.627046
39.0,1701,2004.734485
39.0,1704,2013.703925
40.0,1719,2018.631738
40.0,956,2025.50771
36.0,955,2028.085044
40.0,981,2034.66416
36.0,1022,2037.44637
38.0,1056,2044.185384
40.0,1582,2052.22293
40.0,1639,2060.534661
39.0,1617,2065.008484
39.0,1750,2073.636206
40.0,1743,2082.172934
