#{"t_start": 1618946252.733106, "env_id": "MotorTiming-v0"}
r,l,t
37.0,949,6.734785
39.0,943,11.125535
39.0,966,15.598648
38.0,1023,20.448524
39.0,1080,25.62249
40.0,1614,34.157489
37.0,1668,43.757329
40.0,1688,53.397666
37.0,1711,63.423727
39.0,1716,73.068746
40.0,977,78.110963
37.0,989,83.113552
39.0,1043,88.413886
40.0,991,93.337401
40.0,1119,98.866045
39.0,1585,107.120112
40.0,1638,117.188493
37.0,1648,125.427962
40.0,1747,133.892204
40.0,1765,142.804145
40.0,962,147.670381
40.0,994,152.57002
40.0,993,157.432305
40.0,1018,162.427226
39.0,1047,167.643513
40.0,1614,175.741996
40.0,1625,183.407166
37.0,1620,191.888665
38.0,1670,200.81722
39.0,1762,209.376795
39.0,920,213.891802
40.0,958,218.917276
40.0,1003,224.472996
40.0,1043,230.058918
40.0,1084,235.324891
39.0,1553,242.684039
38.0,1668,250.914374
40.0,1632,258.832591
38.0,1686,266.704604
40.0,1790,275.121433
39.0,957,279.723024
37.0,949,284.282888
39.0,1038,289.391711
40.0,1086,294.597434
36.0,1089,299.769629
40.0,1636,307.513391
36.0,1635,315.557679
37.0,1644,323.757024
37.0,1710,331.911952
40.0,1766,340.163344
40.0,928,344.609076
40.0,949,349.281836
38.0,1019,354.173226
40.0,1084,359.386637
34.0,1126,364.839589
36.0,1553,372.114105
40.0,1646,379.930524
40.0,1689,387.972401
38.0,1745,396.361354
35.0,1730,404.552835
39.0,877,408.772091
40.0,935,413.146651
39.0,1019,417.950945
40.0,1078,423.015534
40.0,1061,428.140599
40.0,1637,436.001077
37.0,1579,443.529938
39.0,1638,451.20129
40.0,1692,459.119092
39.0,1776,467.493185
39.0,895,471.733568
38.0,923,476.180788
40.0,962,480.815684
40.0,1058,485.914545
39.0,1030,490.759858
38.0,1646,498.62511
40.0,1597,506.087877
40.0,1691,513.996323
39.0,1716,522.046711
38.0,1782,530.503288
40.0,932,534.861158
40.0,1002,539.552386
39.0,954,544.030371
40.0,1054,548.992899
40.0,1081,554.196223
40.0,1636,562.040252
39.0,1625,569.651752
39.0,1691,577.548136
40.0,1678,585.404394
39.0,1730,593.743262
38.0,897,597.934673
35.0,927,602.265989
39.0,1032,607.116011
40.0,1075,612.133835
39.0,1124,617.458855
40.0,1544,624.878917
39.0,1657,632.733382
37.0,1707,640.736496
40.0,1677,648.76986
40.0,1785,657.186168
38.0,928,661.638723
39.0,987,666.260688
