#{"t_start": 1618946252.7314281, "env_id": "MotorTiming-v0"}
r,l,t
40.0,947,6.731554
40.0,965,11.223198
40.0,1015,15.951721
38.0,1076,21.019082
40.0,1081,26.234081
40.0,1590,34.716224
35.0,1678,44.392522
39.0,1637,53.71145
40.0,1740,63.911205
40.0,1781,73.89291
39.0,957,78.7901
37.0,997,83.818446
40.0,1012,88.958315
40.0,1083,94.332313
39.0,1067,99.606141
40.0,1615,108.217569
40.0,1637,118.15481
40.0,1684,126.46397
39.0,1728,134.895192
37.0,1762,143.780685
40.0,921,148.438382
40.0,937,153.019615
38.0,1017,158.016433
39.0,1002,162.921778
36.0,1062,168.249904
40.0,1583,176.164927
40.0,1599,183.686669
39.0,1640,192.331068
39.0,1679,201.264302
40.0,1716,209.590885
38.0,884,213.940191
40.0,925,218.779914
39.0,987,224.232248
39.0,998,229.637026
40.0,1036,234.692722
38.0,1589,242.208668
39.0,1639,250.293583
40.0,1622,258.174839
37.0,1665,265.959152
40.0,1708,273.968832
40.0,917,278.363896
40.0,984,283.095792
38.0,989,287.972997
39.0,999,292.747087
39.0,1124,298.12691
39.0,1604,305.722372
37.0,1653,313.748296
36.0,1632,321.963815
40.0,1659,329.920521
39.0,1693,337.82842
39.0,905,342.121016
38.0,1009,346.954244
40.0,1012,351.93786
38.0,1045,356.957699
40.0,1122,362.424784
40.0,1626,370.056263
40.0,1611,377.692135
38.0,1655,385.532448
40.0,1710,393.742905
39.0,1759,402.143893
40.0,923,406.479342
39.0,977,411.163803
40.0,1015,415.927114
40.0,1017,420.735671
39.0,1057,425.772974
39.0,1590,433.400897
39.0,1607,441.13509
40.0,1674,448.972065
40.0,1721,457.029817
40.0,1739,465.151664
39.0,910,469.52525
40.0,1009,474.322204
40.0,1019,479.230741
36.0,1086,484.452045
37.0,1126,489.805166
39.0,1624,497.530906
40.0,1638,505.242285
39.0,1708,513.225597
35.0,1721,521.277883
39.0,1716,529.443539
39.0,927,533.779752
39.0,998,538.454904
39.0,1035,543.308594
39.0,1035,548.168676
40.0,1048,553.194138
40.0,1547,560.659843
39.0,1580,568.053151
38.0,1637,575.713312
40.0,1744,583.855686
38.0,1693,591.989014
38.0,947,596.468209
39.0,939,600.86442
40.0,1023,605.638985
39.0,1045,610.530467
37.0,1060,615.468638
40.0,1562,623.075241
39.0,1677,630.968867
40.0,1672,638.823353
38.0,1681,646.759747
35.0,1738,655.073218
40.0,943,659.578195
37.0,929,663.965679
37.0,959,668.510428
40.0,1032,673.366139
38.0,1120,678.828022
39.0,1563,686.202213
38.0,1610,693.774295
38.0,1693,701.785286
39.0,1691,709.945495
39.0,1783,718.384899
40.0,963,722.943636
40.0,990,727.701026
39.0,1052,732.635771
40.0,1017,737.543134
40.0,1099,742.811754
39.0,1568,750.292842
40.0,1578,757.742443
39.0,1659,765.594885
40.0,1698,773.764737
40.0,1755,782.061889
40.0,885,786.211816
40.0,931,790.634523
34.0,996,796.207664
40.0,1006,801.557054
40.0,1075,807.098122
40.0,1643,815.485195
40.0,1653,824.046008
40.0,1639,832.774914
40.0,1711,841.769629
34.0,1720,850.747936
39.0,890,855.331591
40.0,1004,860.512545
40.0,1038,866.048084
37.0,1046,871.420879
37.0,1084,877.015178
40.0,1631,885.534275
38.0,1682,894.305796
35.0,1713,903.237047
40.0,1738,912.202161
38.0,1780,921.562285
40.0,980,926.759057
39.0,915,931.498785
39.0,967,936.563673
40.0,1051,942.136735
40.0,1090,947.912213
40.0,1558,956.007712
33.0,1594,964.229395
40.0,1637,972.717669
39.0,1743,982.034067
40.0,1788,991.302159
40.0,950,996.229754
38.0,922,1001.072499
39.0,991,1006.338571
40.0,998,1011.855689
38.0,1028,1017.60201
39.0,1554,1026.48305
40.0,1587,1035.712324
40.0,1639,1044.9644
40.0,1710,1053.86324
40.0,1763,1063.153355
39.0,889,1067.800947
37.0,943,1072.657311
39.0,1003,1077.87644
39.0,1064,1083.379581
39.0,1062,1088.951251
40.0,1619,1097.366797
39.0,1655,1106.058298
39.0,1696,1115.001199
40.0,1689,1123.795216
40.0,1724,1132.751303
37.0,895,1137.459142
40.0,915,1142.210971
40.0,962,1147.284576
40.0,1021,1152.551987
40.0,1121,1158.32674
38.0,1542,1166.577592
40.0,1627,1175.128986
40.0,1691,1183.93027
39.0,1672,1192.566391
40.0,1805,1201.920214
40.0,972,1206.904593
40.0,956,1211.903875
40.0,999,1217.000172
38.0,1028,1222.424773
39.0,1095,1228.276268
40.0,1581,1236.578707
36.0,1640,1245.167773
38.0,1638,1253.806851
36.0,1750,1262.940784
38.0,1749,1272.114195
38.0,923,1277.003254
37.0,972,1282.074266
40.0,1044,1287.689009
40.0,1003,1292.833609
38.0,1068,1298.339233
40.0,1598,1306.534442
40.0,1662,1315.141892
40.0,1713,1324.052335
40.0,1688,1332.735134
40.0,1717,1341.720235
40.0,971,1346.683462
40.0,1021,1351.95635
40.0,999,1357.192566
39.0,1010,1362.404228
40.0,1028,1367.736632
40.0,1585,1376.201156
39.0,1603,1384.536948
40.0,1654,1393.065037
40.0,1664,1401.931078
40.0,1761,1411.079475
39.0,984,1416.218263
39.0,929,1420.984915
36.0,1006,1426.32777
40.0,1002,1431.605419
39.0,1059,1437.108114
36.0,1608,1445.489065
40.0,1644,1453.991826
40.0,1656,1462.710516
39.0,1696,1471.673421
40.0,1751,1480.813405
40.0,955,1485.755988
40.0,915,1490.538419
35.0,992,1495.640384
40.0,1090,1501.39598
39.0,1117,1507.202315
39.0,1638,1515.799981
40.0,1587,1524.104888
39.0,1647,1532.580006
40.0,1662,1541.238671
40.0,1781,1550.479071
40.0,915,1555.249208
40.0,985,1560.364031
38.0,970,1565.387069
39.0,1025,1570.769333
39.0,1050,1576.293363
40.0,1639,1584.948775
38.0,1666,1593.628631
37.0,1689,1602.448712
38.0,1760,1611.538577
40.0,1761,1620.56939
40.0,906,1625.308875
40.0,953,1630.237898
40.0,1016,1635.432344
38.0,1082,1641.141761
40.0,1080,1646.735395
37.0,1602,1655.097029
39.0,1618,1663.542029
38.0,1650,1672.09307
40.0,1692,1680.98321
39.0,1740,1690.094707
38.0,915,1694.801095
40.0,991,1699.958847
40.0,1041,1705.31773
39.0,995,1710.411416
36.0,1069,1715.947413
39.0,1573,1724.087856
40.0,1649,1732.716236
39.0,1690,1741.481726
40.0,1701,1750.311577
40.0,1779,1759.566047
40.0,904,1764.292548
40.0,985,1769.317562
40.0,993,1774.605243
39.0,1094,1780.342078
40.0,1072,1785.918175
40.0,1574,1794.109917
35.0,1607,1802.521988
40.0,1626,1811.023241
39.0,1721,1820.093525
40.0,1786,1829.361918
37.0,942,1834.313227
40.0,976,1839.367809
39.0,951,1844.395374
39.0,1068,1849.899534
39.0,1069,1855.376618
40.0,1549,1863.454005
39.0,1641,1871.914241
38.0,1627,1880.433678
39.0,1705,1889.368931
40.0,1783,1898.601486
39.0,891,1903.255881
39.0,1010,1908.675272
40.0,1044,1914.080852
40.0,1079,1919.759074
38.0,1124,1925.663219
38.0,1547,1933.646031
36.0,1622,1942.181957
40.0,1646,1950.923353
37.0,1748,1960.239925
39.0,1789,1969.423856
39.0,950,1974.316028
39.0,920,1979.15223
40.0,974,1984.212694
37.0,993,1989.400325
40.0,1115,1995.117612
40.0,1627,2003.640886
39.0,1635,2012.143402
40.0,1713,2021.144402
38.0,1703,2030.000975
40.0,1794,2039.641569
40.0,905,2044.422532
39.0,923,2049.244671
40.0,1004,2054.43808
39.0,1021,2059.884086
40.0,1062,2065.41014
35.0,1571,2073.579652
40.0,1592,2081.828836
37.0,1657,2090.462232
40.0,1746,2099.558119
40.0,1796,2108.821839
37.0,945,2113.69008
39.0,992,2118.86059
40.0,1041,2124.441386
38.0,1058,2129.871726
37.0,1040,2135.296702
38.0,1571,2143.434666
40.0,1628,2151.881576
40.0,1720,2160.917326
40.0,1667,2169.677472
39.0,1764,2178.855493
38.0,974,2184.002863
40.0,953,2188.919328
40.0,963,2193.979646
39.0,1063,2199.606238
39.0,1036,2204.94464
40.0,1607,2213.181633
39.0,1595,2221.425331
40.0,1619,2229.925856
40.0,1665,2238.678828
40.0,1794,2248.036973
40.0,959,2253.080284
39.0,939,2257.930239
38.0,997,2263.056323
37.0,1025,2268.461219
39.0,1089,2274.111265
39.0,1585,2282.401695
39.0,1588,2290.682816
39.0,1688,2299.61219
40.0,1706,2308.54146
37.0,1753,2317.658062
37.0,910,2322.48047
40.0,986,2327.609253
40.0,1010,2332.874103
40.0,1056,2338.310818
38.0,1036,2343.759171
38.0,1543,2351.86044
40.0,1620,2360.341694
39.0,1656,2368.928447
40.0,1663,2377.560462
40.0,1775,2386.960049
36.0,897,2391.618074
40.0,922,2396.493473
40.0,967,2401.596107
38.0,994,2406.787594
38.0,1110,2412.643302
40.0,1596,2420.972072
40.0,1627,2429.316811
39.0,1636,2437.92834
40.0,1706,2446.880396
40.0,1769,2456.092972
40.0,980,2461.209536
40.0,1012,2466.543202
37.0,1038,2472.036939
40.0,1085,2477.730137
37.0,1062,2483.402585
40.0,1575,2491.426814
39.0,1608,2499.712327
38.0,1693,2508.45987
40.0,1710,2517.442712
37.0,1706,2526.396219
40.0,972,2531.409706
40.0,931,2536.267711
39.0,965,2541.393024
39.0,1066,2547.093808
38.0,1077,2552.716034
40.0,1594,2560.916082
39.0,1635,2569.375498
40.0,1723,2578.350924
