#{"t_start": 1618946252.734517, "env_id": "MotorTiming-v0"}
r,l,t
40.0,882,6.42491
40.0,954,10.865835
40.0,982,15.401801
38.0,1063,20.448332
39.0,1062,25.526091
37.0,1603,34.000411
40.0,1628,43.352348
39.0,1698,53.054646
36.0,1702,63.031732
39.0,1700,72.600142
39.0,882,77.196742
40.0,923,81.872836
40.0,1016,86.964772
39.0,997,92.007998
36.0,1059,97.252538
40.0,1560,105.097113
37.0,1639,115.188196
39.0,1658,123.792813
40.0,1717,132.077327
40.0,1784,141.043123
40.0,927,145.731275
40.0,948,150.456229
40.0,1002,155.365834
40.0,1065,160.594786
40.0,1123,166.090042
40.0,1546,173.912265
40.0,1666,181.902719
38.0,1623,189.941357
39.0,1662,199.1315
40.0,1792,207.92327
39.0,939,212.491413
40.0,933,217.25767
38.0,1012,222.820642
40.0,994,228.300206
40.0,1072,233.60047
40.0,1575,241.064051
40.0,1618,249.001394
39.0,1691,257.186448
40.0,1661,265.043778
39.0,1717,273.062224
38.0,886,277.330586
39.0,949,281.879122
40.0,992,286.656914
40.0,1054,291.828436
40.0,1037,296.80358
37.0,1543,304.079397
40.0,1643,311.982067
40.0,1669,320.434845
40.0,1719,328.711226
40.0,1780,337.048092
40.0,895,341.26807
40.0,990,346.009594
36.0,1003,350.927864
39.0,1078,356.114225
40.0,1060,361.269854
40.0,1647,369.049512
40.0,1658,376.805591
40.0,1696,384.925167
39.0,1672,392.965756
40.0,1738,401.278603
40.0,942,405.704783
40.0,932,410.173205
39.0,979,414.767069
39.0,1051,419.716194
36.0,1043,424.673866
39.0,1569,432.205589
39.0,1605,439.963165
40.0,1685,447.850353
40.0,1750,456.05239
40.0,1718,464.065184
40.0,890,468.351125
40.0,932,472.740047
39.0,1016,477.642612
39.0,991,482.415892
39.0,1097,487.674705
40.0,1550,494.941425
40.0,1638,502.764298
37.0,1620,510.343503
40.0,1706,518.325228
39.0,1725,526.393729
40.0,916,530.810062
40.0,941,535.210585
39.0,1068,540.210205
34.0,1011,544.950762
40.0,1074,550.048255
37.0,1592,557.756776
40.0,1593,565.24332
40.0,1685,573.125198
38.0,1730,581.219888
38.0,1788,589.750834
39.0,926,594.163352
40.0,996,598.81888
40.0,1038,603.678737
39.0,1062,608.652953
39.0,1031,613.462757
36.0,1562,621.010063
35.0,1608,628.585943
39.0,1658,636.436759
40.0,1720,644.531374
39.0,1760,652.976071
39.0,925,657.30965
40.0,911,661.682855
40.0,1011,666.411575
39.0,1054,671.423653
40.0,1123,676.726536
40.0,1627,684.535678
40.0,1611,692.146854
39.0,1701,700.181911
39.0,1689,708.312956
40.0,1773,716.697022
40.0,907,721.05095
40.0,991,725.758371
40.0,959,730.30487
33.0,1035,735.187507
40.0,1097,740.519193
35.0,1620,748.223086
40.0,1598,755.766776
40.0,1667,763.651996
39.0,1723,771.987542
40.0,1777,780.381795
38.0,905,784.625382
40.0,958,789.167727
37.0,1020,794.452271
39.0,1017,800.140241
40.0,1105,805.827931
38.0,1625,814.133766
40.0,1591,822.408189
39.0,1648,831.083053
35.0,1666,839.925433
40.0,1733,848.982854
40.0,884,853.504068
40.0,926,858.32757
40.0,1020,863.658632
40.0,1098,869.376809
40.0,1076,874.940956
40.0,1594,883.27623
40.0,1628,891.647989
40.0,1708,900.663601
39.0,1762,909.697439
40.0,1787,919.096015
40.0,951,924.087913
39.0,1011,929.434319
40.0,1020,934.713802
38.0,1055,940.261485
40.0,1042,945.846121
40.0,1624,954.280826
36.0,1627,962.688971
40.0,1642,971.194036
39.0,1698,980.233169
40.0,1781,989.5224
40.0,910,994.270974
40.0,930,999.118645
39.0,993,1004.30793
39.0,1005,1009.882703
39.0,1114,1016.02797
37.0,1580,1025.052227
40.0,1642,1034.577799
40.0,1651,1043.992265
40.0,1748,1053.079734
40.0,1753,1062.324683
37.0,898,1067.037226
40.0,989,1072.143438
37.0,971,1077.165973
40.0,1015,1082.431189
40.0,1063,1087.982662
40.0,1569,1096.160314
40.0,1630,1104.714029
40.0,1713,1113.724462
40.0,1698,1122.579758
40.0,1721,1131.493069
40.0,895,1136.261498
40.0,924,1141.027209
39.0,1015,1146.361241
36.0,1083,1151.973398
38.0,1092,1157.557913
40.0,1578,1166.020202
39.0,1663,1174.780165
40.0,1719,1183.719404
39.0,1711,1192.56489
40.0,1710,1201.424144
40.0,935,1206.220866
40.0,948,1211.170515
40.0,1026,1216.40165
40.0,1070,1222.04591
39.0,1094,1227.880377
40.0,1551,1236.023122
40.0,1659,1244.702755
37.0,1650,1253.434246
40.0,1686,1262.229718
40.0,1776,1271.547159
40.0,904,1276.33959
40.0,1008,1281.589963
40.0,968,1286.752811
40.0,1000,1291.975014
40.0,1105,1297.661978
40.0,1598,1305.829468
39.0,1606,1314.153074
40.0,1651,1322.74284
40.0,1655,1331.257347
39.0,1724,1340.286111
40.0,932,1345.087527
40.0,962,1349.989733
40.0,1003,1355.251957
40.0,1074,1360.810167
38.0,1106,1366.562761
40.0,1553,1374.809247
36.0,1631,1383.319554
38.0,1682,1391.985698
40.0,1745,1401.271242
40.0,1773,1410.521123
39.0,964,1415.502645
40.0,1007,1420.691878
40.0,956,1425.727629
38.0,1079,1431.466813
38.0,1132,1437.337174
39.0,1613,1445.75945
40.0,1670,1454.401245
39.0,1670,1463.182574
39.0,1707,1472.179411
40.0,1697,1481.069311
40.0,947,1485.955658
40.0,988,1491.123577
40.0,969,1496.107827
40.0,1045,1501.633372
38.0,1096,1507.325579
40.0,1586,1515.659844
40.0,1674,1524.405061
39.0,1682,1533.084226
35.0,1700,1541.918642
40.0,1811,1551.342434
39.0,960,1556.291893
39.0,1005,1561.547369
40.0,1066,1567.071545
40.0,1004,1572.331013
35.0,1070,1578.008694
40.0,1590,1586.380046
40.0,1676,1595.058006
40.0,1707,1603.961745
40.0,1702,1612.800254
40.0,1801,1622.041107
40.0,951,1626.99025
39.0,935,1631.851805
37.0,1018,1637.030799
39.0,1045,1642.574879
40.0,1097,1648.274895
37.0,1552,1656.328258
40.0,1620,1664.820916
39.0,1652,1673.386142
39.0,1722,1682.400816
40.0,1745,1691.524413
40.0,908,1696.217864
40.0,997,1701.385863
40.0,1047,1706.749582
40.0,1069,1712.279266
40.0,1099,1717.963502
34.0,1622,1726.376107
40.0,1658,1735.004632
39.0,1701,1743.830885
39.0,1675,1752.594481
39.0,1760,1761.743778
39.0,901,1766.378709
40.0,980,1771.432863
40.0,957,1776.557927
39.0,1016,1781.87575
39.0,1027,1787.194877
40.0,1630,1795.698636
40.0,1624,1804.173158
40.0,1662,1812.853946
40.0,1682,1821.764724
35.0,1786,1831.017288
40.0,879,1835.635742
38.0,988,1840.752614
39.0,1032,1846.194984
38.0,1011,1851.411544
40.0,1077,1856.896565
40.0,1580,1865.113275
39.0,1591,1873.365749
40.0,1631,1881.926691
40.0,1721,1890.905703
40.0,1727,1899.863483
40.0,960,1904.926395
40.0,938,1909.891868
39.0,994,1915.074426
39.0,1029,1920.512981
37.0,1092,1926.234406
40.0,1610,1934.502167
39.0,1614,1943.044326
39.0,1660,1951.892086
39.0,1721,1961.023061
40.0,1706,1969.753694
40.0,949,1974.655657
36.0,953,1979.670684
39.0,1045,1985.102066
39.0,1075,1990.682682
40.0,1072,1996.21262
40.0,1634,2004.741764
37.0,1679,2013.466045
40.0,1677,2022.330919
38.0,1695,2031.146522
39.0,1716,2040.36104
40.0,895,2045.077647
37.0,946,2050.026215
40.0,989,2055.151233
40.0,1076,2060.879379
40.0,1057,2066.346976
39.0,1611,2074.753906
39.0,1625,2083.210003
39.0,1645,2091.707057
36.0,1709,2100.632408
40.0,1747,2109.631175
40.0,964,2114.626737
40.0,922,2119.439168
37.0,962,2124.600618
40.0,1008,2129.768621
39.0,1076,2135.395285
40.0,1563,2143.487289
40.0,1622,2151.904204
40.0,1678,2160.704109
40.0,1741,2169.854627
39.0,1720,2178.799558
40.0,907,2183.603749
39.0,996,2188.734569
37.0,997,2193.980436
35.0,1045,2199.504131
40.0,1055,2204.947313
39.0,1613,2213.226422
40.0,1636,2221.679957
39.0,1699,2230.608451
40.0,1707,2239.574841
40.0,1701,2248.452482
37.0,895,2253.155373
36.0,974,2258.171484
36.0,998,2263.327775
38.0,1034,2268.780914
39.0,1055,2274.237688
40.0,1588,2282.531822
40.0,1631,2291.06317
40.0,1661,2299.847319
39.0,1741,2308.958613
39.0,1720,2317.893226
40.0,888,2322.608361
37.0,981,2327.707304
40.0,993,2332.876888
39.0,1028,2338.170461
38.0,1080,2343.860472
39.0,1621,2352.36752
39.0,1600,2360.730636
39.0,1659,2369.342427
38.0,1714,2378.251243
40.0,1708,2387.288011
40.0,902,2391.97765
40.0,941,2396.946237
40.0,1006,2402.236114
38.0,1010,2407.522095
40.0,1116,2413.418678
40.0,1622,2421.879827
40.0,1609,2430.152951
40.0,1640,2438.791776
40.0,1747,2447.9501
40.0,1775,2457.175526
39.0,932,2462.005494
40.0,978,2467.220687
37.0,1039,2472.678099
39.0,996,2477.922853
37.0,1033,2483.449138
40.0,1559,2491.372821
39.0,1639,2499.822708
40.0,1705,2508.637963
38.0,1673,2517.433026
37.0,1731,2526.526737
40.0,966,2531.492177
40.0,1015,2536.790464
39.0,1014,2542.193677
39.0,1090,2548.014436
40.0,1075,2553.583163
39.0,1593,2561.799245
40.0,1684,2570.505898
38.0,1630,2578.992838
40.0,1712,2587.846836
40.0,1786,2597.193404
36.0,976,2602.451032
39.0,918,2607.171509
40.0,997,2612.318586
40.0,1090,2617.953779
40.0,1133,2623.892751
40.0,1575,2632.109213
40.0,1667,2640.640392
39.0,1683,2649.293644
39.0,1764,2658.372008
40.0,1745,2667.483493
39.0,960,2672.372205
38.0,976,2677.502456
40.0,1030,2682.910029
38.0,998,2688.189204
40.0,1075,2693.822202
40.0,1610,2702.202697
40.0,1644,2710.883636
40.0,1622,2719.159876
39.0,1676,2727.859634
40.0,1761,2737.21712
39.0,916,2741.993392
35.0,1004,2747.15691
40.0,979,2752.202132
40.0,1042,2757.63066
40.0,1035,2762.919081
39.0,1561,2771.040676
40.0,1653,2779.842897
37.0,1628,2788.294587
39.0,1746,2797.370618
40.0,1752,2806.359003
39.0,918,2811.058745
40.0,915,2815.896425
40.0,1021,2821.272736
40.0,1082,2827.059769
39.0,1046,2832.527266
40.0,1592,2840.95851
37.0,1654,2849.473348
40.0,1696,2858.343434
40.0,1679,2867.041089
40.0,1722,2875.895248
38.0,918,2880.634301
34.0,957,2885.656084
39.0,963,2890.590545
40.0,993,2895.787651
40.0,1037,2901.198774
40.0,1644,2909.653317
40.0,1626,2918.012556
40.0,1614,2926.490313
40.0,1686,2935.286871
39.0,1763,2944.465322
40.0,931,2949.48231
40.0,957,2954.520546
37.0,1025,2960.017285
39.0,1078,2965.55411
38.0,1053,2970.932741
39.0,1583,2980.234161
39.0,1608,2988.545241
38.0,1674,2996.773755
40.0,1663,3004.824165
40.0,1756,3013.327433
40.0,876,3017.593043
40.0,982,3022.461337
40.0,961,3027.15211
40.0,1026,3032.102208
40.0,1030,3037.141081
40.0,1567,3044.735868
39.0,1583,3052.59886
39.0,1622,3060.447537
40.0,1744,3069.230612
37.0,1756,3077.723209
39.0,972,3082.580719
39.0,931,3087.090463
40.0,1021,3092.018899
40.0,1039,3097.100618
39.0,1113,3102.46895
40.0,1616,3110.471701
38.0,1671,3118.533009
40.0,1691,3126.746249
39.0,1661,3134.798152
40.0,1789,3143.681223
40.0,884,3147.913918
40.0,961,3152.595548
40.0,1001,3157.438846
38.0,1008,3162.328368
38.0,1080,3167.589146
40.0,1621,3175.560969
39.0,1611,3183.341282
39.0,1672,3191.455436
40.0,1747,3200.072396
35.0,1781,3208.7875
40.0,925,3213.263228
40.0,1002,3218.152841
39.0,991,3222.913574
40.0,1079,3228.191542
40.0,1073,3233.548997
39.0,1592,3241.256465
40.0,1661,3249.29319
39.0,1622,3257.154836
40.0,1745,3265.759257
39.0,1717,3274.084578
40.0,938,3278.660785
38.0,952,3283.262443
40.0,1021,3288.285952
39.0,1085,3293.676765
38.0,1054,3298.763846
39.0,1611,3306.592759
39.0,1674,3314.724586
40.0,1635,3322.832422
39.0,1673,3330.93244
40.0,1748,3339.430409
40.0,880,3343.746101
36.0,959,3348.456132
39.0,969,3353.280187
40.0,1030,3358.305343
39.0,1062,3363.475466
40.0,1640,3371.477133
40.0,1675,3379.735191
39.0,1690,3387.945445
40.0,1733,3396.389541
40.0,1772,3404.988322
40.0,933,3409.710248
38.0,998,3414.526939
40.0,1016,3419.47464
39.0,1002,3424.36793
38.0,1061,3429.488377
38.0,1645,3437.485402
40.0,1613,3445.506154
40.0,1685,3453.677917
39.0,1715,3462.010724
39.0,1702,3470.406925
40.0,911,3474.847309
39.0,970,3479.549514
36.0,993,3484.370408
40.0,1046,3489.483015
38.0,1030,3494.447611
34.0,1579,3502.304088
40.0,1606,3510.083115
39.0,1707,3518.369853
39.0,1698,3526.600436
40.0,1695,3534.940814
35.0,891,3539.247414
38.0,990,3544.027377
39.0,1021,3549.016611
37.0,1006,3553.86875
39.0,1070,3559.218465
40.0,1593,3566.951933
39.0,1667,3575.034781
38.0,1699,3583.268296
40.0,1736,3591.886894
40.0,1699,3600.121666
40.0,915,3604.557994
37.0,913,3609.022945
40.0,994,3613.815798
40.0,1086,3619.266309
39.0,1054,3624.418487
37.0,1626,3632.307601
39.0,1692,3640.592668
39.0,1647,3648.88095
39.0,1687,3657.096369
40.0,1738,3665.879809
35.0,936,3670.76007
36.0,945,3675.727162
39.0,1045,3681.157877
40.0,1100,3686.984786
39.0,1100,3692.675951
40.0,1573,3700.740317
38.0,1653,3709.293154
39.0,1640,3717.93828
38.0,1740,3727.071412
40.0,1790,3736.437474
40.0,925,3741.320311
39.0,944,3746.170259
38.0,958,3751.127668
40.0,1034,3756.487912
40.0,1130,3762.387569
40.0,1567,3770.633656
39.0,1584,3778.845177
39.0,1713,3787.811657
40.0,1660,3796.523725
40.0,1794,3805.932785
40.0,979,3811.077985
40.0,944,3816.00839
38.0,982,3821.119133
38.0,995,3826.317634
39.0,1111,3832.057388
40.0,1589,3840.283623
39.0,1610,3848.612359
40.0,1665,3857.215107
39.0,1715,3866.246816
39.0,1777,3875.561677
39.0,925,3880.322093
40.0,945,3885.243945
40.0,1047,3890.652162
40.0,1067,3896.108375
40.0,1050,3901.50202
34.0,1555,3909.843172
39.0,1606,3918.245414
40.0,1708,3927.27953
38.0,1675,3936.052641
40.0,1759,3945.126283
40.0,905,3949.764729
40.0,970,3954.83693
38.0,1043,3960.121151
39.0,1064,3965.738593
40.0,1096,3971.361135
40.0,1549,3979.479114
40.0,1599,3987.43654
40.0,1671,3995.29499
40.0,1710,4545.751348
40.0,1756,4597.030855
39.0,922,4627.116004
38.0,914,4637.457904
39.0,959,4646.578551
40.0,1049,4656.639508
37.0,1059,6401.248306
40.0,1645,6408.97682
40.0,1674,6480.185876
40.0,1624,6497.218423
40.0,1758,6513.542075
39.0,1737,7053.586717
40.0,896,7057.763133
40.0,924,7177.758631
40.0,966,7182.265872
39.0,1058,8256.692778
40.0,1127,8262.708243
40.0,1587,8314.816667
40.0,1647,8346.542165
38.0,1621,8360.883653
40.0,1725,8378.556108
39.0,1730,9312.972997
40.0,965,10116.158665
40.0,938,10120.843946
40.0,1027,10153.470961
39.0,1010,10193.608501
38.0,1040,10205.843046
36.0,1555,10221.456975
40.0,1653,10238.730694
38.0,1702,11976.734325
40.0,1739,12045.808755
39.0,1771,12064.84546
39.0,926,12072.840801
38.0,1010,12082.291948
38.0,1054,13824.334722
40.0,1052,13830.237678
40.0,1102,13844.644088
40.0,1560,13907.541463
39.0,1596,13922.470194
40.0,1620,13937.026786
35.0,1670,15682.705644
37.0,1783,15710.33995
37.0,888,15755.019092
40.0,1009,15767.077014
40.0,1032,15776.301724
38.0,993,15784.870658
40.0,1094,15795.513794
40.0,1592,16328.689268
40.0,1675,17535.097385
39.0,1649,17542.945772
40.0,1724,17613.887883
40.0,1749,17630.945624
40.0,876,17638.525759
38.0,995,17647.905712
40.0,1031,17979.500943
38.0,1085,17984.877253
40.0,1038,17990.543724
39.0,1600,19396.577813
40.0,1648,19462.740093
40.0,1616,19481.393253
40.0,1664,19495.863683
40.0,1697,19513.626011
38.0,975,21248.583189
40.0,934,21252.967988
40.0,960,21305.49313
40.0,1018,21327.057531
40.0,1122,21337.814215
40.0,1589,21351.633524
39.0,1631,23101.542915
40.0,1641,23109.319435
40.0,1733,23179.769381
40.0,1815,23197.843099
39.0,936,23205.9352
39.0,922,23214.71608
38.0,1020,24955.951568
40.0,1037,24961.800018
39.0,1048,24969.263669
40.0,1602,25037.967372
39.0,1590,25052.973687
35.0,1719,25068.291756
40.0,1747,26814.939823
39.0,1714,26841.295066
39.0,953,26887.683275
40.0,972,26899.044132
39.0,1038,26908.625429
40.0,1045,26917.968244
40.0,1136,26929.957533
38.0,1564,28672.964782
39.0,1605,28717.066177
40.0,1656,28755.559947
40.0,1703,28770.541404
39.0,1746,28787.570954
40.0,922,30522.188163
39.0,961,30526.724847
61.0,2101,30598.444119
39.0,1072,30610.072646
40.0,1064,30619.38173
39.0,1542,30633.271518
40.0,1610,31710.126574
40.0,1688,31724.560368
40.0,1692,32379.906779
40.0,1722,32447.685269
40.0,931,32458.820032
39.0,1009,32467.857312
38.0,988,32476.405803
38.0,1013,32485.904001
40.0,1097,34227.011883
39.0,1552,34234.445241
39.0,1620,34302.812661
40.0,1631,34320.31991
38.0,1664,34334.771021
40.0,1694,35138.565032
40.0,964,35143.159477
40.0,997,35147.78184
40.0,965,36052.924185
38.0,1009,36057.797346
39.0,1056,36082.460328
40.0,1608,36089.999562
39.0,1621,36162.39273
37.0,1617,36178.66585
39.0,1751,36194.644411
38.0,1756,37939.886551
39.0,893,37944.067363
40.0,974,37995.492965
38.0,1023,38017.993983
40.0,1014,38027.75188
40.0,1096,38037.247822
37.0,1630,38052.708162
40.0,1675,39797.029654
40.0,1722,39847.322213
40.0,1674,39880.824881
38.0,1702,39895.76227
40.0,874,39903.660898
40.0,978,39914.186055
40.0,1039,40258.631995
40.0,1068,40264.910776
40.0,1123,40270.573771
39.0,1630,40278.565779
40.0,1578,40286.193378
40.0,1694,40294.226414
40.0,1752,40302.447841
40.0,1776,40311.118243
40.0,934,40315.781048
40.0,999,40320.539659
