#{"t_start": 1618913769.4930391, "env_id": "MotorTiming-v0"}
r,l,t
40.0,876,7.205509
37.0,962,12.339614
40.0,984,17.28924
40.0,1049,22.673449
40.0,1059,28.347655
39.0,1593,36.667832
40.0,1631,45.528169
35.0,1705,55.783594
40.0,1703,65.515187
40.0,1697,75.035512
39.0,882,79.829216
40.0,920,84.766117
39.0,1008,90.18086
38.0,1003,95.504173
38.0,1067,101.094806
38.0,1562,109.283342
38.0,1639,117.719892
40.0,1654,126.314445
39.0,1710,135.153732
40.0,1764,144.261103
40.0,930,149.071385
39.0,947,154.331298
40.0,1000,159.718871
40.0,1064,165.158907
40.0,1129,170.98929
40.0,1547,178.966182
39.0,1661,187.489871
40.0,1626,195.83208
39.0,1662,204.278281
34.0,1791,213.427466
39.0,934,218.208211
40.0,929,222.948671
40.0,1004,228.113308
40.0,1002,233.234076
40.0,1082,238.811249
40.0,1580,246.909703
40.0,1617,255.188011
39.0,1690,263.832811
39.0,1665,272.362828
40.0,1719,281.168138
39.0,878,285.650379
39.0,956,290.947311
40.0,991,295.99981
39.0,1046,301.219096
40.0,1038,306.380048
40.0,1542,314.110041
36.0,1641,322.288795
37.0,1657,330.642652
38.0,1735,339.28293
39.0,1780,348.206399
38.0,895,352.640722
38.0,990,357.590929
37.0,1004,362.673928
40.0,1086,368.134485
38.0,1062,373.444519
38.0,1632,381.68053
40.0,1636,389.982579
40.0,1698,398.666505
39.0,1673,407.156244
38.0,1753,417.087629
33.0,949,422.07013
39.0,929,426.873276
40.0,989,432.367975
40.0,1051,437.573768
37.0,1044,442.869985
40.0,1570,450.642893
39.0,1604,458.707126
37.0,1668,467.063945
40.0,1751,475.814025
40.0,1713,484.453842
40.0,892,488.965426
40.0,932,493.88446
37.0,1015,498.910748
40.0,992,503.920347
40.0,1095,509.363048
39.0,1558,517.189954
37.0,1635,525.385568
40.0,1621,533.45871
40.0,1693,541.96172
39.0,1716,550.514804
40.0,922,555.076176
40.0,940,559.766662
40.0,1044,565.023025
40.0,1025,570.456747
38.0,1074,575.780073
39.0,1594,583.818863
39.0,1599,591.790343
37.0,1691,600.228806
40.0,1746,608.972247
39.0,1785,618.86874
40.0,921,623.759652
40.0,1003,628.898062
39.0,1039,633.922659
39.0,1060,639.066425
38.0,1029,644.358543
40.0,1548,652.347332
38.0,1607,661.353854
39.0,1673,669.94722
40.0,1726,678.872013
40.0,1760,688.311479
39.0,927,693.347122
40.0,917,697.998697
40.0,1006,702.989756
40.0,1062,708.29393
39.0,1122,713.71326
40.0,1627,721.655239
40.0,1613,729.611494
40.0,1702,737.934222
39.0,1692,746.795778
40.0,1778,755.956933
38.0,898,760.67009
38.0,992,765.544052
38.0,961,770.152429
37.0,1013,775.088902
40.0,1097,780.415601
37.0,1617,788.288016
39.0,1599,795.986673
38.0,1660,804.20532
40.0,1716,813.981894
34.0,1793,823.332059
39.0,892,828.001753
40.0,964,832.93882
40.0,1018,838.191227
39.0,1011,843.840477
39.0,1111,849.940646
40.0,1622,858.304099
40.0,1590,866.377763
40.0,1644,874.801344
40.0,1659,882.866969
40.0,1733,891.951873
39.0,893,896.63374
34.0,934,901.445437
39.0,1029,906.802714
40.0,1086,912.974001
40.0,1074,918.717591
39.0,1595,927.707049
40.0,1631,936.151315
40.0,1701,945.076872
39.0,1757,954.322545
36.0,1785,963.084217
40.0,947,967.881054
39.0,1006,972.804191
40.0,1027,977.976965
40.0,1054,983.391082
40.0,1043,989.188031
39.0,1628,997.450325
40.0,1625,1005.515242
38.0,1651,1013.621449
39.0,1697,1022.167819
40.0,1779,1030.980429
40.0,921,1035.510948
40.0,932,1040.232677
38.0,989,1045.406525
40.0,1002,1050.597751
40.0,1115,1056.245726
39.0,1566,1064.346078
38.0,1645,1072.747827
39.0,1651,1081.389735
39.0,1747,1090.335473
38.0,1745,1099.340568
35.0,901,1104.543171
37.0,968,1109.833228
38.0,950,1115.281231
40.0,1018,1120.650056
40.0,1059,1125.932912
40.0,1544,1133.633756
38.0,1629,1141.587213
40.0,1711,1150.242286
36.0,1703,1158.634864
39.0,1725,1167.156722
39.0,900,1171.497766
40.0,923,1176.189516
40.0,1015,1181.983098
38.0,1083,1187.319441
39.0,1087,1192.887054
40.0,1575,1200.591012
39.0,1660,1209.169796
40.0,1724,1218.556155
38.0,1702,1227.915922
39.0,1705,1237.035137
40.0,927,1241.621039
