#{"t_start": 1618913769.488013, "env_id": "MotorTiming-v0"}
r,l,t
40.0,944,7.525485
40.0,965,12.734214
36.0,1016,17.796853
40.0,1077,23.37542
36.0,1070,29.109036
40.0,1597,37.472386
40.0,1670,46.665129
39.0,1628,56.407231
39.0,1736,66.317507
40.0,1795,76.393664
37.0,954,81.510882
40.0,995,86.86309
36.0,1018,92.281709
39.0,1082,97.987077
40.0,1068,103.597495
38.0,1617,112.02777
39.0,1633,120.439968
36.0,1678,129.17283
39.0,1730,138.098572
40.0,1759,147.183289
40.0,917,152.255739
40.0,917,157.182043
34.0,1022,162.552343
40.0,1007,167.6843
39.0,1063,173.120118
36.0,1581,181.258695
40.0,1589,189.428275
40.0,1630,197.761285
40.0,1681,206.337568
40.0,1715,215.100135
39.0,884,219.66426
38.0,926,224.345747
40.0,985,229.437347
40.0,996,234.553749
40.0,1035,239.840321
40.0,1599,248.029693
40.0,1637,256.440802
38.0,1617,264.688747
38.0,1677,273.285159
38.0,1703,282.002897
38.0,915,286.739489
40.0,981,292.197622
39.0,984,297.09001
36.0,1005,302.157441
40.0,1118,307.667795
39.0,1605,315.745786
40.0,1658,324.003296
33.0,1637,332.2276
40.0,1654,340.453736
39.0,1691,348.961168
38.0,900,353.416469
40.0,1011,358.485643
40.0,1008,363.582834
40.0,1054,368.887024
40.0,1122,374.551567
40.0,1625,382.694427
40.0,1605,390.870797
39.0,1659,399.349763
40.0,1716,408.049264
39.0,1780,418.152788
36.0,927,422.981988
38.0,977,428.074805
40.0,1012,433.658668
33.0,1025,438.709566
37.0,1054,444.0375
40.0,1580,451.908161
40.0,1612,459.951618
39.0,1683,468.427658
40.0,1725,477.052359
39.0,1738,485.772585
40.0,909,490.466801
40.0,1000,495.633951
40.0,1020,500.672123
38.0,1078,506.128712
39.0,1127,511.748739
40.0,1627,519.949017
36.0,1641,528.110702
40.0,1713,536.713862
40.0,1711,545.248748
39.0,1701,553.710813
40.0,921,558.278417
40.0,999,563.311748
39.0,1042,568.71368
40.0,1023,573.921893
38.0,1042,579.207456
40.0,1552,586.913088
40.0,1578,594.816562
39.0,1638,602.965862
39.0,1747,611.997438
35.0,1694,621.360093
40.0,940,626.198463
40.0,936,630.986132
40.0,1010,635.783586
39.0,1045,640.958934
40.0,1077,646.463409
40.0,1561,654.93456
40.0,1680,663.977759
40.0,1673,672.560393
39.0,1682,681.170478
39.0,1744,690.726242
38.0,945,695.77426
40.0,951,700.358388
37.0,958,705.264397
35.0,1033,710.284668
40.0,1123,715.747187
40.0,1570,723.368194
40.0,1608,731.366405
40.0,1694,739.773216
40.0,1691,748.567818
40.0,1778,757.859361
40.0,964,762.731725
39.0,990,767.504862
35.0,1045,772.566043
40.0,1009,777.499108
38.0,1098,782.817168
39.0,1563,790.413612
39.0,1580,798.098215
39.0,1657,806.362102
39.0,1698,816.187395
39.0,1750,825.224979
39.0,886,829.731815
40.0,938,834.504976
40.0,989,839.897817
37.0,1005,845.404263
40.0,1077,851.204462
40.0,1632,859.585767
40.0,1650,868.120373
36.0,1623,876.336035
40.0,1717,884.67756
38.0,1721,893.664511
40.0,893,898.509302
40.0,1018,903.747835
39.0,1039,909.285783
39.0,1050,915.329077
36.0,1085,920.882628
40.0,1626,930.267824
39.0,1673,938.502312
40.0,1709,947.758331
40.0,1737,956.815687
39.0,1786,965.500296
40.0,957,970.316223
40.0,918,974.8786
40.0,964,979.629661
39.0,1040,985.354143
38.0,1090,991.094867
39.0,1553,998.972278
39.0,1603,1006.870292
40.0,1658,1014.981769
39.0,1752,1023.770751
35.0,1803,1032.764173
40.0,957,1037.4688
40.0,920,1042.225282
40.0,972,1047.364447
40.0,996,1052.443742
40.0,1026,1057.619334
40.0,1554,1065.679457
38.0,1584,1073.959921
40.0,1639,1082.39049
40.0,1709,1091.114413
38.0,1767,1100.430045
40.0,886,1105.367016
40.0,943,1110.598275
38.0,1003,1116.230101
40.0,1058,1121.82564
40.0,1064,1127.065254
39.0,1617,1135.193854
40.0,1647,1143.159573
40.0,1699,1151.761235
39.0,1689,1160.056171
40.0,1724,1168.559331
40.0,892,1172.910872
38.0,923,1177.925936
40.0,960,1183.180015
39.0,1023,1188.197314
40.0,1137,1194.010982
40.0,1546,1201.638857
40.0,1632,1210.142364
39.0,1682,1219.248829
40.0,1667,1228.37419
40.0,1787,1237.945578
40.0,969,1242.693971
39.0,961,1247.714903
38.0,994,1252.613847
39.0,1027,1257.570616
40.0,1098,1263.048157
40.0,1573,1270.815187
38.0,1639,1279.679746
39.0,1632,1288.851019
40.0,1749,1297.986656
36.0,1753,1308.824475
37.0,921,1313.526849
37.0,972,1318.819037
39.0,1039,1323.950604
40.0,1009,1328.994654
39.0,1064,1334.764318
40.0,1586,1342.787644
38.0,1660,1351.13398
40.0,1712,1359.708141
39.0,1688,1368.49968
40.0,1711,1378.214561
40.0,972,1382.993766
40.0,1013,1387.852486
38.0,999,1392.653327
38.0,1018,1397.451955
40.0,1029,1402.381909
36.0,1587,1410.035491
39.0,1605,1417.90099
34.0,1644,1426.20776
40.0,1657,1434.320909
39.0,1751,1443.591519
40.0,972,1448.516585
38.0,930,1453.385443
39.0,1008,1458.440513
40.0,996,1463.368524
40.0,1054,1468.732551
40.0,1605,1477.270427
39.0,1643,1486.110899
39.0,1656,1494.425597
40.0,1680,1502.659091
39.0,1731,1511.136495
37.0,956,1515.889846
39.0,920,1520.60769
40.0,983,1525.767384
40.0,1090,1531.216663
39.0,1115,1536.728235
40.0,1641,1544.827783
40.0,1586,1553.695283
40.0,1642,1562.643651
40.0,1662,1571.646183
40.0,1781,1580.604845
38.0,911,1585.207008
40.0,985,1590.183664
40.0,966,1595.219296
39.0,1018,1600.720477
40.0,1048,1606.504677
40.0,1639,1615.353284
