#{"t_start": 1618913769.491764, "env_id": "MotorTiming-v0"}
r,l,t
38.0,948,7.545719
37.0,942,12.622059
39.0,958,17.422043
36.0,1027,22.683946
40.0,1084,28.507222
40.0,1606,36.88132
37.0,1676,46.070021
40.0,1681,56.164336
38.0,1713,65.919291
40.0,1710,75.507062
40.0,970,80.736375
40.0,982,86.053845
39.0,1038,91.587328
40.0,993,96.834197
40.0,1125,102.75711
39.0,1588,111.042836
40.0,1631,119.451281
37.0,1647,128.010514
39.0,1745,137.017852
39.0,1766,146.138136
39.0,947,151.291523
37.0,989,156.641484
39.0,996,161.909609
39.0,1016,167.076265
39.0,1039,172.404793
39.0,1605,180.672497
38.0,1619,188.994721
40.0,1621,197.28036
35.0,1666,205.781983
39.0,1760,214.764515
39.0,920,219.501196
40.0,960,224.367887
39.0,1006,229.563589
40.0,1038,234.908397
37.0,1085,240.457311
35.0,1551,248.374247
40.0,1682,256.997794
37.0,1641,265.402946
37.0,1686,274.022223
38.0,1764,283.045931
37.0,944,288.011709
40.0,945,293.221922
40.0,1040,298.342921
40.0,1084,303.823073
39.0,1095,309.251898
40.0,1632,317.437207
39.0,1633,325.557043
40.0,1641,333.807643
37.0,1712,342.35626
38.0,1755,351.145838
40.0,926,355.757195
40.0,947,360.515432
40.0,1012,365.642235
39.0,1081,371.062904
35.0,1130,376.78788
39.0,1555,384.541156
40.0,1646,392.975403
37.0,1690,401.611985
40.0,1764,410.669672
39.0,1708,420.376015
40.0,886,424.934205
40.0,942,429.966409
36.0,1009,435.322731
40.0,1071,440.62987
39.0,1053,445.969344
39.0,1643,454.155295
34.0,1584,462.059642
40.0,1638,470.284033
40.0,1698,478.763987
40.0,1766,487.659473
39.0,887,492.383808
40.0,929,497.048943
40.0,959,501.820009
39.0,1060,507.155189
38.0,1033,512.293947
40.0,1647,520.606258
38.0,1601,528.566953
39.0,1688,537.043372
40.0,1719,545.615759
40.0,1785,554.484697
37.0,924,559.073729
35.0,996,564.104441
39.0,957,569.11863
40.0,1038,574.344652
38.0,1084,579.862392
38.0,1637,587.966859
40.0,1614,596.071443
40.0,1694,604.521299
40.0,1678,613.456583
40.0,1727,622.780486
40.0,897,627.372392
39.0,917,631.973113
39.0,1031,636.891306
40.0,1056,642.201802
37.0,1140,648.060364
37.0,1552,656.503369
40.0,1664,665.410371
38.0,1707,674.197798
39.0,1679,682.704144
39.0,1785,692.58738
39.0,931,697.430509
39.0,977,702.199525
40.0,1004,707.307246
40.0,1042,712.315262
33.0,1122,717.788555
38.0,1634,725.701624
40.0,1590,733.616475
40.0,1666,742.084788
40.0,1751,751.095471
40.0,1692,759.91707
37.0,906,764.435277
40.0,995,769.221834
40.0,1044,774.297222
40.0,1079,779.561834
37.0,1125,784.995787
40.0,1596,792.785878
40.0,1608,800.584423
39.0,1678,809.659618
37.0,1711,819.0311
39.0,1771,828.149432
39.0,966,833.09078
40.0,934,837.893503
40.0,1014,843.600741
40.0,1029,849.252463
39.0,1116,855.165682
37.0,1637,863.128076
40.0,1676,872.153342
40.0,1698,880.381303
40.0,1714,889.322113
40.0,1750,898.362386
40.0,963,903.261213
38.0,992,908.487205
40.0,981,914.215403
39.0,1046,919.674173
40.0,1069,925.610147
40.0,1570,934.032506
40.0,1619,942.34572
39.0,1681,951.362995
40.0,1704,960.04187
39.0,1770,968.783628
40.0,972,973.527766
40.0,941,978.244423
39.0,1035,983.594355
39.0,1068,989.503447
40.0,1107,995.149714
40.0,1632,1003.302542
40.0,1623,1011.310005
40.0,1630,1019.398273
38.0,1660,1027.537289
37.0,1709,1036.127338
40.0,962,1041.029985
39.0,970,1046.118119
38.0,1011,1051.326313
39.0,1015,1056.474237
39.0,1056,1061.925067
40.0,1632,1070.189448
40.0,1588,1078.592858
38.0,1679,1087.237042
40.0,1676,1095.78208
39.0,1776,1105.548354
36.0,935,1110.770662
39.0,925,1115.964221
40.0,998,1121.245769
38.0,1051,1126.464633
40.0,1097,1131.972002
40.0,1619,1139.877904
39.0,1629,1148.131839
38.0,1624,1156.147664
