#{"t_start": 1618913769.494238, "env_id": "MotorTiming-v0"}
r,l,t
40.0,958,7.591
40.0,972,12.837047
39.0,1039,18.015811
39.0,1011,23.251528
40.0,1085,29.055617
40.0,1583,37.338079
40.0,1604,46.129972
37.0,1674,56.188011
40.0,1714,65.948864
39.0,1735,75.673481
38.0,958,80.838338
33.0,933,85.89133
39.0,1035,91.416549
40.0,1010,96.747857
40.0,1123,102.651309
39.0,1606,111.020865
40.0,1661,119.608866
39.0,1625,128.058597
37.0,1709,136.861978
39.0,1722,145.769446
40.0,923,150.700792
39.0,945,155.879822
39.0,1038,161.393377
39.0,1019,166.581054
36.0,1072,172.080124
39.0,1561,180.128215
40.0,1584,188.263563
40.0,1652,196.726299
39.0,1735,205.57254
38.0,1759,214.541327
39.0,939,219.372375
40.0,974,224.310652
40.0,996,229.458633
40.0,1011,234.651375
40.0,1049,240.022383
37.0,1608,248.245208
40.0,1623,256.57015
40.0,1624,264.870877
40.0,1673,273.448543
40.0,1702,282.149743
39.0,932,286.990913
40.0,1021,292.657242
40.0,1006,297.624203
39.0,1018,302.763195
37.0,1111,308.248273
38.0,1586,316.214777
40.0,1652,324.446269
33.0,1707,333.025089
39.0,1691,341.452093
40.0,1719,350.064849
40.0,948,354.787335
39.0,1008,359.841131
40.0,1003,364.921544
35.0,1037,370.122257
39.0,1104,375.730355
40.0,1585,383.635326
39.0,1594,391.796702
39.0,1703,400.488426
40.0,1668,408.970635
40.0,1696,418.634529
40.0,946,423.546218
39.0,962,428.560839
40.0,1015,434.143497
40.0,1034,439.232837
36.0,1037,444.479778
38.0,1650,452.719198
40.0,1660,461.005562
40.0,1640,469.245892
38.0,1749,477.987437
40.0,1696,486.505642
39.0,903,491.213807
40.0,949,496.084452
39.0,1036,501.211582
39.0,1023,506.384702
40.0,1045,511.591687
39.0,1584,519.588032
32.0,1594,527.510198
39.0,1695,536.029951
40.0,1697,544.479023
37.0,1720,553.024562
38.0,971,557.85193
40.0,960,562.689215
39.0,1033,568.018017
38.0,1009,573.205481
40.0,1110,578.800396
37.0,1584,586.682797
38.0,1628,594.83771
39.0,1635,602.965237
35.0,1708,611.773227
32.0,1714,621.254757
39.0,950,626.1469
38.0,1007,631.288358
36.0,1033,636.185915
37.0,997,641.158168
40.0,1063,646.587064
40.0,1555,655.017894
40.0,1626,663.803424
40.0,1622,672.08843
39.0,1658,680.620174
40.0,1736,690.119094
39.0,881,694.797974
40.0,918,699.332523
40.0,992,704.365128
40.0,1046,709.479331
39.0,1062,714.642002
39.0,1554,722.20877
40.0,1658,730.386306
39.0,1637,738.410927
34.0,1708,747.384126
40.0,1695,756.101524
40.0,895,760.795032
39.0,991,765.663999
38.0,1041,770.662856
40.0,992,775.510327
40.0,1066,780.672087
39.0,1559,788.261583
40.0,1660,796.272207
39.0,1655,804.492635
40.0,1685,814.0908
39.0,1784,823.396974
40.0,934,828.246765
40.0,966,833.206102
39.0,976,838.27914
40.0,997,843.835746
40.0,1127,850.016995
39.0,1587,858.199649
35.0,1649,866.591209
40.0,1716,875.396407
39.0,1735,883.77062
40.0,1780,893.075815
40.0,926,898.088553
37.0,959,902.958739
40.0,975,908.076075
38.0,1076,914.322031
39.0,1051,919.79904
39.0,1638,929.140506
40.0,1582,937.089004
40.0,1655,945.890216
38.0,1700,954.801927
40.0,1735,963.299649
40.0,966,968.205897
39.0,995,973.085102
37.0,976,977.997652
40.0,1075,983.529007
35.0,1083,989.506693
39.0,1616,997.729059
40.0,1632,1005.800406
40.0,1633,1013.826176
40.0,1701,1022.382753
40.0,1770,1031.147956
38.0,882,1035.484382
40.0,973,1040.445473
39.0,1013,1045.737453
40.0,1073,1051.273779
39.0,1084,1056.778106
40.0,1546,1064.77998
38.0,1589,1072.932639
38.0,1614,1081.333864
37.0,1678,1089.929965
37.0,1747,1098.904965
40.0,922,1104.225139
36.0,951,1109.377897
38.0,1004,1115.180641
39.0,1014,1120.528281
40.0,1103,1126.031079
40.0,1592,1133.993885
40.0,1580,1141.682001
40.0,1689,1150.233828
40.0,1741,1158.805506
39.0,1775,1167.57827
38.0,972,1172.262828
39.0,969,1177.382871
40.0,1010,1183.000587
39.0,1087,1188.341254
39.0,1044,1193.672815
39.0,1550,1201.317036
39.0,1649,1209.89696
37.0,1671,1218.945419
40.0,1654,1228.024684
38.0,1790,1237.619808
39.0,952,1242.26666
38.0,1018,1247.606096
40.0,1020,1252.632244
40.0,1020,1257.54294
40.0,1066,1262.872109
40.0,1609,1270.812547
39.0,1636,1279.641113
40.0,1687,1289.117293
38.0,1692,1297.957294
40.0,1730,1308.694031
37.0,964,1313.605221
40.0,999,1319.03503
40.0,994,1323.924503
38.0,1033,1329.091787
40.0,1074,1334.928464
40.0,1614,1343.102397
40.0,1598,1351.106169
39.0,1666,1359.448293
37.0,1709,1368.311905
40.0,1745,1378.245879
40.0,941,1382.872509
40.0,986,1387.594946
38.0,996,1392.379712
40.0,1025,1397.225591
40.0,1125,1402.6168
40.0,1594,1410.308083
40.0,1639,1418.318366
40.0,1674,1426.786772
39.0,1698,1435.189249
36.0,1719,1444.224992
40.0,939,1449.040313
40.0,938,1453.903939
39.0,1024,1459.039339
40.0,1038,1464.166357
