#{"t_start": 1618907928.4318311, "env_id": "MotorTiming-v0"}
r,l,t
40.0,946,8.414489
40.0,964,13.556238
38.0,1038,18.881712
38.0,1009,24.118095
40.0,1071,29.716389
36.0,1585,38.515558
40.0,1610,47.351822
37.0,1673,57.255994
38.0,1714,67.505989
39.0,1731,76.833848
40.0,947,81.867708
38.0,928,86.756494
34.0,1030,92.130826
38.0,1015,97.412718
39.0,1125,103.395182
40.0,1609,111.671335
39.0,1660,120.093484
40.0,1631,128.338056
40.0,1710,137.069384
40.0,1722,145.836434
39.0,928,150.485958
39.0,943,155.220693
37.0,1044,160.505491
40.0,1023,165.674985
36.0,1080,171.176512
40.0,1558,179.006283
38.0,1588,186.910169
39.0,1650,195.142449
40.0,1734,203.78026
37.0,1763,212.577244
40.0,940,217.229556
40.0,968,222.027924
38.0,993,227.048411
39.0,1011,232.160656
40.0,1062,237.582308
39.0,1611,245.804679
40.0,1626,254.73736
39.0,1632,263.516166
39.0,1673,271.724389
40.0,1714,280.053415
40.0,937,284.484148
40.0,1008,289.382884
39.0,1011,294.661129
40.0,1013,300.059962
39.0,1112,305.750907
39.0,1596,313.968406
38.0,1656,322.427674
40.0,1707,331.160269
40.0,1693,340.074829
38.0,1710,349.557578
40.0,960,354.884458
39.0,1010,360.315363
39.0,1006,365.364882
40.0,1035,370.68943
30.0,1107,376.093243
40.0,1584,384.2505
40.0,1596,392.813624
39.0,1714,402.65269
39.0,1667,411.600355
40.0,1694,420.247456
40.0,951,425.155233
40.0,964,430.198822
40.0,1015,435.238192
40.0,1035,440.472848
40.0,1034,445.602735
39.0,1633,454.487367
40.0,1661,463.026656
39.0,1644,471.635597
40.0,1745,480.182112
40.0,1696,488.314153
40.0,903,492.635735
40.0,928,497.259723
40.0,1043,502.219475
38.0,1022,507.112925
39.0,1042,512.443079
39.0,1582,520.845393
40.0,1602,528.835027
40.0,1695,537.610632
38.0,1691,546.354531
39.0,1716,555.871948
40.0,971,561.157261
37.0,959,566.523221
39.0,1034,571.636943
37.0,1006,576.714558
37.0,1113,582.266314
40.0,1569,590.219854
39.0,1622,598.023834
40.0,1634,605.864986
36.0,1705,614.12067
40.0,1720,622.723915
40.0,957,627.359413
38.0,1005,632.182067
40.0,1047,637.150582
37.0,992,641.935855
37.0,1063,647.047597
37.0,1557,654.524613
40.0,1634,662.680546
39.0,1638,670.974808
40.0,1671,679.345593
35.0,1737,688.067814
40.0,884,692.491315
39.0,930,697.662241
40.0,1000,703.426337
38.0,1050,708.86595
40.0,1067,714.299398
40.0,1553,722.240361
40.0,1675,731.396613
40.0,1641,739.809192
38.0,1700,748.440864
38.0,1696,756.764597
40.0,889,761.362202
40.0,991,766.342916
40.0,1025,771.510647
40.0,997,776.481991
40.0,1070,782.430657
40.0,1558,790.427892
40.0,1667,798.553396
39.0,1662,807.527026
39.0,1686,816.119283
38.0,1761,825.692103
39.0,936,830.486511
39.0,952,835.857255
38.0,986,840.767825
34.0,994,846.126016
38.0,1131,852.06906
38.0,1587,860.291991
37.0,1642,868.784571
40.0,1708,877.547345
37.0,1734,886.468026
39.0,1779,895.602446
40.0,921,900.398015
40.0,958,905.352035
37.0,963,910.436761
40.0,1075,915.512976
40.0,1054,921.156951
40.0,1628,929.755012
39.0,1600,937.896001
39.0,1656,946.565772
40.0,1704,955.462701
40.0,1732,964.08885
40.0,966,970.684997
40.0,989,976.434834
40.0,978,981.241095
39.0,1076,986.648453
40.0,1081,992.016779
40.0,1615,1000.2074
40.0,1639,1008.314912
39.0,1629,1016.432214
35.0,1705,1024.907253
37.0,1770,1033.665268
40.0,884,1038.326668
37.0,970,1043.404473
40.0,1003,1048.89548
40.0,1076,1055.13358
40.0,1080,1060.69057
40.0,1549,1068.632049
40.0,1591,1076.360326
39.0,1615,1084.139997
38.0,1687,1092.792121
40.0,1762,1102.151608
40.0,923,1106.896035
40.0,954,1111.546075
38.0,1009,1116.999787
40.0,1024,1122.7579
37.0,1106,1128.516633
39.0,1605,1136.593685
39.0,1582,1144.599564
39.0,1688,1153.465565
39.0,1730,1162.596912
39.0,1765,1171.776481
40.0,971,1176.429089
39.0,971,1181.116975
38.0,1006,1185.904136
40.0,1090,1191.146891
39.0,1040,1196.168795
37.0,1550,1203.590683
38.0,1648,1211.446736
38.0,1668,1219.482365
39.0,1654,1227.376907
35.0,1791,1235.941241
40.0,930,1240.375697
40.0,1004,1245.209095
40.0,1010,1250.043989
39.0,1027,1254.950265
36.0,1074,1260.108073
