#{"t_start": 1618907928.4280121, "env_id": "MotorTiming-v0"}
r,l,t
39.0,956,8.476095
39.0,966,13.64685
39.0,1032,18.914223
40.0,1077,24.516904
38.0,1066,30.0937
39.0,1590,38.90028
40.0,1672,48.090135
35.0,1622,57.843106
40.0,1736,68.100338
37.0,1777,77.637954
39.0,954,82.707728
38.0,992,87.926257
40.0,1017,93.218709
40.0,1085,98.975511
36.0,1068,104.533529
39.0,1634,112.946133
39.0,1637,121.239397
40.0,1675,129.689094
38.0,1728,138.533693
40.0,1762,147.500983
40.0,917,152.060756
40.0,923,156.748582
40.0,1020,161.897817
39.0,1005,166.985285
40.0,1069,172.399309
40.0,1582,180.355469
39.0,1590,188.262418
40.0,1633,196.388726
40.0,1677,204.77341
40.0,1717,213.317912
37.0,884,217.694523
39.0,924,222.281025
40.0,990,227.296886
40.0,1000,232.343079
40.0,1042,237.665804
39.0,1584,245.752974
39.0,1639,254.761113
40.0,1632,263.524738
36.0,1664,271.699475
39.0,1703,279.981677
40.0,922,284.32395
39.0,983,289.099426
40.0,975,294.173746
40.0,996,299.491061
37.0,1133,305.287354
40.0,1606,313.561975
39.0,1651,321.996819
36.0,1636,330.358306
39.0,1655,339.069578
39.0,1693,348.412029
40.0,904,353.375756
37.0,1010,358.92909
40.0,1007,364.062477
40.0,1044,369.334031
40.0,1120,374.872758
38.0,1631,383.220436
38.0,1610,391.883701
39.0,1654,401.296942
40.0,1717,410.523799
40.0,1759,419.608427
40.0,923,424.340072
40.0,975,429.464273
40.0,1012,434.489477
40.0,1017,439.657109
40.0,1055,444.865043
38.0,1584,453.502184
38.0,1606,461.750949
40.0,1674,470.505109
38.0,1718,479.040702
40.0,1734,487.318823
39.0,914,491.663686
39.0,1009,496.712578
38.0,1020,501.555865
40.0,1079,506.732481
40.0,1128,512.455571
38.0,1626,521.11794
40.0,1640,529.294631
40.0,1698,538.077141
40.0,1708,546.945919
36.0,1700,556.367955
37.0,921,561.388263
40.0,998,566.925125
40.0,1035,572.036199
40.0,1033,577.240866
40.0,1045,582.469115
40.0,1548,590.321155
37.0,1586,597.935561
40.0,1636,605.794263
38.0,1753,614.306149
40.0,1700,622.798744
36.0,940,627.338032
38.0,942,631.853853
39.0,1014,636.674155
39.0,1047,641.7065
40.0,1061,646.822025
40.0,1558,654.294212
40.0,1670,662.626131
36.0,1667,671.074575
39.0,1678,679.484177
40.0,1734,688.175232
40.0,944,692.93946
40.0,931,698.133464
40.0,980,703.773347
38.0,1032,709.093175
39.0,1119,714.785395
37.0,1563,722.797842
39.0,1604,731.598875
38.0,1692,740.245999
40.0,1690,748.821792
35.0,1775,757.626466
38.0,967,762.482678
40.0,1003,767.606574
40.0,1045,772.859091
38.0,1013,777.92004
40.0,1098,783.997408
39.0,1559,791.940261
37.0,1589,799.730952
37.0,1656,808.758528
40.0,1701,817.40305
38.0,1753,826.919231
38.0,894,831.640264
39.0,933,836.712322
40.0,988,841.716991
40.0,1005,847.113948
40.0,1087,852.784472
38.0,1638,861.325065
40.0,1658,869.854053
36.0,1628,878.216257
36.0,1710,886.99796
40.0,1728,895.894143
40.0,886,900.503316
40.0,1011,905.786072
40.0,1028,911.103627
39.0,1046,916.043372
36.0,1083,921.933997
37.0,1626,930.538583
39.0,1677,938.924483
40.0,1710,948.250096
40.0,1734,956.862435
40.0,1784,966.70552
40.0,958,972.925326
38.0,912,977.715804
40.0,969,982.484542
40.0,1035,987.706467
40.0,1088,993.125162
40.0,1558,1000.9994
38.0,1605,1008.977347
39.0,1646,1017.166711
39.0,1748,1025.825267
37.0,1790,1034.816106
39.0,956,1039.914829
36.0,921,1044.682152
40.0,974,1049.967842
38.0,994,1055.858581
39.0,1032,1061.070671
34.0,1556,1069.059086
31.0,1585,1076.72269
37.0,1646,1084.647688
40.0,1719,1093.541914
38.0,1778,1103.064893
37.0,890,1107.469448
40.0,941,1112.109208
40.0,1001,1117.557776
38.0,1059,1123.475717
40.0,1063,1128.987305
40.0,1616,1137.107792
39.0,1649,1145.483361
39.0,1694,1154.390184
38.0,1689,1163.318148
40.0,1723,1172.266102
38.0,893,1176.505151
40.0,919,1180.932542
39.0,964,1185.527803
38.0,1018,1190.39034
39.0,1123,1195.838752
37.0,1544,1203.235523
40.0,1632,1211.019125
39.0,1682,1219.123138
38.0,1664,1227.048936
40.0,1785,1235.597952
40.0,971,1240.231737
37.0,958,1244.831971
39.0,995,1249.604747
40.0,1031,1254.52089
38.0,1097,1259.797117
39.0,1573,1267.277771
40.0,1646,1275.257959
40.0,1630,1283.463609
37.0,1747,1292.434406
40.0,1755,1301.271609
40.0,922,1305.877586
38.0,969,1310.714058
39.0,1042,1316.294592
40.0,1003,1321.904135
40.0,1075,1326.940396
40.0,1588,1334.902959
38.0,1662,1343.622347
40.0,1716,1352.620202
37.0,1698,1360.735217
36.0,1716,1368.884093
39.0,966,1373.851424
40.0,1008,1379.260773
38.0,995,1384.269207
40.0,1018,1389.132675
40.0,1031,1394.139311
40.0,1582,1401.902149
37.0,1609,1409.636181
40.0,1641,1417.454614
40.0,1661,1425.410939
40.0,1752,1434.054267
39.0,981,1438.832016
40.0,931,1443.393244
39.0,1002,1448.151137
40.0,993,1452.894745
38.0,1058,1457.904139
40.0,1604,1465.611219
39.0,1645,1473.89708
36.0,1662,1482.618081
37.0,1681,1491.651817
40.0,1732,1501.093091
39.0,961,1505.659174
37.0,917,1510.528429
31.0,984,1515.566038
39.0,1087,1520.990085
40.0,1116,1526.356745
40.0,1640,1534.584141
40.0,1589,1542.92564
39.0,1637,1551.623404
40.0,1665,1560.097628
39.0,1778,1569.655388
40.0,913,1574.431759
40.0,991,1579.092929
40.0,967,1583.740748
40.0,1017,1588.550453
34.0,1053,1593.605217
40.0,1638,1601.441401
37.0,1662,1610.04885
40.0,1695,1618.515976
39.0,1752,1627.061255
38.0,1740,1635.824471
39.0,902,1640.086823
40.0,952,1644.685447
37.0,1011,1649.608325
40.0,1078,1655.316995
34.0,1087,1661.490539
39.0,1604,1669.346537
40.0,1619,1677.079595
38.0,1642,1684.895844
38.0,1693,1693.090782
40.0,1741,1701.39472
37.0,916,1705.73277
40.0,988,1710.461926
37.0,1041,1715.418433
40.0,993,1720.15707
40.0,1077,1725.385032
39.0,1572,1732.877098
37.0,1647,1740.763144
38.0,1685,1748.860185
32.0,1692,1756.91435
40.0,1780,1765.457989
40.0,901,1769.800404
40.0,984,1774.483179
40.0,990,1779.259067
40.0,1080,1784.382997
39.0,1071,1789.598504
36.0,1575,1797.112919
39.0,1610,1804.835095
31.0,1626,1812.667889
40.0,1728,1820.95696
40.0,1789,1829.556226
40.0,941,1834.080743
40.0,980,1838.794955
39.0,950,1843.363858
40.0,1071,1848.516332
40.0,1061,1853.625437
39.0,1555,1861.142706
39.0,1636,1868.96975
40.0,1627,1876.852931
39.0,1693,1884.969565
40.0,1779,1893.48517
40.0,887,1897.769276
40.0,1000,1902.566519
36.0,1056,1907.679798
40.0,1086,1912.906711
40.0,1129,1918.371037
39.0,1541,1925.754662
36.0,1618,1933.629595
39.0,1647,1941.524673
40.0,1742,1949.920371
35.0,1780,1959.299396
40.0,945,1963.771713
40.0,918,1968.224224
39.0,974,1972.942521
39.0,998,1977.725505
40.0,1119,1983.140938
38.0,1627,1991.173405
31.0,1628,1999.046209
39.0,1714,2007.245394
36.0,1706,2015.470957
40.0,1792,2024.311681
39.0,905,2028.68527
40.0,920,2033.160367
39.0,1005,2037.929273
39.0,1013,2042.782266
38.0,1065,2048.018063
36.0,1575,2055.524044
39.0,1589,2063.125099
39.0,1649,2071.019219
39.0,1719,2079.318092
38.0,1791,2087.849853
37.0,945,2092.407235
40.0,1001,2097.109657
39.0,1040,2102.102563
38.0,1056,2107.178411
40.0,1040,2112.160392
39.0,1563,2119.663491
39.0,1631,2127.422659
40.0,1711,2135.56646
39.0,1671,2143.609231
40.0,1764,2152.027113
39.0,970,2156.687995
40.0,954,2161.207418
39.0,964,2165.841856
39.0,1053,2170.973467
40.0,1038,2175.883409
40.0,1599,2183.502703
39.0,1593,2191.140597
37.0,1621,2199.046064
40.0,1665,2206.985246
36.0,1788,2215.531856
40.0,965,2220.091406
39.0,951,2224.684488
40.0,990,2229.483035
37.0,1021,2234.341132
29.0,1089,2240.308515
39.0,1585,2248.064609
39.0,1594,2255.705652
40.0,1679,2263.902523
36.0,1706,2272.122263
37.0,1734,2280.444959
40.0,905,2284.814851
40.0,991,2289.666131
40.0,1011,2294.525353
38.0,1052,2299.598348
40.0,1047,2304.579864
40.0,1547,2312.011493
40.0,1627,2319.954486
40.0,1657,2327.91493
40.0,1655,2335.842982
40.0,1775,2344.367788
38.0,895,2348.92165
38.0,920,2353.270881
37.0,960,2357.933654
38.0,993,2362.651709
36.0,1118,2367.98958
39.0,1596,2375.606642
39.0,1631,2383.474576
38.0,1636,2391.290281
37.0,1705,2399.399489
36.0,1768,2407.940237
40.0,974,2412.602704
39.0,1012,2417.420845
40.0,1038,2422.378008
40.0,1087,2427.606956
37.0,1061,2432.613186
40.0,1578,2440.295307
39.0,1606,2447.940559
39.0,1682,2455.948648
38.0,1705,2464.066676
38.0,1709,2472.370512
37.0,974,2477.050226
40.0,931,2481.462941
40.0,965,2486.088747
39.0,1065,2491.165037
40.0,1075,2496.325461
35.0,1595,2504.040317
39.0,1640,2511.894846
40.0,1701,2520.053983
35.0,1654,2528.152023
39.0,1724,2536.385645
37.0,918,2540.734078
39.0,944,2545.297448
40.0,1046,2550.276859
40.0,1037,2555.212916
36.0,1118,2560.707769
38.0,1568,2568.214781
39.0,1592,2575.81323
39.0,1643,2583.627277
40.0,1702,2591.894672
40.0,1778,2600.351768
40.0,918,2604.727332
39.0,994,2609.470862
40.0,964,2614.103473
39.0,994,2618.934361
39.0,1035,2623.879816
40.0,1563,2631.371841
40.0,1588,2638.960129
40.0,1711,2647.214341
39.0,1677,2655.225627
40.0,1742,2663.538808
40.0,937,2668.044769
40.0,949,2672.525553
37.0,1019,2677.49599
39.0,1023,2682.405147
40.0,1104,2687.653276
40.0,1603,2695.339009
38.0,1663,2703.246721
40.0,1642,2711.257212
40.0,1692,2719.352481
40.0,1744,2727.66606
40.0,876,2731.793089
39.0,919,2736.224555
37.0,1044,2741.33677
34.0,1075,2746.436454
36.0,1042,2751.424223
40.0,1552,2758.821462
40.0,1640,2766.719586
40.0,1662,2774.688711
36.0,1656,2782.613844
38.0,1761,2790.996031
38.0,890,2795.278601
39.0,1001,2800.171569
38.0,1041,2805.108047
34.0,1031,2810.049247
38.0,1077,2815.180619
39.0,1614,2822.87432
39.0,1647,2830.854833
39.0,1688,2838.960623
38.0,1705,2848.801256
40.0,1729,2857.967133
40.0,972,2863.075616
40.0,946,2868.100526
40.0,1049,2873.600141
38.0,1014,2878.841663
37.0,1074,2884.535132
39.0,1560,2892.640382
38.0,1625,2901.273896
39.0,1661,2909.956927
39.0,1694,2918.772039
40.0,1767,2928.090487
40.0,909,2932.905413
34.0,990,2938.032369
39.0,983,2943.22755
40.0,1064,2948.952286
38.0,1114,2954.741156
40.0,1591,2963.179335
39.0,1644,2971.813722
37.0,1668,2980.602479
38.0,1730,2989.885758
39.0,1732,2999.009791
38.0,909,3003.779101
40.0,919,3008.589412
36.0,1045,3014.069693
38.0,1024,3019.518656
36.0,1039,3025.104717
40.0,1547,3033.325346
39.0,1586,3041.802409
35.0,1672,3050.657538
38.0,1687,3059.539163
40.0,1724,3068.619027
33.0,934,3073.659468
40.0,1004,3079.082704
38.0,1031,3084.587908
40.0,994,3089.847812
40.0,1051,3095.401321
39.0,1544,3103.455642
40.0,1593,3113.201149
40.0,1697,3122.398247
40.0,1674,3131.967523
38.0,1779,3141.53324
39.0,895,3146.396504
36.0,983,3151.298157
40.0,981,3156.283542
35.0,1022,3161.469834
40.0,1110,3167.111233
39.0,1641,3175.616683
36.0,1611,3183.683011
38.0,1649,3192.75469
40.0,1706,3201.332304
38.0,1778,3210.30183
39.0,938,3215.594832
37.0,958,3220.982895
40.0,981,3225.847807
40.0,1061,3231.452573
36.0,1122,3237.794375
39.0,1556,3245.786457
40.0,1632,3254.278857
40.0,1633,3262.688954
39.0,1686,3271.493921
39.0,1750,3281.279704
40.0,955,3286.425269
36.0,966,3291.405812
40.0,1007,3296.302396
39.0,1075,3301.538288
40.0,1103,3306.85325
39.0,1570,3314.632572
38.0,1627,3323.344869
40.0,1628,3332.217468
40.0,1746,3341.029495
40.0,1760,3350.063265
38.0,874,3354.421589
40.0,983,3359.445991
39.0,1037,3364.808856
36.0,990,3369.82327
37.0,1123,3375.507243
38.0,1549,3383.134282
36.0,1621,3391.349092
40.0,1657,3400.40131
40.0,1676,3408.985884
40.0,1770,3418.613265
39.0,937,3423.678212
37.0,1016,3428.622609
40.0,1041,3434.156845
40.0,1005,3439.149811
39.0,1039,3444.231849
40.0,1547,3452.233211
35.0,1680,3460.784252
40.0,1657,3469.285714
38.0,1682,3477.460928
36.0,1744,3485.81438
40.0,904,3490.229572
40.0,984,3495.493937
38.0,992,3500.390075
39.0,1072,3506.105875
40.0,1123,3511.88304
40.0,1540,3520.183691
40.0,1602,3528.391185
37.0,1637,3536.918131
39.0,1731,3545.930707
40.0,1746,3554.456385
40.0,916,3558.856418
37.0,915,3563.224267
39.0,960,3567.845333
40.0,1086,3573.381438
40.0,1048,3579.146726
40.0,1633,3587.698148
39.0,1594,3595.999909
40.0,1625,3604.538343
40.0,1752,3614.187165
38.0,1743,3623.191151
35.0,951,3628.404327
40.0,1010,3634.07647
39.0,1011,3639.84948
39.0,1059,3646.288391
39.0,1086,3652.279574
40.0,1550,3660.358248
40.0,1668,3668.972099
38.0,1691,3677.66759
39.0,1758,3687.902989
38.0,1746,3696.825291
37.0,967,3701.643616
38.0,996,3707.069024
40.0,1030,3713.23321
39.0,993,3718.637047
35.0,1070,3723.983043
40.0,1587,3732.015646
37.0,1595,3740.207784
40.0,1641,3749.978687
40.0,1655,3758.367642
40.0,1773,3767.320701
37.0,958,3772.209989
39.0,932,3776.962169
35.0,1053,3782.347288
40.0,1047,3787.713019
39.0,1084,3793.297904
37.0,1562,3801.749796
40.0,1609,3809.977228
40.0,1647,3818.331924
38.0,1724,3827.12052
40.0,1769,3836.754305
39.0,912,3841.807792
37.0,986,3847.057797
40.0,989,3852.001932
38.0,1041,3857.391161
38.0,1098,3863.006862
40.0,1604,3871.139211
40.0,1602,3879.439921
40.0,1709,3888.243465
39.0,1734,3897.028486
37.0,1755,3905.856324
39.0,891,3910.396346
40.0,1011,3915.605198
35.0,952,3920.473058
38.0,1032,3925.77584
39.0,1117,3931.659263
37.0,1577,3940.507562
40.0,1634,3949.587316
39.0,1685,3958.049401
40.0,1684,3966.514983
38.0,1703,3975.123803
39.0,966,3980.056864
39.0,955,3985.301975
39.0,988,3990.801229
39.0,1051,3996.038428
36.0,1111,4001.680337
39.0,1630,4009.926725
35.0,1614,4018.200048
39.0,1680,4027.023333
38.0,1680,4036.299131
39.0,1729,4045.19692
39.0,975,4050.426487
40.0,1002,4056.647848
34.0,989,4062.556417
40.0,1073,4067.95088
40.0,1105,4074.123392
38.0,1620,4082.487249
37.0,1583,4090.534061
40.0,1667,4099.103275
31.0,1668,4107.637828
40.0,1755,4116.516479
36.0,973,4121.440819
38.0,923,4126.229551
40.0,973,4131.178856
38.0,1064,4136.532222
38.0,1082,4142.170532
39.0,1548,4150.063595
40.0,1612,4158.948554
38.0,1659,4167.731642
40.0,1692,4176.729332
38.0,1705,4186.156563
38.0,890,4190.81115
39.0,928,4195.44758
39.0,1009,4200.99865
40.0,1040,4206.599844
40.0,1061,4212.131798
36.0,1594,4221.076804
38.0,1678,4230.027931
40.0,1627,4238.209972
33.0,1732,4247.13215
40.0,1781,4256.19657
40.0,952,4260.94902
35.0,970,4265.865468
40.0,1046,4271.170188
40.0,1028,4276.723925
35.0,1089,4282.545881
38.0,1545,4291.423388
38.0,1630,4299.476867
40.0,1691,4307.65394
37.0,1691,4315.83786
40.0,1746,4324.317953
40.0,944,4328.816819
37.0,922,4333.285124
38.0,1047,4338.281168
34.0,1030,4343.281273
36.0,1069,4348.505533
40.0,1638,4356.373593
35.0,1616,4364.470675
38.0,1705,4373.459895
39.0,1667,4381.832117
38.0,1704,4391.176865
40.0,914,4396.324472
39.0,990,4401.434763
40.0,1044,4406.707397
38.0,996,4411.726059
39.0,1103,4417.266379
33.0,1553,4425.081539
40.0,1597,4433.246864
38.0,1685,4441.723318
39.0,1751,4450.517458
40.0,1793,4459.572926
40.0,883,4463.993327
33.0,945,4468.748386
38.0,1036,4473.988935
37.0,994,4478.967022
40.0,1124,4484.622712
36.0,1594,4492.78342
38.0,1619,4500.939582
39.0,1654,4509.300553
34.0,1704,4517.881473
33.0,1720,4526.536085
39.0,926,4531.168369
40.0,1005,4536.201212
38.0,1027,4541.384705
39.0,1025,4546.525889
39.0,1095,4552.025988
40.0,1569,4559.867054
40.0,1660,4568.159388
38.0,1621,4576.349553
38.0,1699,4585.171653
34.0,1769,4594.31402
38.0,956,4599.284367
39.0,965,4604.194785
39.0,1036,4609.587878
40.0,1019,4614.807085
40.0,1091,4620.467602
40.0,1617,4628.766898
38.0,1579,4636.665354
38.0,1697,4645.184931
39.0,1706,4653.868586
36.0,1717,4662.59704
35.0,878,4666.979104
37.0,957,4671.832894
39.0,1004,4676.903473
40.0,1038,4682.178274
39.0,1056,4687.472523
36.0,1593,4695.47005
39.0,1672,4703.899732
